Log Field Name,AV,Anomaly,App,DLP,DNS,Email,FILE-FILTER,GTP,ICAP,IPS,SSH,SSL,VoIP,WAF,Web
_total,80,3,14,4,12,5,2,18,3,6,8,18,7,12,55
action,80,3,14,2,11,5,2,0,3,6,8,18,7,12,51
agent,77,0,5,2,0,5,2,0,0,2,0,0,0,12,52
analyticscksum,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
analyticssubmit,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
antiphishdc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
antiphishrule,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
apn,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
app,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
appcat,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
appid,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
applist,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
apprisk,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
attachment,72,0,0,2,0,5,2,0,0,0,0,0,0,0,0
attack,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0
attackcontext,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
attackcontextid,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
attackid,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0
authalgo,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
authserver,79,0,14,2,0,5,2,0,0,6,0,0,0,12,46
banword,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5
botnetdomain,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
botnetip,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
c-bytes,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
c-ggsn,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
c-ggsn-teid,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
c-gsn,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
c-pkts,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
c-sgsn,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
c-sgsn-teid,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
call_id,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
cat,0,0,0,0,11,0,0,0,0,0,0,5,0,0,13
catdesc,0,0,0,0,11,0,0,0,0,0,0,5,0,0,14
cc,72,0,0,2,0,5,2,0,0,0,0,0,0,0,0
ccertissuer,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
cdrcontent,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
certdesc,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
certhash,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
cfseid,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
cfseidaddr,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
cggsn6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
cgsn6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
channeltype,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
checksum,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chgheaders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
cipher,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
cloudaction,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
clouddevice,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
clouduser,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
cn,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
column,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
command,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0
constraint,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
contentdisarmed,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contenttype,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
count,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0
cpaddr,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
cpaddr6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
cpdladdr,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
cpdladdr6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
cpdlisraddr,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
