Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
waninfo,,string,512,40704 - LOG_ID_EVENT_SYS_PERF,40704,LOG_ID_EVENT_SYS_PERF,System performance statistics,Event,system,Notice,7.2.12
sysuptime,,uint32,10,40704 - LOG_ID_EVENT_SYS_PERF,40704,LOG_ID_EVENT_SYS_PERF,System performance statistics,Event,system,Notice,7.2.12
freediskstorage,,uint32,10,40704 - LOG_ID_EVENT_SYS_PERF,40704,LOG_ID_EVENT_SYS_PERF,System performance statistics,Event,system,Notice,7.2.12
fazlograte,FortiAnalyzer Logging Rate,uint64,20,40704 - LOG_ID_EVENT_SYS_PERF,40704,LOG_ID_EVENT_SYS_PERF,System performance statistics,Event,system,Notice,7.2.12
disklograte,Disk Log Rate,uint64,20,40704 - LOG_ID_EVENT_SYS_PERF,40704,LOG_ID_EVENT_SYS_PERF,System performance statistics,Event,system,Notice,7.2.12
setuprate,Session Setup Rate,uint64,20,40704 - LOG_ID_EVENT_SYS_PERF,40704,LOG_ID_EVENT_SYS_PERF,System performance statistics,Event,system,Notice,7.2.12
bandwidth,Bandwidth,string,42,40704 - LOG_ID_EVENT_SYS_PERF,40704,LOG_ID_EVENT_SYS_PERF,System performance statistics,Event,system,Notice,7.2.12
disk,Disk Usage,uint8,3,40704 - LOG_ID_EVENT_SYS_PERF,40704,LOG_ID_EVENT_SYS_PERF,System performance statistics,Event,system,Notice,7.2.12
totalsession,Total Number of Sessions,uint32,10,40704 - LOG_ID_EVENT_SYS_PERF,40704,LOG_ID_EVENT_SYS_PERF,System performance statistics,Event,system,Notice,7.2.12
mem,Memory Usage,uint8,3,40704 - LOG_ID_EVENT_SYS_PERF,40704,LOG_ID_EVENT_SYS_PERF,System performance statistics,Event,system,Notice,7.2.12
cpu,CPU Usage,uint8,3,40704 - LOG_ID_EVENT_SYS_PERF,40704,LOG_ID_EVENT_SYS_PERF,System performance statistics,Event,system,Notice,7.2.12
sn,Serial Number,string,64,40704 - LOG_ID_EVENT_SYS_PERF,40704,LOG_ID_EVENT_SYS_PERF,System performance statistics,Event,system,Notice,7.2.12
name,Display Name of the Connection,string,128,40704 - LOG_ID_EVENT_SYS_PERF,40704,LOG_ID_EVENT_SYS_PERF,System performance statistics,Event,system,Notice,7.2.12
msg,Log Message,string,4096,40704 - LOG_ID_EVENT_SYS_PERF,40704,LOG_ID_EVENT_SYS_PERF,System performance statistics,Event,system,Notice,7.2.12
action,Policy Action,string,65,40704 - LOG_ID_EVENT_SYS_PERF,40704,LOG_ID_EVENT_SYS_PERF,System performance statistics,Event,system,Notice,7.2.12
user,User name of authenticated user,string,256,40704 - LOG_ID_EVENT_SYS_PERF,40704,LOG_ID_EVENT_SYS_PERF,System performance statistics,Event,system,Notice,7.2.12
logdesc,Log Description,string,4096,40704 - LOG_ID_EVENT_SYS_PERF,40704,LOG_ID_EVENT_SYS_PERF,System performance statistics,Event,system,Notice,7.2.12
tz,Time zone,string,5,40704 - LOG_ID_EVENT_SYS_PERF,40704,LOG_ID_EVENT_SYS_PERF,System performance statistics,Event,system,Notice,7.2.12
eventtime,Event time,uint64,20,40704 - LOG_ID_EVENT_SYS_PERF,40704,LOG_ID_EVENT_SYS_PERF,System performance statistics,Event,system,Notice,7.2.12
vd,Virtual Domain Name,string,32,40704 - LOG_ID_EVENT_SYS_PERF,40704,LOG_ID_EVENT_SYS_PERF,System performance statistics,Event,system,Notice,7.2.12
devid,Device ID,string,16,40704 - LOG_ID_EVENT_SYS_PERF,40704,LOG_ID_EVENT_SYS_PERF,System performance statistics,Event,system,Notice,7.2.12
level,Log Level,string,11,40704 - LOG_ID_EVENT_SYS_PERF,40704,LOG_ID_EVENT_SYS_PERF,System performance statistics,Event,system,Notice,7.2.12
subtype,Log Subtype,string,20,40704 - LOG_ID_EVENT_SYS_PERF,40704,LOG_ID_EVENT_SYS_PERF,System performance statistics,Event,system,Notice,7.2.12
type,Log Type,string,16,40704 - LOG_ID_EVENT_SYS_PERF,40704,LOG_ID_EVENT_SYS_PERF,System performance statistics,Event,system,Notice,7.2.12
logid,Log ID,string,10,40704 - LOG_ID_EVENT_SYS_PERF,40704,LOG_ID_EVENT_SYS_PERF,System performance statistics,Event,system,Notice,7.2.12
time,Time,string,8,40704 - LOG_ID_EVENT_SYS_PERF,40704,LOG_ID_EVENT_SYS_PERF,System performance statistics,Event,system,Notice,7.2.12
date,Date,string,10,40704 - LOG_ID_EVENT_SYS_PERF,40704,LOG_ID_EVENT_SYS_PERF,System performance statistics,Event,system,Notice,7.2.12
