Log Field Name,cifs-auth-fail,connector,endpoint,fortiextender,ha,rest-api,router,sdwan,security-rating,switch-controller,system,user,vpn,wanopt,webproxy,wireless
_total,4,6,16,11,36,2,10,13,2,52,552,49,81,5,1,187
acct_stat,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
acktime,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
act,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
action,0,2,3,2,0,0,2,0,0,18,227,33,75,0,0,187
activity,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
addr,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0
addr_type,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
addrgrp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
adgroup,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
admin,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
advpnsc,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
age,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
agent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
alarmid,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149
app-type,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
apscan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
apstatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
aptype,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
assigned,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
assignip,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
auditid,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
auditreporttype,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
auditscore,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
audittime,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
authgrp,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
authid,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
authproto,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
authserver,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,66
bandwidth,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22
banned_rule,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
banned_src,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
bibandwidthavailable,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
bibandwidthused,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
bssid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
carrier_ep,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
category,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
cert,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
cert-type,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
cfgattr,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0
cfgobj,0,2,0,0,0,0,0,0,0,8,2,0,0,0,0,0
cfgpath,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0
cfgtid,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0
cfgtxpower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115
chassisid,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
cldobjid,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
client_addr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
community,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
configcountry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
connection_type,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
conserve,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
cookies,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
core,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
count,0,0,3,0,0,0,0,0,0,0,5,7,0,0,0,0
cpu,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
criticalcount,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
crl,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
cveid,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
daddr,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
daemon,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
datarange,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
date,4,6,16,11,36,2,10,13,2,52,552,49,81,5,1,187
ddnsserver,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
desc,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0
detectionmethod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
devid,4,6,16,11,36,2,10,13,2,52,552,49,81,5,1,187
devintfname,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
devtype,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dhcp_msg,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
dintf,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
dir,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0
direction,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
disk,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
