Log Field Name,Data Type,Length,Description
acct_stat,string,14,Accounting state (RADIUS)
acktime,string,24,Alarm Acknowledge Time
act,string,16,Action
action,string,65,Policy Action
activity,string,128,HA activity message
addr,string,80,IP Address
addr_type,string,4,Address Type
addrgrp,string,36,
adgroup,string,128,AD Group Name of FSSO user
admin,string,64,Administrator
advpnsc,uint8,3,
age,uint32,10,Time in seconds - time passed since last seen
agent,string,1024,SNMP agent
alarmid,uint32,10,Alarm ID
alert,string,256,Alert ID
ap,string,36,Access Point
app-type,string,64,
apscan,string,36,The name of AP to detect rogue ap
apstatus,uint8,3,"Rogue AP status like unclassify(0), rogue(1), accept(2), suppress(3)"
aptype,uint8,3,The AP type is Ad-hoc mode or regular AP mode
assigned,ip,39,Assigned IP Address through PPPoE
assignip,ip,39,IPsec VPN tunnel assigned IP address
auditid,uint64,20,Security Rating ID
auditreporttype,string,20,Security Rating report type
auditscore,string,20,Security Rating score
audittime,uint64,20,Security Rating time
authgrp,string,36,Authorization Group
authid,string,36,
authproto,string,512,The protocol that initiated the authentication
authserver,string,64,Remote Authentication server
bandwidth,string,42,Bandwidth
banned_rule,string,80,NAC quarantine Banned Rule Name
banned_src,string,16,NAC quarantine Banned Source IP
bibandwidthavailable,string,24,
bibandwidthused,string,24,
bssid,string,17,Basic service set ID
carrier_ep,string,64,The FortiOS Carrier end-point identification
category,uint32,10,Log category
cert,string,36,Certificate
cert-type,string,6,Certification type
cfgattr,string,4096,Configuration attribute
cfgobj,string,256,Configuration object
cfgpath,string,128,Configuration path
cfgtid,uint32,10,Config transaction id
cfgtxpower,uint32,10,Config TX power
channel,uint8,3,Channel
chassisid,uint8,3,Chassis ID
cldobjid,string,128,
client_addr,string,17,Client address
community,string,36,Community
configcountry,string,4,Config Country
connection_type,string,6,
conserve,string,32,Flag for Conserve Mode
cookies,string,64,Cookie
core,uint8,3,
count,uint32,10,"endpoint/user: Number of Packets

system: Count"
cpu,uint8,3,CPU Usage
criticalcount,int32,10,Critical level threat count
crl,string,4096,Certificate revocation lists
cveid,string,720,CVE ID
daddr,string,80,Destination address
daemon,string,32,Daemon Name
datarange,string,50,Data range for reports
date,string,10,Date
ddnsserver,ip,39,DDNS Server
desc,string,128,Description
detectionmethod,string,21,Detection Method
devid,string,16,Device ID
devintfname,string,32,HA device interface name
devtype,string,32,Device type
dhcp_msg,string,4096,DHCP Message
dintf,string,36,Destination interface
dir,string,8,Direction
direction,string,16,
disk,uint8,3,Disk Usage
disklograte,uint64,20,Disk Log Rate
domainctrlauthstate,uint32,5,
domainctrlauthtype,uint32,5,
domainctrldomain,string,80,
domainctrlip,ip,39,
domainctrlname,string,64,
domainctrlprotocoltype,uint32,5,
domainctrlusername,string,65,
ds,string,8,Direction with distribution system
dst_host,string,64,Destination Host
dst_int,string,64,Destination Interface
dstintfrole,string,10,
dstip,ip,39,Destination IP
dstport,uint16,5,Destination Protocol Port
duid,string,128,DHCPv6 unique identifier
duration,uint32,10,"system/user/vpn: Duration

wireless: Duration of the last threatening packed captured from TA"
eapolcnt,uint32,10,The count of EAPOL packets
eapoltype,string,16,The packet type of EAPOL
encrypt,uint8,3,The packet is encrypted or not
encryption,string,12,The encryption type of detected rogue AP
error,string,256,Error Reason for Log Upload to Forticloud
error_num,string,53,Error Number
espauth,string,17,IPsec Phase2 ESP message authentication code
esptransform,string,21,IPsec Phase2 ESP encryption method
eventtime,uint64,20,Event time
eventtype,string,32,
