Log Field Name,Data Type,Length,Description
accessctrl,string,80,
accessproxy,string,80,
action,string,16,"The status of the session:
 deny - Session was denied
 accept - Allowed Forward session
 start - Session starts (log message was created when the session was created)
 dns - DNS query return error
 ip-conn - Failed connection attempts
 close - Local-traffic session allowed
 timeout - Allowed session was timeout
 client-rst - Session reset by client
 server-rst - Session reset by server"
agent,string,1024,"User agent - eg. agent=""Mozilla/5.0"""
ap,string,36,Access Point name
app,string,96,Application name
appact,string,16,The security action from app control
appcat,string,64,Application category
appid,uint32,10,Application ID
applist,string,64,Application Control profile (name)
apprisk,string,16,Application Risk Level
apsn,string,36,Access Point serial number
authserver,string,64,Remote Authentication server
centralnatid,uint32,10,central-snat-map id
channel,uint32,10,WiFi Channel
clientdeviceid,string,80,
clientdevicemanageable,string,16,
clientdeviceowner,string,80,
clientdevicetags,string,512,
comment,string,1024,Customized policy comment
countapp,uint32,10,Number of App Ctrl logs associated with the session
countav,uint32,10,Number of AV logs associated with the session
countcifs,uint32,10,
countdlp,uint32,10,Number of DLP logs associated with the session
countdns,uint32,10,Number of DNS Query logs associated with the session
countemail,uint32,10,Number of Email logs associated with the session
countff,uint32,10,
counticap,uint32,10,
countips,uint32,10,Number of IPS logs associated with the session
countsctpf,uint32,10,
countssh,uint32,10,Number of SSH logs associated with the session
countssl,uint32,10,
countwaf,uint32,10,Number of WAF logs associated with the session
countweb,uint32,10,Number of Web Filter logs associated with the session
craction,uint32,10,Action performed by Threat Weight
crlevel,string,10,Threat Weight level
crscore,uint32,10,Threat Weight score
date,string,10,Date
devid,string,16,Device Serial Number
devtype,string,66,Device Type
dstauthserver,string,64,
dstcity,string,64,
dstcountry,string,64,Country name for the destination IP
dstdevtype,string,66,Destination Device Type
dstfamily,string,66,
dsthwvendor,string,66,
dsthwversion,string,66,
dstinetsvc,string,64,Internet service name for the destination
dstintf,string,32,Destination Interface
dstintfrole,string,10,"Destination Interface's assigned role (LAN, WAN, etc.)"
dstip,ip,39,Destination IP Address
dstmac,string,17,Destination Mac Address
dstname,string,256,Destination name
dstosname,string,66,Destination OS name
dstport,uint16,5,Destination Protocol Port Number
dstregion,string,64,
dstreputation,uint32,10,
dstserver,uint8,3,Destination Server
dstssid,string,33,Destination SSID
dstswversion,string,66,
dstthreatfeed,string,36,
dstunauthuser,string,66,
dstunauthusersource,string,66,
dstuser,string,256,
dstuuid,string,37,UUID of the Destination Address Object
duration,uint32,10,Duration of the session
emsconnection,string,8,
eventtime,uint64,20,Epoch time in nanoseconds
fctuid,string,32,FortiClient UID
gatewayid,uint32,10,
group,string,512,User group name
identifier,uint16,5,
lanin,uint64,20,LAN incoming traffic in bytes
lanout,uint64,20,LAN outgoing traffic in bytes
level,string,11,Log Level
logid,string,10,Log ID
masterdstmac,string,17,Destination master MAC address
mastersrcmac,string,17,The master MAC address for a host that has multiple network interfaces
msg,string,512,Log message
osname,string,66,Name of the device's OS
pdstport,uint16,5,
policyid,uint32,10,Firewall Policy ID
policymode,string,8,
policyname,string,36,Policy name
policytype,string,24,Policy type
poluuid,string,37,UUID of the Firewall Policy
proto,uint8,3,Protocol Number
proxyapptype,string,9,
psrcport,uint16,5,
radioband,string,64,Radio Band
rcvdbyte,uint64,20,Received Bytes
rcvddelta,uint64,20,Delta Received Bytes
rcvdpkt,uint32,10,Received Packets
replydstintf,string,32,
replysrcintf,string,32,
saasname,string,80,
sentbyte,uint64,20,Sent Bytes
sentdelta,uint64,20,Delta Sent Bytes
sentpkt,uint32,10,Sent Packets
service,string,80,Name of Service
sessionid,uint32,10,Session ID
shaperdroprcvdbyte,uint32,10,Received bytes dropped by shaper
shaperdropsentbyte,uint32,10,Sent bytes dropped by shaper
