Log Field Name,forward,local,multicast,sniffer,ztna
_total,15,2,2,2,1
accessctrl,14,2,2,2,1
accessproxy,14,2,2,2,1
action,14,2,2,2,1
agent,14,2,2,2,1
ap,14,2,2,2,1
app,14,2,2,2,1
appact,14,2,2,2,1
appcat,14,2,2,2,1
appid,14,2,2,2,1
applist,14,2,2,2,1
apprisk,14,2,2,2,1
apsn,14,2,2,2,1
authserver,14,2,2,2,1
centralnatid,14,2,2,2,1
channel,14,2,2,2,1
clientdeviceid,14,2,2,2,1
clientdevicemanageable,14,2,2,2,1
clientdeviceowner,14,2,2,2,1
clientdevicetags,14,2,2,2,1
comment,14,2,2,2,1
countapp,5,0,0,1,0
countav,5,0,0,1,0
countcifs,5,0,0,1,0
countdlp,5,0,0,1,0
countdns,5,0,0,1,0
countemail,5,0,0,1,0
countff,5,0,0,1,0
counticap,5,0,0,1,0
countips,5,0,0,1,0
countsctpf,5,0,0,1,0
countssh,5,0,0,1,0
countssl,5,0,0,1,0
countwaf,5,0,0,1,0
countweb,5,0,0,1,0
craction,14,2,2,2,1
crlevel,14,2,2,2,1
crscore,14,2,2,2,1
date,15,2,2,2,1
devid,15,2,2,2,1
devtype,14,2,2,2,1
dstauthserver,14,2,2,2,1
dstcity,14,2,2,2,1
dstcountry,14,2,2,2,1
dstdevtype,14,2,2,2,1
dstfamily,14,2,2,2,1
dsthwvendor,14,2,2,2,1
dsthwversion,14,2,2,2,1
dstinetsvc,14,2,2,2,1
dstintf,14,2,2,2,1
dstintfrole,14,2,2,2,1
dstip,14,2,2,2,1
dstmac,14,2,2,2,1
dstname,14,2,2,2,1
dstosname,14,2,2,2,1
dstport,14,2,2,2,1
dstregion,14,2,2,2,1
dstreputation,14,2,2,2,1
dstserver,14,2,2,2,1
dstssid,14,2,2,2,1
dstswversion,14,2,2,2,1
dstthreatfeed,14,2,2,2,1
dstunauthuser,14,2,2,2,1
dstunauthusersource,14,2,2,2,1
dstuser,14,2,2,2,1
dstuuid,14,2,2,2,1
duration,14,2,2,2,1
emsconnection,14,2,2,2,1
eventtime,15,2,2,2,1
fctuid,14,2,2,2,1
fwdsrv,14,2,2,2,1
gatewayid,14,2,2,2,1
group,14,2,2,2,1
identifier,14,2,2,2,1
lanin,14,2,2,2,1
lanout,14,2,2,2,1
level,15,2,2,2,1
logid,15,2,2,2,1
masterdstmac,14,2,2,2,1
mastersrcmac,14,2,2,2,1
msg,14,2,2,2,1
osname,14,2,2,2,1
pdstport,14,2,2,2,1
policyid,14,2,2,2,1
policymode,14,2,2,2,1
policyname,14,2,2,2,1
policytype,14,2,2,2,1
poluuid,14,2,2,2,1
proto,14,2,2,2,1
proxyapptype,14,2,2,2,1
psrcport,14,2,2,2,1
radioband,14,2,2,2,1
rcvdbyte,14,2,2,2,1
rcvddelta,14,2,2,2,1
rcvdpkt,14,2,2,2,1
realserverid,14,2,2,2,1
saasname,14,2,2,2,1
sentbyte,14,2,2,2,1
sentdelta,14,2,2,2,1
sentpkt,14,2,2,2,1
service,14,2,2,2,1
sessionid,14,2,2,2,1
shaperdroprcvdbyte,14,2,2,2,1
shaperdropsentbyte,14,2,2,2,1
shaperperipdropbyte,14,2,2,2,1
shaperperipname,14,2,2,2,1
shaperrcvdname,14,2,2,2,1
shapersentname,14,2,2,2,1
shapingpolicyid,14,2,2,2,1
shapingpolicyname,14,2,2,2,1
signal,14,2,2,2,1
snr,14,2,2,2,1
srccity,14,2,2,2,1
srccountry,14,2,2,2,1
srcdomain,14,2,2,2,1
srcfamily,14,2,2,2,1
srchwvendor,14,2,2,2,1
srchwversion,14,2,2,2,1
srcinetsvc,14,2,2,2,1
srcintf,14,2,2,2,1
srcintfrole,14,2,2,2,1
srcip,14,2,2,2,1
srcmac,14,2,2,2,1
srcmacvendor,14,2,2,2,1
srcname,14,2,2,2,1
srcport,14,2,2,2,1
srcregion,14,2,2,2,1
srcreputation,14,2,2,2,1
srcserver,14,2,2,2,1
srcssid,14,2,2,2,1
srcswversion,14,2,2,2,1
srcthreatfeed,14,2,2,2,1
srcuuid,14,2,2,2,1
sslaction,14,2,2,2,1
subtype,15,2,2,2,1
time,15,2,2,2,1
trandisp,14,2,2,2,1
tranip,14,2,2,2,1
tranport,14,2,2,2,1
transip,14,2,2,2,1
transport,14,2,2,2,1
tunnelid,14,2,2,2,1
type,15,2,2,2,1
tz,15,2,2,2,1
unauthuser,14,2,2,2,1
unauthusersource,14,2,2,2,1
url,14,2,2,2,1
user,14,2,2,2,1
utmaction,14,2,2,2,1
vd,15,2,2,2,1
vip,14,2,2,2,1
vpntype,14,2,2,2,1
vrf,14,2,2,2,1
vwlid,14,2,2,2,1
vwlname,14,2,2,2,1
vwlquality,14,2,2,2,1
vwlservice,14,2,2,2,1
vwpvlanid,14,2,2,2,1
wanin,14,2,2,2,1
wanoptapptype,14,2,2,2,1
wanout,14,2,2,2,1
