Log Field Name,APP-CTRL,Anomaly,DLP,DNS,EmailFilter,FILE-FILTER,FORTI-SWITCH,GTP,ICAP,IPS,SSH,SSL,Virus,VoIP,WAF,Webfilter
_total,14,3,4,12,5,2,1,18,3,6,8,19,70,7,12,57
action,14,3,2,11,5,2,0,0,3,6,8,19,70,7,12,53
agent,5,0,2,0,5,2,0,0,0,2,0,0,67,0,12,52
analyticscksum,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0
analyticssubmit,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0
antiphishdc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
antiphishrule,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
apn,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
app,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
appcat,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
appid,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
applist,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apprisk,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
attachment,0,0,2,0,5,2,0,0,0,0,0,0,62,0,0,0
attack,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0
attackcontext,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
attackcontextid,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
attackid,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0
authalgo,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0
authserver,14,0,2,0,5,2,0,0,0,6,0,0,69,0,12,46
banword,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
botnetdomain,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
botnetip,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
c-bytes,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
c-ggsn,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
c-ggsn-teid,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
c-gsn,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
c-pkts,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
c-sgsn,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
c-sgsn-teid,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
call_id,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
cat,0,0,0,11,0,0,0,0,0,0,0,5,0,0,0,13
catdesc,0,0,0,11,0,0,0,0,0,0,0,5,0,0,0,14
cc,0,0,2,0,5,2,0,0,0,0,0,0,62,0,0,0
ccertissuer,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cdrcontent,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0
certdesc,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
certhash,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
cfseid,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
cfseidaddr,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
cggsn6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cgsn6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
channeltype,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
checksum,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0
chgheaders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
cipher,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0
clashtunnelidx,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
cloudaction,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clouddevice,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clouduser,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
column,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
command,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0
constraint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
contentdisarmed,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0
contentencoding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
contenttype,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
count,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cpaddr,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
cpaddr6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
cpdladdr,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
