Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
remotewtptime,The time of AP when client trying to connect,string,32,43634 - LOG_ID_EVENT_WIRELESS_STA_RADIUS_MAC_AUTH_NO_RESP,43634,LOG_ID_EVENT_WIRELESS_STA_RADIUS_MAC_AUTH_NO_RESP,Wireless client RADIUS MAC authentication server not responding,Event,wireless,Warning,7.4.10
snprev,,string,36,43634 - LOG_ID_EVENT_WIRELESS_STA_RADIUS_MAC_AUTH_NO_RESP,43634,LOG_ID_EVENT_WIRELESS_STA_RADIUS_MAC_AUTH_NO_RESP,Wireless client RADIUS MAC authentication server not responding,Event,wireless,Warning,7.4.10
snr,,int8,4,43634 - LOG_ID_EVENT_WIRELESS_STA_RADIUS_MAC_AUTH_NO_RESP,43634,LOG_ID_EVENT_WIRELESS_STA_RADIUS_MAC_AUTH_NO_RESP,Wireless client RADIUS MAC authentication server not responding,Event,wireless,Warning,7.4.10
authserver,Remote Authentication server,string,64,43634 - LOG_ID_EVENT_WIRELESS_STA_RADIUS_MAC_AUTH_NO_RESP,43634,LOG_ID_EVENT_WIRELESS_STA_RADIUS_MAC_AUTH_NO_RESP,Wireless client RADIUS MAC authentication server not responding,Event,wireless,Warning,7.4.10
user,User name of authenticated user,string,256,43634 - LOG_ID_EVENT_WIRELESS_STA_RADIUS_MAC_AUTH_NO_RESP,43634,LOG_ID_EVENT_WIRELESS_STA_RADIUS_MAC_AUTH_NO_RESP,Wireless client RADIUS MAC authentication server not responding,Event,wireless,Warning,7.4.10
radioid,The operating radio ID,uint8,3,43634 - LOG_ID_EVENT_WIRELESS_STA_RADIUS_MAC_AUTH_NO_RESP,43634,LOG_ID_EVENT_WIRELESS_STA_RADIUS_MAC_AUTH_NO_RESP,Wireless client RADIUS MAC authentication server not responding,Event,wireless,Warning,7.4.10
vap,Virtual Access Point,string,36,43634 - LOG_ID_EVENT_WIRELESS_STA_RADIUS_MAC_AUTH_NO_RESP,43634,LOG_ID_EVENT_WIRELESS_STA_RADIUS_MAC_AUTH_NO_RESP,Wireless client RADIUS MAC authentication server not responding,Event,wireless,Warning,7.4.10
reason,Reason,string,256,43634 - LOG_ID_EVENT_WIRELESS_STA_RADIUS_MAC_AUTH_NO_RESP,43634,LOG_ID_EVENT_WIRELESS_STA_RADIUS_MAC_AUTH_NO_RESP,Wireless client RADIUS MAC authentication server not responding,Event,wireless,Warning,7.4.10
ap,Access Point,string,36,43634 - LOG_ID_EVENT_WIRELESS_STA_RADIUS_MAC_AUTH_NO_RESP,43634,LOG_ID_EVENT_WIRELESS_STA_RADIUS_MAC_AUTH_NO_RESP,Wireless client RADIUS MAC authentication server not responding,Event,wireless,Warning,7.4.10
sn,Serial Number,string,64,43634 - LOG_ID_EVENT_WIRELESS_STA_RADIUS_MAC_AUTH_NO_RESP,43634,LOG_ID_EVENT_WIRELESS_STA_RADIUS_MAC_AUTH_NO_RESP,Wireless client RADIUS MAC authentication server not responding,Event,wireless,Warning,7.4.10
stamac,The MAC address of wifi station,string,17,43634 - LOG_ID_EVENT_WIRELESS_STA_RADIUS_MAC_AUTH_NO_RESP,43634,LOG_ID_EVENT_WIRELESS_STA_RADIUS_MAC_AUTH_NO_RESP,Wireless client RADIUS MAC authentication server not responding,Event,wireless,Warning,7.4.10
signal,The signal value of SSID or client,int8,4,43634 - LOG_ID_EVENT_WIRELESS_STA_RADIUS_MAC_AUTH_NO_RESP,43634,LOG_ID_EVENT_WIRELESS_STA_RADIUS_MAC_AUTH_NO_RESP,Wireless client RADIUS MAC authentication server not responding,Event,wireless,Warning,7.4.10
encryption,The encryption type of detected rogue AP,string,12,43634 - LOG_ID_EVENT_WIRELESS_STA_RADIUS_MAC_AUTH_NO_RESP,43634,LOG_ID_EVENT_WIRELESS_STA_RADIUS_MAC_AUTH_NO_RESP,Wireless client RADIUS MAC authentication server not responding,Event,wireless,Warning,7.4.10
security,Security,string,40,43634 - LOG_ID_EVENT_WIRELESS_STA_RADIUS_MAC_AUTH_NO_RESP,43634,LOG_ID_EVENT_WIRELESS_STA_RADIUS_MAC_AUTH_NO_RESP,Wireless client RADIUS MAC authentication server not responding,Event,wireless,Warning,7.4.10
channel,Channel,uint8,3,43634 - LOG_ID_EVENT_WIRELESS_STA_RADIUS_MAC_AUTH_NO_RESP,43634,LOG_ID_EVENT_WIRELESS_STA_RADIUS_MAC_AUTH_NO_RESP,Wireless client RADIUS MAC authentication server not responding,Event,wireless,Warning,7.4.10
ssid,WiFi Service Set ID,string,33,43634 - LOG_ID_EVENT_WIRELESS_STA_RADIUS_MAC_AUTH_NO_RESP,43634,LOG_ID_EVENT_WIRELESS_STA_RADIUS_MAC_AUTH_NO_RESP,Wireless client RADIUS MAC authentication server not responding,Event,wireless,Warning,7.4.10
msg,Log Message,string,4096,43634 - LOG_ID_EVENT_WIRELESS_STA_RADIUS_MAC_AUTH_NO_RESP,43634,LOG_ID_EVENT_WIRELESS_STA_RADIUS_MAC_AUTH_NO_RESP,Wireless client RADIUS MAC authentication server not responding,Event,wireless,Warning,7.4.10
action,Policy Action,string,65,43634 - LOG_ID_EVENT_WIRELESS_STA_RADIUS_MAC_AUTH_NO_RESP,43634,LOG_ID_EVENT_WIRELESS_STA_RADIUS_MAC_AUTH_NO_RESP,Wireless client RADIUS MAC authentication server not responding,Event,wireless,Warning,7.4.10
logdesc,Log Description,string,4096,43634 - LOG_ID_EVENT_WIRELESS_STA_RADIUS_MAC_AUTH_NO_RESP,43634,LOG_ID_EVENT_WIRELESS_STA_RADIUS_MAC_AUTH_NO_RESP,Wireless client RADIUS MAC authentication server not responding,Event,wireless,Warning,7.4.10
tz,Time zone,string,5,43634 - LOG_ID_EVENT_WIRELESS_STA_RADIUS_MAC_AUTH_NO_RESP,43634,LOG_ID_EVENT_WIRELESS_STA_RADIUS_MAC_AUTH_NO_RESP,Wireless client RADIUS MAC authentication server not responding,Event,wireless,Warning,7.4.10
