Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
remotewtptime,The time of AP when client trying to connect,string,32,43721 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_EXT_MPSK_RESULT,43721,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_EXT_MPSK_RESULT,External MPSK authentication result,Event,wireless,Notice,7.4.10
snprev,,string,36,43721 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_EXT_MPSK_RESULT,43721,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_EXT_MPSK_RESULT,External MPSK authentication result,Event,wireless,Notice,7.4.10
snr,,int8,4,43721 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_EXT_MPSK_RESULT,43721,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_EXT_MPSK_RESULT,External MPSK authentication result,Event,wireless,Notice,7.4.10
authserver,Remote Authentication server,string,64,43721 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_EXT_MPSK_RESULT,43721,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_EXT_MPSK_RESULT,External MPSK authentication result,Event,wireless,Notice,7.4.10
user,User name of authenticated user,string,256,43721 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_EXT_MPSK_RESULT,43721,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_EXT_MPSK_RESULT,External MPSK authentication result,Event,wireless,Notice,7.4.10
radioid,The operating radio ID,uint8,3,43721 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_EXT_MPSK_RESULT,43721,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_EXT_MPSK_RESULT,External MPSK authentication result,Event,wireless,Notice,7.4.10
vap,Virtual Access Point,string,36,43721 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_EXT_MPSK_RESULT,43721,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_EXT_MPSK_RESULT,External MPSK authentication result,Event,wireless,Notice,7.4.10
reason,Reason,string,256,43721 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_EXT_MPSK_RESULT,43721,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_EXT_MPSK_RESULT,External MPSK authentication result,Event,wireless,Notice,7.4.10
ap,Access Point,string,36,43721 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_EXT_MPSK_RESULT,43721,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_EXT_MPSK_RESULT,External MPSK authentication result,Event,wireless,Notice,7.4.10
sn,Serial Number,string,64,43721 - LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_EXT_MPSK_RESULT,43721,LOG_ID_EVENT_WIRELESS_STA_WPA_MSG_EXT_MPSK_RESULT,External MPSK authentication result,Event,wireless,Notice,7.4.10
