Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
msg,,string,4096,22874 - LOG_ID_FLTUND_NEW_CONN,22874,LOG_ID_FLTUND_NEW_CONN,Switch-controller FortilinkLite new connection,Event,switch-controller,Notice,7.4.10
ui,,string,64,22874 - LOG_ID_FLTUND_NEW_CONN,22874,LOG_ID_FLTUND_NEW_CONN,Switch-controller FortilinkLite new connection,Event,switch-controller,Notice,7.4.10
user,,string,256,22874 - LOG_ID_FLTUND_NEW_CONN,22874,LOG_ID_FLTUND_NEW_CONN,Switch-controller FortilinkLite new connection,Event,switch-controller,Notice,7.4.10
logdesc,,string,4096,22874 - LOG_ID_FLTUND_NEW_CONN,22874,LOG_ID_FLTUND_NEW_CONN,Switch-controller FortilinkLite new connection,Event,switch-controller,Notice,7.4.10
tz,,string,5,22874 - LOG_ID_FLTUND_NEW_CONN,22874,LOG_ID_FLTUND_NEW_CONN,Switch-controller FortilinkLite new connection,Event,switch-controller,Notice,7.4.10
eventtime,,uint64,20,22874 - LOG_ID_FLTUND_NEW_CONN,22874,LOG_ID_FLTUND_NEW_CONN,Switch-controller FortilinkLite new connection,Event,switch-controller,Notice,7.4.10
vd,,string,32,22874 - LOG_ID_FLTUND_NEW_CONN,22874,LOG_ID_FLTUND_NEW_CONN,Switch-controller FortilinkLite new connection,Event,switch-controller,Notice,7.4.10
devid,,string,16,22874 - LOG_ID_FLTUND_NEW_CONN,22874,LOG_ID_FLTUND_NEW_CONN,Switch-controller FortilinkLite new connection,Event,switch-controller,Notice,7.4.10
level,,string,11,22874 - LOG_ID_FLTUND_NEW_CONN,22874,LOG_ID_FLTUND_NEW_CONN,Switch-controller FortilinkLite new connection,Event,switch-controller,Notice,7.4.10
subtype,,string,20,22874 - LOG_ID_FLTUND_NEW_CONN,22874,LOG_ID_FLTUND_NEW_CONN,Switch-controller FortilinkLite new connection,Event,switch-controller,Notice,7.4.10
type,,string,16,22874 - LOG_ID_FLTUND_NEW_CONN,22874,LOG_ID_FLTUND_NEW_CONN,Switch-controller FortilinkLite new connection,Event,switch-controller,Notice,7.4.10
logid,,string,10,22874 - LOG_ID_FLTUND_NEW_CONN,22874,LOG_ID_FLTUND_NEW_CONN,Switch-controller FortilinkLite new connection,Event,switch-controller,Notice,7.4.10
time,,string,8,22874 - LOG_ID_FLTUND_NEW_CONN,22874,LOG_ID_FLTUND_NEW_CONN,Switch-controller FortilinkLite new connection,Event,switch-controller,Notice,7.4.10
date,,string,10,22874 - LOG_ID_FLTUND_NEW_CONN,22874,LOG_ID_FLTUND_NEW_CONN,Switch-controller FortilinkLite new connection,Event,switch-controller,Notice,7.4.10
