Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
sn,,string,64,22878 - LOG_ID_FLTUND_CONN_OFFLINE,22878,LOG_ID_FLTUND_CONN_OFFLINE,Switch-controller FortilinkLite tunnel offline,Event,switch-controller,Critical,7.4.10
name,,string,128,22878 - LOG_ID_FLTUND_CONN_OFFLINE,22878,LOG_ID_FLTUND_CONN_OFFLINE,Switch-controller FortilinkLite tunnel offline,Event,switch-controller,Critical,7.4.10
msg,,string,4096,22878 - LOG_ID_FLTUND_CONN_OFFLINE,22878,LOG_ID_FLTUND_CONN_OFFLINE,Switch-controller FortilinkLite tunnel offline,Event,switch-controller,Critical,7.4.10
ui,,string,64,22878 - LOG_ID_FLTUND_CONN_OFFLINE,22878,LOG_ID_FLTUND_CONN_OFFLINE,Switch-controller FortilinkLite tunnel offline,Event,switch-controller,Critical,7.4.10
user,,string,256,22878 - LOG_ID_FLTUND_CONN_OFFLINE,22878,LOG_ID_FLTUND_CONN_OFFLINE,Switch-controller FortilinkLite tunnel offline,Event,switch-controller,Critical,7.4.10
logdesc,,string,4096,22878 - LOG_ID_FLTUND_CONN_OFFLINE,22878,LOG_ID_FLTUND_CONN_OFFLINE,Switch-controller FortilinkLite tunnel offline,Event,switch-controller,Critical,7.4.10
tz,,string,5,22878 - LOG_ID_FLTUND_CONN_OFFLINE,22878,LOG_ID_FLTUND_CONN_OFFLINE,Switch-controller FortilinkLite tunnel offline,Event,switch-controller,Critical,7.4.10
eventtime,,uint64,20,22878 - LOG_ID_FLTUND_CONN_OFFLINE,22878,LOG_ID_FLTUND_CONN_OFFLINE,Switch-controller FortilinkLite tunnel offline,Event,switch-controller,Critical,7.4.10
vd,,string,32,22878 - LOG_ID_FLTUND_CONN_OFFLINE,22878,LOG_ID_FLTUND_CONN_OFFLINE,Switch-controller FortilinkLite tunnel offline,Event,switch-controller,Critical,7.4.10
devid,,string,16,22878 - LOG_ID_FLTUND_CONN_OFFLINE,22878,LOG_ID_FLTUND_CONN_OFFLINE,Switch-controller FortilinkLite tunnel offline,Event,switch-controller,Critical,7.4.10
level,,string,11,22878 - LOG_ID_FLTUND_CONN_OFFLINE,22878,LOG_ID_FLTUND_CONN_OFFLINE,Switch-controller FortilinkLite tunnel offline,Event,switch-controller,Critical,7.4.10
subtype,,string,20,22878 - LOG_ID_FLTUND_CONN_OFFLINE,22878,LOG_ID_FLTUND_CONN_OFFLINE,Switch-controller FortilinkLite tunnel offline,Event,switch-controller,Critical,7.4.10
type,,string,16,22878 - LOG_ID_FLTUND_CONN_OFFLINE,22878,LOG_ID_FLTUND_CONN_OFFLINE,Switch-controller FortilinkLite tunnel offline,Event,switch-controller,Critical,7.4.10
logid,,string,10,22878 - LOG_ID_FLTUND_CONN_OFFLINE,22878,LOG_ID_FLTUND_CONN_OFFLINE,Switch-controller FortilinkLite tunnel offline,Event,switch-controller,Critical,7.4.10
time,,string,8,22878 - LOG_ID_FLTUND_CONN_OFFLINE,22878,LOG_ID_FLTUND_CONN_OFFLINE,Switch-controller FortilinkLite tunnel offline,Event,switch-controller,Critical,7.4.10
date,,string,10,22878 - LOG_ID_FLTUND_CONN_OFFLINE,22878,LOG_ID_FLTUND_CONN_OFFLINE,Switch-controller FortilinkLite tunnel offline,Event,switch-controller,Critical,7.4.10
