Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
durationtotal,,string,10,47401 - LOG_ID_WEB_SVC_RESTART,47401,LOG_ID_WEB_SVC_RESTART,Daemon web-svc has restarted,Event,web-svc,Information,7.4.11
endtime,,uint64,16,47401 - LOG_ID_WEB_SVC_RESTART,47401,LOG_ID_WEB_SVC_RESTART,Daemon web-svc has restarted,Event,web-svc,Information,7.4.11
starttime,,uint64,16,47401 - LOG_ID_WEB_SVC_RESTART,47401,LOG_ID_WEB_SVC_RESTART,Daemon web-svc has restarted,Event,web-svc,Information,7.4.11
rss,,uint32,16,47401 - LOG_ID_WEB_SVC_RESTART,47401,LOG_ID_WEB_SVC_RESTART,Daemon web-svc has restarted,Event,web-svc,Information,7.4.11
memchange,,int32,10,47401 - LOG_ID_WEB_SVC_RESTART,47401,LOG_ID_WEB_SVC_RESTART,Daemon web-svc has restarted,Event,web-svc,Information,7.4.11
task,,uint16,5,47401 - LOG_ID_WEB_SVC_RESTART,47401,LOG_ID_WEB_SVC_RESTART,Daemon web-svc has restarted,Event,web-svc,Information,7.4.11
logdesc,Log Description,string,4096,47401 - LOG_ID_WEB_SVC_RESTART,47401,LOG_ID_WEB_SVC_RESTART,Daemon web-svc has restarted,Event,web-svc,Information,7.4.11
tz,Time zone,string,5,47401 - LOG_ID_WEB_SVC_RESTART,47401,LOG_ID_WEB_SVC_RESTART,Daemon web-svc has restarted,Event,web-svc,Information,7.4.11
eventtime,Event time,uint64,20,47401 - LOG_ID_WEB_SVC_RESTART,47401,LOG_ID_WEB_SVC_RESTART,Daemon web-svc has restarted,Event,web-svc,Information,7.4.11
vd,Virtual Domain Name,string,32,47401 - LOG_ID_WEB_SVC_RESTART,47401,LOG_ID_WEB_SVC_RESTART,Daemon web-svc has restarted,Event,web-svc,Information,7.4.11
devid,Device ID,string,16,47401 - LOG_ID_WEB_SVC_RESTART,47401,LOG_ID_WEB_SVC_RESTART,Daemon web-svc has restarted,Event,web-svc,Information,7.4.11
level,Log Level,string,11,47401 - LOG_ID_WEB_SVC_RESTART,47401,LOG_ID_WEB_SVC_RESTART,Daemon web-svc has restarted,Event,web-svc,Information,7.4.11
subtype,Log Subtype,string,20,47401 - LOG_ID_WEB_SVC_RESTART,47401,LOG_ID_WEB_SVC_RESTART,Daemon web-svc has restarted,Event,web-svc,Information,7.4.11
type,Log Type,string,16,47401 - LOG_ID_WEB_SVC_RESTART,47401,LOG_ID_WEB_SVC_RESTART,Daemon web-svc has restarted,Event,web-svc,Information,7.4.11
logid,Log ID,string,10,47401 - LOG_ID_WEB_SVC_RESTART,47401,LOG_ID_WEB_SVC_RESTART,Daemon web-svc has restarted,Event,web-svc,Information,7.4.11
time,Time,string,8,47401 - LOG_ID_WEB_SVC_RESTART,47401,LOG_ID_WEB_SVC_RESTART,Daemon web-svc has restarted,Event,web-svc,Information,7.4.11
date,Date,string,10,47401 - LOG_ID_WEB_SVC_RESTART,47401,LOG_ID_WEB_SVC_RESTART,Daemon web-svc has restarted,Event,web-svc,Information,7.4.11
