Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
logdesc,Log Description,string,4096,52002 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_RESULT,52002,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_RESULT,Security Rating check result,Event,security-rating,Notice,7.4.11
tz,Time zone,string,5,52002 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_RESULT,52002,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_RESULT,Security Rating check result,Event,security-rating,Notice,7.4.11
eventtime,Event time,uint64,20,52002 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_RESULT,52002,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_RESULT,Security Rating check result,Event,security-rating,Notice,7.4.11
vd,Virtual Domain Name,string,32,52002 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_RESULT,52002,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_RESULT,Security Rating check result,Event,security-rating,Notice,7.4.11
devid,Device ID,string,16,52002 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_RESULT,52002,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_RESULT,Security Rating check result,Event,security-rating,Notice,7.4.11
level,Log Level,string,11,52002 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_RESULT,52002,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_RESULT,Security Rating check result,Event,security-rating,Notice,7.4.11
subtype,Log Subtype,string,20,52002 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_RESULT,52002,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_RESULT,Security Rating check result,Event,security-rating,Notice,7.4.11
type,Log Type,string,16,52002 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_RESULT,52002,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_RESULT,Security Rating check result,Event,security-rating,Notice,7.4.11
logid,Log ID,string,10,52002 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_RESULT,52002,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_RESULT,Security Rating check result,Event,security-rating,Notice,7.4.11
time,Time,string,8,52002 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_RESULT,52002,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_RESULT,Security Rating check result,Event,security-rating,Notice,7.4.11
date,Date,string,10,52002 - LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_RESULT,52002,LOG_ID_EVENT_SECURITY_AUDIT_FABRIC_RESULT,Security Rating check result,Event,security-rating,Notice,7.4.11
