Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
vrf,,uint8,3,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
vd,,string,32,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
user,,string,256,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
unauthusersource,,string,66,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
unauthuser,,string,66,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
tz,,string,5,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
type,,string,16,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
tlsver,,string,8,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
time,,string,8,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
subtype,,string,20,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
srcuuid,,string,37,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
srcport,,uint16,5,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
srcip,,ip,39,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
srcintfrole,,string,10,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
srcintf,,string,32,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
srcdomain,,string,255,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
srccountry,,string,64,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
sni,,string,256,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
sn,,string,40,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
ski,,string,64,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
sessionid,,uint32,10,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
service,,string,5,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
san,,string,448,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
proto,,uint8,3,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
profile,,string,64,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
poluuid,,string,37,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
policytype,,string,24,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
policyid,,uint32,10,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
notbefore,,string,20,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
notafter,,string,20,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
mitm,,string,3,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
logid,,string,10,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
level,,string,11,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
kxproto,,string,7,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
kxcurve,,string,32,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
keysize,,uint16,4,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
keyalgo,,string,8,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
issuer,,string,64,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
hostname,,string,256,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
handshake,,string,11,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
group,,string,512,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
fctuid,,string,32,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
eventtype,,string,32,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
eventtime,,uint64,20,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
eventsubtype,,string,32,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
dstuuid,,string,37,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
dstuser,,string,256,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
dstport,,uint16,5,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
dstip,,ip,39,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
dstintfrole,,string,10,62220 - LOG_ID_SSL_HANDSHAKE_INFO,62220,LOG_ID_SSL_HANDSHAKE_INFO,SSL handshake information,SSL,ssl-handshake,Information,7.4.11
