Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
msg,Log Message,string,4096,46518 - LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH,46518,LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH,LTE modem active SIM card switch event,Event,system,Information,7.4.11
logdesc,Log Description,string,4096,46518 - LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH,46518,LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH,LTE modem active SIM card switch event,Event,system,Information,7.4.11
tz,Time zone,string,5,46518 - LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH,46518,LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH,LTE modem active SIM card switch event,Event,system,Information,7.4.11
eventtime,Event time,uint64,20,46518 - LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH,46518,LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH,LTE modem active SIM card switch event,Event,system,Information,7.4.11
vd,Virtual Domain Name,string,32,46518 - LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH,46518,LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH,LTE modem active SIM card switch event,Event,system,Information,7.4.11
devid,Device ID,string,16,46518 - LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH,46518,LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH,LTE modem active SIM card switch event,Event,system,Information,7.4.11
level,Log Level,string,11,46518 - LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH,46518,LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH,LTE modem active SIM card switch event,Event,system,Information,7.4.11
subtype,Log Subtype,string,20,46518 - LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH,46518,LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH,LTE modem active SIM card switch event,Event,system,Information,7.4.11
type,Log Type,string,16,46518 - LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH,46518,LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH,LTE modem active SIM card switch event,Event,system,Information,7.4.11
logid,Log ID,string,10,46518 - LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH,46518,LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH,LTE modem active SIM card switch event,Event,system,Information,7.4.11
time,Time,string,8,46518 - LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH,46518,LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH,LTE modem active SIM card switch event,Event,system,Information,7.4.11
date,Date,string,10,46518 - LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH,46518,LOG_ID_INTERNAL_LTE_MODEM_SIM_SWITCH,LTE modem active SIM card switch event,Event,system,Information,7.4.11
