Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
vrf,,uint8,3,62307 - LOG_ID_SSL_ANOMALY_CERT_SNI_MISMATCHED_INFO,62307,LOG_ID_SSL_ANOMALY_CERT_SNI_MISMATCHED_INFO,Server certificate and SNI mismatched,SSL,ssl-anomaly,Information,7.4.11
vd,,string,32,62307 - LOG_ID_SSL_ANOMALY_CERT_SNI_MISMATCHED_INFO,62307,LOG_ID_SSL_ANOMALY_CERT_SNI_MISMATCHED_INFO,Server certificate and SNI mismatched,SSL,ssl-anomaly,Information,7.4.11
user,,string,256,62307 - LOG_ID_SSL_ANOMALY_CERT_SNI_MISMATCHED_INFO,62307,LOG_ID_SSL_ANOMALY_CERT_SNI_MISMATCHED_INFO,Server certificate and SNI mismatched,SSL,ssl-anomaly,Information,7.4.11
unauthusersource,,string,66,62307 - LOG_ID_SSL_ANOMALY_CERT_SNI_MISMATCHED_INFO,62307,LOG_ID_SSL_ANOMALY_CERT_SNI_MISMATCHED_INFO,Server certificate and SNI mismatched,SSL,ssl-anomaly,Information,7.4.11
unauthuser,,string,66,62307 - LOG_ID_SSL_ANOMALY_CERT_SNI_MISMATCHED_INFO,62307,LOG_ID_SSL_ANOMALY_CERT_SNI_MISMATCHED_INFO,Server certificate and SNI mismatched,SSL,ssl-anomaly,Information,7.4.11
tz,,string,5,62307 - LOG_ID_SSL_ANOMALY_CERT_SNI_MISMATCHED_INFO,62307,LOG_ID_SSL_ANOMALY_CERT_SNI_MISMATCHED_INFO,Server certificate and SNI mismatched,SSL,ssl-anomaly,Information,7.4.11
type,,string,16,62307 - LOG_ID_SSL_ANOMALY_CERT_SNI_MISMATCHED_INFO,62307,LOG_ID_SSL_ANOMALY_CERT_SNI_MISMATCHED_INFO,Server certificate and SNI mismatched,SSL,ssl-anomaly,Information,7.4.11
tlsver,,string,8,62307 - LOG_ID_SSL_ANOMALY_CERT_SNI_MISMATCHED_INFO,62307,LOG_ID_SSL_ANOMALY_CERT_SNI_MISMATCHED_INFO,Server certificate and SNI mismatched,SSL,ssl-anomaly,Information,7.4.11
time,,string,8,62307 - LOG_ID_SSL_ANOMALY_CERT_SNI_MISMATCHED_INFO,62307,LOG_ID_SSL_ANOMALY_CERT_SNI_MISMATCHED_INFO,Server certificate and SNI mismatched,SSL,ssl-anomaly,Information,7.4.11
subtype,,string,20,62307 - LOG_ID_SSL_ANOMALY_CERT_SNI_MISMATCHED_INFO,62307,LOG_ID_SSL_ANOMALY_CERT_SNI_MISMATCHED_INFO,Server certificate and SNI mismatched,SSL,ssl-anomaly,Information,7.4.11
srcuuid,,string,37,62307 - LOG_ID_SSL_ANOMALY_CERT_SNI_MISMATCHED_INFO,62307,LOG_ID_SSL_ANOMALY_CERT_SNI_MISMATCHED_INFO,Server certificate and SNI mismatched,SSL,ssl-anomaly,Information,7.4.11
srcport,,uint16,5,62307 - LOG_ID_SSL_ANOMALY_CERT_SNI_MISMATCHED_INFO,62307,LOG_ID_SSL_ANOMALY_CERT_SNI_MISMATCHED_INFO,Server certificate and SNI mismatched,SSL,ssl-anomaly,Information,7.4.11
srcip,,ip,39,62307 - LOG_ID_SSL_ANOMALY_CERT_SNI_MISMATCHED_INFO,62307,LOG_ID_SSL_ANOMALY_CERT_SNI_MISMATCHED_INFO,Server certificate and SNI mismatched,SSL,ssl-anomaly,Information,7.4.11
