Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,,string,11,10000 - LOG_ID_CASB_ACCESS_BLOCKED,10000,LOG_ID_CASB_ACCESS_BLOCKED,Web content banned activity found,casb,casb,Warning,7.4.12
activitycategory,,string,30,10000 - LOG_ID_CASB_ACCESS_BLOCKED,10000,LOG_ID_CASB_ACCESS_BLOCKED,Web content banned activity found,casb,casb,Warning,7.4.12
date,,string,10,10000 - LOG_ID_CASB_ACCESS_BLOCKED,10000,LOG_ID_CASB_ACCESS_BLOCKED,Web content banned activity found,casb,casb,Warning,7.4.12
devid,,string,16,10000 - LOG_ID_CASB_ACCESS_BLOCKED,10000,LOG_ID_CASB_ACCESS_BLOCKED,Web content banned activity found,casb,casb,Warning,7.4.12
dstintf,,string,32,10000 - LOG_ID_CASB_ACCESS_BLOCKED,10000,LOG_ID_CASB_ACCESS_BLOCKED,Web content banned activity found,casb,casb,Warning,7.4.12
dstintfrole,,string,10,10000 - LOG_ID_CASB_ACCESS_BLOCKED,10000,LOG_ID_CASB_ACCESS_BLOCKED,Web content banned activity found,casb,casb,Warning,7.4.12
dstip,,ip,39,10000 - LOG_ID_CASB_ACCESS_BLOCKED,10000,LOG_ID_CASB_ACCESS_BLOCKED,Web content banned activity found,casb,casb,Warning,7.4.12
dstport,,uint16,5,10000 - LOG_ID_CASB_ACCESS_BLOCKED,10000,LOG_ID_CASB_ACCESS_BLOCKED,Web content banned activity found,casb,casb,Warning,7.4.12
dstuuid,,string,37,10000 - LOG_ID_CASB_ACCESS_BLOCKED,10000,LOG_ID_CASB_ACCESS_BLOCKED,Web content banned activity found,casb,casb,Warning,7.4.12
eventtime,,uint64,20,10000 - LOG_ID_CASB_ACCESS_BLOCKED,10000,LOG_ID_CASB_ACCESS_BLOCKED,Web content banned activity found,casb,casb,Warning,7.4.12
eventtype,,string,32,10000 - LOG_ID_CASB_ACCESS_BLOCKED,10000,LOG_ID_CASB_ACCESS_BLOCKED,Web content banned activity found,casb,casb,Warning,7.4.12
group,,string,512,10000 - LOG_ID_CASB_ACCESS_BLOCKED,10000,LOG_ID_CASB_ACCESS_BLOCKED,Web content banned activity found,casb,casb,Warning,7.4.12
level,,string,11,10000 - LOG_ID_CASB_ACCESS_BLOCKED,10000,LOG_ID_CASB_ACCESS_BLOCKED,Web content banned activity found,casb,casb,Warning,7.4.12
logid,,string,10,10000 - LOG_ID_CASB_ACCESS_BLOCKED,10000,LOG_ID_CASB_ACCESS_BLOCKED,Web content banned activity found,casb,casb,Warning,7.4.12
msg,,string,512,10000 - LOG_ID_CASB_ACCESS_BLOCKED,10000,LOG_ID_CASB_ACCESS_BLOCKED,Web content banned activity found,casb,casb,Warning,7.4.12
operation,,string,80,10000 - LOG_ID_CASB_ACCESS_BLOCKED,10000,LOG_ID_CASB_ACCESS_BLOCKED,Web content banned activity found,casb,casb,Warning,7.4.12
policyid,,uint32,10,10000 - LOG_ID_CASB_ACCESS_BLOCKED,10000,LOG_ID_CASB_ACCESS_BLOCKED,Web content banned activity found,casb,casb,Warning,7.4.12
policytype,,string,24,10000 - LOG_ID_CASB_ACCESS_BLOCKED,10000,LOG_ID_CASB_ACCESS_BLOCKED,Web content banned activity found,casb,casb,Warning,7.4.12
poluuid,,string,37,10000 - LOG_ID_CASB_ACCESS_BLOCKED,10000,LOG_ID_CASB_ACCESS_BLOCKED,Web content banned activity found,casb,casb,Warning,7.4.12
profile,,string,64,10000 - LOG_ID_CASB_ACCESS_BLOCKED,10000,LOG_ID_CASB_ACCESS_BLOCKED,Web content banned activity found,casb,casb,Warning,7.4.12
proto,,uint8,3,10000 - LOG_ID_CASB_ACCESS_BLOCKED,10000,LOG_ID_CASB_ACCESS_BLOCKED,Web content banned activity found,casb,casb,Warning,7.4.12
saasapp,,string,80,10000 - LOG_ID_CASB_ACCESS_BLOCKED,10000,LOG_ID_CASB_ACCESS_BLOCKED,Web content banned activity found,casb,casb,Warning,7.4.12
sessionid,,uint32,10,10000 - LOG_ID_CASB_ACCESS_BLOCKED,10000,LOG_ID_CASB_ACCESS_BLOCKED,Web content banned activity found,casb,casb,Warning,7.4.12
srcintf,,string,32,10000 - LOG_ID_CASB_ACCESS_BLOCKED,10000,LOG_ID_CASB_ACCESS_BLOCKED,Web content banned activity found,casb,casb,Warning,7.4.12
srcintfrole,,string,10,10000 - LOG_ID_CASB_ACCESS_BLOCKED,10000,LOG_ID_CASB_ACCESS_BLOCKED,Web content banned activity found,casb,casb,Warning,7.4.12
srcip,,ip,39,10000 - LOG_ID_CASB_ACCESS_BLOCKED,10000,LOG_ID_CASB_ACCESS_BLOCKED,Web content banned activity found,casb,casb,Warning,7.4.12
srcport,,uint16,5,10000 - LOG_ID_CASB_ACCESS_BLOCKED,10000,LOG_ID_CASB_ACCESS_BLOCKED,Web content banned activity found,casb,casb,Warning,7.4.12
srcuuid,,string,37,10000 - LOG_ID_CASB_ACCESS_BLOCKED,10000,LOG_ID_CASB_ACCESS_BLOCKED,Web content banned activity found,casb,casb,Warning,7.4.12
subtype,,string,20,10000 - LOG_ID_CASB_ACCESS_BLOCKED,10000,LOG_ID_CASB_ACCESS_BLOCKED,Web content banned activity found,casb,casb,Warning,7.4.12
time,,string,8,10000 - LOG_ID_CASB_ACCESS_BLOCKED,10000,LOG_ID_CASB_ACCESS_BLOCKED,Web content banned activity found,casb,casb,Warning,7.4.12
type,,string,16,10000 - LOG_ID_CASB_ACCESS_BLOCKED,10000,LOG_ID_CASB_ACCESS_BLOCKED,Web content banned activity found,casb,casb,Warning,7.4.12
tz,,string,5,10000 - LOG_ID_CASB_ACCESS_BLOCKED,10000,LOG_ID_CASB_ACCESS_BLOCKED,Web content banned activity found,casb,casb,Warning,7.4.12
url,,string,512,10000 - LOG_ID_CASB_ACCESS_BLOCKED,10000,LOG_ID_CASB_ACCESS_BLOCKED,Web content banned activity found,casb,casb,Warning,7.4.12
user,,string,256,10000 - LOG_ID_CASB_ACCESS_BLOCKED,10000,LOG_ID_CASB_ACCESS_BLOCKED,Web content banned activity found,casb,casb,Warning,7.4.12
useractivity,,string,80,10000 - LOG_ID_CASB_ACCESS_BLOCKED,10000,LOG_ID_CASB_ACCESS_BLOCKED,Web content banned activity found,casb,casb,Warning,7.4.12
vd,,string,32,10000 - LOG_ID_CASB_ACCESS_BLOCKED,10000,LOG_ID_CASB_ACCESS_BLOCKED,Web content banned activity found,casb,casb,Warning,7.4.12
vrf,,uint8,3,10000 - LOG_ID_CASB_ACCESS_BLOCKED,10000,LOG_ID_CASB_ACCESS_BLOCKED,Web content banned activity found,casb,casb,Warning,7.4.12
