Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,"Security action performed by WF:
 blocked - url is blocked by webfilter
 passthrough - url is allowed by webfilter",string,11,13317 - LOG_ID_WEB_URL,13317,LOG_ID_WEB_URL,URL has been visited,Webfilter,urlmonitor,Notice,7.4.12
agent,"User agent - eg. agent=""Mozilla/5.0""",string,1024,13317 - LOG_ID_WEB_URL,13317,LOG_ID_WEB_URL,URL has been visited,Webfilter,urlmonitor,Notice,7.4.12
authserver,Authentication server for the user,string,64,13317 - LOG_ID_WEB_URL,13317,LOG_ID_WEB_URL,URL has been visited,Webfilter,urlmonitor,Notice,7.4.12
cat,Web category ID,uint8,3,13317 - LOG_ID_WEB_URL,13317,LOG_ID_WEB_URL,URL has been visited,Webfilter,urlmonitor,Notice,7.4.12
catdesc,Web category description,string,64,13317 - LOG_ID_WEB_URL,13317,LOG_ID_WEB_URL,URL has been visited,Webfilter,urlmonitor,Notice,7.4.12
craction,Client Reputation Action,uint32,10,13317 - LOG_ID_WEB_URL,13317,LOG_ID_WEB_URL,URL has been visited,Webfilter,urlmonitor,Notice,7.4.12
crlevel,Client Reputation level,string,10,13317 - LOG_ID_WEB_URL,13317,LOG_ID_WEB_URL,URL has been visited,Webfilter,urlmonitor,Notice,7.4.12
crscore,Client Reputation Score,uint32,10,13317 - LOG_ID_WEB_URL,13317,LOG_ID_WEB_URL,URL has been visited,Webfilter,urlmonitor,Notice,7.4.12
date,Date,string,10,13317 - LOG_ID_WEB_URL,13317,LOG_ID_WEB_URL,URL has been visited,Webfilter,urlmonitor,Notice,7.4.12
devid,Device ID,string,16,13317 - LOG_ID_WEB_URL,13317,LOG_ID_WEB_URL,URL has been visited,Webfilter,urlmonitor,Notice,7.4.12
direction,Direction of the web traffic,string,8,13317 - LOG_ID_WEB_URL,13317,LOG_ID_WEB_URL,URL has been visited,Webfilter,urlmonitor,Notice,7.4.12
dstauthserver,,string,64,13317 - LOG_ID_WEB_URL,13317,LOG_ID_WEB_URL,URL has been visited,Webfilter,urlmonitor,Notice,7.4.12
dstcountry,,string,64,13317 - LOG_ID_WEB_URL,13317,LOG_ID_WEB_URL,URL has been visited,Webfilter,urlmonitor,Notice,7.4.12
dstintf,Destination Interface,string,32,13317 - LOG_ID_WEB_URL,13317,LOG_ID_WEB_URL,URL has been visited,Webfilter,urlmonitor,Notice,7.4.12
dstintfrole,"Destination Interface's assigned role (LAN, WAN, etc.)",string,10,13317 - LOG_ID_WEB_URL,13317,LOG_ID_WEB_URL,URL has been visited,Webfilter,urlmonitor,Notice,7.4.12
dstip,Destination IP,ip,39,13317 - LOG_ID_WEB_URL,13317,LOG_ID_WEB_URL,URL has been visited,Webfilter,urlmonitor,Notice,7.4.12
dstport,Destination Port,uint16,5,13317 - LOG_ID_WEB_URL,13317,LOG_ID_WEB_URL,URL has been visited,Webfilter,urlmonitor,Notice,7.4.12
dstuser,,string,256,13317 - LOG_ID_WEB_URL,13317,LOG_ID_WEB_URL,URL has been visited,Webfilter,urlmonitor,Notice,7.4.12
dstuuid,,string,37,13317 - LOG_ID_WEB_URL,13317,LOG_ID_WEB_URL,URL has been visited,Webfilter,urlmonitor,Notice,7.4.12
eventtime,Web Filter event time,uint64,20,13317 - LOG_ID_WEB_URL,13317,LOG_ID_WEB_URL,URL has been visited,Webfilter,urlmonitor,Notice,7.4.12
eventtype,Web Filter event type,string,32,13317 - LOG_ID_WEB_URL,13317,LOG_ID_WEB_URL,URL has been visited,Webfilter,urlmonitor,Notice,7.4.12
fctuid,FortiClient UID,string,32,13317 - LOG_ID_WEB_URL,13317,LOG_ID_WEB_URL,URL has been visited,Webfilter,urlmonitor,Notice,7.4.12
forwardedfor,X-Forwarded-For HTTP header,string,128,13317 - LOG_ID_WEB_URL,13317,LOG_ID_WEB_URL,URL has been visited,Webfilter,urlmonitor,Notice,7.4.12
