Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,,string,11,13714 - LOG_ID_VIDEOFILTER_TITLE_ALLOW,13714,LOG_ID_VIDEOFILTER_TITLE_ALLOW,Video title is allowed,Webfilter,videofilter-title,Notice,7.4.12
agent,"User agent - eg. agent=""Mozilla/5.0""",string,1024,13714 - LOG_ID_VIDEOFILTER_TITLE_ALLOW,13714,LOG_ID_VIDEOFILTER_TITLE_ALLOW,Video title is allowed,Webfilter,videofilter-title,Notice,7.4.12
date,,string,10,13714 - LOG_ID_VIDEOFILTER_TITLE_ALLOW,13714,LOG_ID_VIDEOFILTER_TITLE_ALLOW,Video title is allowed,Webfilter,videofilter-title,Notice,7.4.12
devid,,string,16,13714 - LOG_ID_VIDEOFILTER_TITLE_ALLOW,13714,LOG_ID_VIDEOFILTER_TITLE_ALLOW,Video title is allowed,Webfilter,videofilter-title,Notice,7.4.12
dstintf,,string,32,13714 - LOG_ID_VIDEOFILTER_TITLE_ALLOW,13714,LOG_ID_VIDEOFILTER_TITLE_ALLOW,Video title is allowed,Webfilter,videofilter-title,Notice,7.4.12
dstintfrole,,string,10,13714 - LOG_ID_VIDEOFILTER_TITLE_ALLOW,13714,LOG_ID_VIDEOFILTER_TITLE_ALLOW,Video title is allowed,Webfilter,videofilter-title,Notice,7.4.12
dstip,,ip,39,13714 - LOG_ID_VIDEOFILTER_TITLE_ALLOW,13714,LOG_ID_VIDEOFILTER_TITLE_ALLOW,Video title is allowed,Webfilter,videofilter-title,Notice,7.4.12
dstport,,uint16,5,13714 - LOG_ID_VIDEOFILTER_TITLE_ALLOW,13714,LOG_ID_VIDEOFILTER_TITLE_ALLOW,Video title is allowed,Webfilter,videofilter-title,Notice,7.4.12
dstuser,,string,256,13714 - LOG_ID_VIDEOFILTER_TITLE_ALLOW,13714,LOG_ID_VIDEOFILTER_TITLE_ALLOW,Video title is allowed,Webfilter,videofilter-title,Notice,7.4.12
eventtime,,uint64,20,13714 - LOG_ID_VIDEOFILTER_TITLE_ALLOW,13714,LOG_ID_VIDEOFILTER_TITLE_ALLOW,Video title is allowed,Webfilter,videofilter-title,Notice,7.4.12
eventtype,,string,32,13714 - LOG_ID_VIDEOFILTER_TITLE_ALLOW,13714,LOG_ID_VIDEOFILTER_TITLE_ALLOW,Video title is allowed,Webfilter,videofilter-title,Notice,7.4.12
group,,string,512,13714 - LOG_ID_VIDEOFILTER_TITLE_ALLOW,13714,LOG_ID_VIDEOFILTER_TITLE_ALLOW,Video title is allowed,Webfilter,videofilter-title,Notice,7.4.12
hostname,,string,256,13714 - LOG_ID_VIDEOFILTER_TITLE_ALLOW,13714,LOG_ID_VIDEOFILTER_TITLE_ALLOW,Video title is allowed,Webfilter,videofilter-title,Notice,7.4.12
httpmethod,,string,20,13714 - LOG_ID_VIDEOFILTER_TITLE_ALLOW,13714,LOG_ID_VIDEOFILTER_TITLE_ALLOW,Video title is allowed,Webfilter,videofilter-title,Notice,7.4.12
level,,string,11,13714 - LOG_ID_VIDEOFILTER_TITLE_ALLOW,13714,LOG_ID_VIDEOFILTER_TITLE_ALLOW,Video title is allowed,Webfilter,videofilter-title,Notice,7.4.12
logid,,string,10,13714 - LOG_ID_VIDEOFILTER_TITLE_ALLOW,13714,LOG_ID_VIDEOFILTER_TITLE_ALLOW,Video title is allowed,Webfilter,videofilter-title,Notice,7.4.12
msg,,string,512,13714 - LOG_ID_VIDEOFILTER_TITLE_ALLOW,13714,LOG_ID_VIDEOFILTER_TITLE_ALLOW,Video title is allowed,Webfilter,videofilter-title,Notice,7.4.12
policyid,,uint32,10,13714 - LOG_ID_VIDEOFILTER_TITLE_ALLOW,13714,LOG_ID_VIDEOFILTER_TITLE_ALLOW,Video title is allowed,Webfilter,videofilter-title,Notice,7.4.12
policytype,,string,24,13714 - LOG_ID_VIDEOFILTER_TITLE_ALLOW,13714,LOG_ID_VIDEOFILTER_TITLE_ALLOW,Video title is allowed,Webfilter,videofilter-title,Notice,7.4.12
