Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,,string,65,22870 - LOG_ID_FLPOLD_NAC_DYNAMIC_ADDRESS_DELETE,22870,LOG_ID_FLPOLD_NAC_DYNAMIC_ADDRESS_DELETE,NAC device dynamic address deletion,Event,switch-controller,Information,7.4.12
date,,string,10,22870 - LOG_ID_FLPOLD_NAC_DYNAMIC_ADDRESS_DELETE,22870,LOG_ID_FLPOLD_NAC_DYNAMIC_ADDRESS_DELETE,NAC device dynamic address deletion,Event,switch-controller,Information,7.4.12
devid,,string,16,22870 - LOG_ID_FLPOLD_NAC_DYNAMIC_ADDRESS_DELETE,22870,LOG_ID_FLPOLD_NAC_DYNAMIC_ADDRESS_DELETE,NAC device dynamic address deletion,Event,switch-controller,Information,7.4.12
eventtime,,uint64,20,22870 - LOG_ID_FLPOLD_NAC_DYNAMIC_ADDRESS_DELETE,22870,LOG_ID_FLPOLD_NAC_DYNAMIC_ADDRESS_DELETE,NAC device dynamic address deletion,Event,switch-controller,Information,7.4.12
level,,string,11,22870 - LOG_ID_FLPOLD_NAC_DYNAMIC_ADDRESS_DELETE,22870,LOG_ID_FLPOLD_NAC_DYNAMIC_ADDRESS_DELETE,NAC device dynamic address deletion,Event,switch-controller,Information,7.4.12
logdesc,,string,4096,22870 - LOG_ID_FLPOLD_NAC_DYNAMIC_ADDRESS_DELETE,22870,LOG_ID_FLPOLD_NAC_DYNAMIC_ADDRESS_DELETE,NAC device dynamic address deletion,Event,switch-controller,Information,7.4.12
logid,,string,10,22870 - LOG_ID_FLPOLD_NAC_DYNAMIC_ADDRESS_DELETE,22870,LOG_ID_FLPOLD_NAC_DYNAMIC_ADDRESS_DELETE,NAC device dynamic address deletion,Event,switch-controller,Information,7.4.12
msg,,string,4096,22870 - LOG_ID_FLPOLD_NAC_DYNAMIC_ADDRESS_DELETE,22870,LOG_ID_FLPOLD_NAC_DYNAMIC_ADDRESS_DELETE,NAC device dynamic address deletion,Event,switch-controller,Information,7.4.12
name,,string,128,22870 - LOG_ID_FLPOLD_NAC_DYNAMIC_ADDRESS_DELETE,22870,LOG_ID_FLPOLD_NAC_DYNAMIC_ADDRESS_DELETE,NAC device dynamic address deletion,Event,switch-controller,Information,7.4.12
sn,,string,64,22870 - LOG_ID_FLPOLD_NAC_DYNAMIC_ADDRESS_DELETE,22870,LOG_ID_FLPOLD_NAC_DYNAMIC_ADDRESS_DELETE,NAC device dynamic address deletion,Event,switch-controller,Information,7.4.12
subtype,,string,20,22870 - LOG_ID_FLPOLD_NAC_DYNAMIC_ADDRESS_DELETE,22870,LOG_ID_FLPOLD_NAC_DYNAMIC_ADDRESS_DELETE,NAC device dynamic address deletion,Event,switch-controller,Information,7.4.12
time,,string,8,22870 - LOG_ID_FLPOLD_NAC_DYNAMIC_ADDRESS_DELETE,22870,LOG_ID_FLPOLD_NAC_DYNAMIC_ADDRESS_DELETE,NAC device dynamic address deletion,Event,switch-controller,Information,7.4.12
type,,string,16,22870 - LOG_ID_FLPOLD_NAC_DYNAMIC_ADDRESS_DELETE,22870,LOG_ID_FLPOLD_NAC_DYNAMIC_ADDRESS_DELETE,NAC device dynamic address deletion,Event,switch-controller,Information,7.4.12
tz,,string,5,22870 - LOG_ID_FLPOLD_NAC_DYNAMIC_ADDRESS_DELETE,22870,LOG_ID_FLPOLD_NAC_DYNAMIC_ADDRESS_DELETE,NAC device dynamic address deletion,Event,switch-controller,Information,7.4.12
ui,,string,64,22870 - LOG_ID_FLPOLD_NAC_DYNAMIC_ADDRESS_DELETE,22870,LOG_ID_FLPOLD_NAC_DYNAMIC_ADDRESS_DELETE,NAC device dynamic address deletion,Event,switch-controller,Information,7.4.12
user,,string,256,22870 - LOG_ID_FLPOLD_NAC_DYNAMIC_ADDRESS_DELETE,22870,LOG_ID_FLPOLD_NAC_DYNAMIC_ADDRESS_DELETE,NAC device dynamic address deletion,Event,switch-controller,Information,7.4.12
vd,,string,32,22870 - LOG_ID_FLPOLD_NAC_DYNAMIC_ADDRESS_DELETE,22870,LOG_ID_FLPOLD_NAC_DYNAMIC_ADDRESS_DELETE,NAC device dynamic address deletion,Event,switch-controller,Information,7.4.12
