Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,Policy Action,string,65,32225 - LOG_ID_DEL_ALL_REVISION,32225,LOG_ID_DEL_ALL_REVISION,Revision database reset due to data corruption,Event,system,Notice,7.4.12
date,Date,string,10,32225 - LOG_ID_DEL_ALL_REVISION,32225,LOG_ID_DEL_ALL_REVISION,Revision database reset due to data corruption,Event,system,Notice,7.4.12
devid,Device ID,string,16,32225 - LOG_ID_DEL_ALL_REVISION,32225,LOG_ID_DEL_ALL_REVISION,Revision database reset due to data corruption,Event,system,Notice,7.4.12
eventtime,Event time,uint64,20,32225 - LOG_ID_DEL_ALL_REVISION,32225,LOG_ID_DEL_ALL_REVISION,Revision database reset due to data corruption,Event,system,Notice,7.4.12
level,Log Level,string,11,32225 - LOG_ID_DEL_ALL_REVISION,32225,LOG_ID_DEL_ALL_REVISION,Revision database reset due to data corruption,Event,system,Notice,7.4.12
logdesc,Log Description,string,4096,32225 - LOG_ID_DEL_ALL_REVISION,32225,LOG_ID_DEL_ALL_REVISION,Revision database reset due to data corruption,Event,system,Notice,7.4.12
logid,Log ID,string,10,32225 - LOG_ID_DEL_ALL_REVISION,32225,LOG_ID_DEL_ALL_REVISION,Revision database reset due to data corruption,Event,system,Notice,7.4.12
msg,Log Message,string,4096,32225 - LOG_ID_DEL_ALL_REVISION,32225,LOG_ID_DEL_ALL_REVISION,Revision database reset due to data corruption,Event,system,Notice,7.4.12
status,Status,string,23,32225 - LOG_ID_DEL_ALL_REVISION,32225,LOG_ID_DEL_ALL_REVISION,Revision database reset due to data corruption,Event,system,Notice,7.4.12
subtype,Log Subtype,string,20,32225 - LOG_ID_DEL_ALL_REVISION,32225,LOG_ID_DEL_ALL_REVISION,Revision database reset due to data corruption,Event,system,Notice,7.4.12
time,Time,string,8,32225 - LOG_ID_DEL_ALL_REVISION,32225,LOG_ID_DEL_ALL_REVISION,Revision database reset due to data corruption,Event,system,Notice,7.4.12
type,Log Type,string,16,32225 - LOG_ID_DEL_ALL_REVISION,32225,LOG_ID_DEL_ALL_REVISION,Revision database reset due to data corruption,Event,system,Notice,7.4.12
tz,Time zone,string,5,32225 - LOG_ID_DEL_ALL_REVISION,32225,LOG_ID_DEL_ALL_REVISION,Revision database reset due to data corruption,Event,system,Notice,7.4.12
vd,Virtual Domain Name,string,32,32225 - LOG_ID_DEL_ALL_REVISION,32225,LOG_ID_DEL_ALL_REVISION,Revision database reset due to data corruption,Event,system,Notice,7.4.12
