Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,Policy Action,string,65,32237 - LOG_ID_BACKUP_MEM_LOG_FAIL,32237,LOG_ID_BACKUP_MEM_LOG_FAIL,Memory logs failed to back up,Event,system,Notice,7.4.12
date,Date,string,10,32237 - LOG_ID_BACKUP_MEM_LOG_FAIL,32237,LOG_ID_BACKUP_MEM_LOG_FAIL,Memory logs failed to back up,Event,system,Notice,7.4.12
devid,Device ID,string,16,32237 - LOG_ID_BACKUP_MEM_LOG_FAIL,32237,LOG_ID_BACKUP_MEM_LOG_FAIL,Memory logs failed to back up,Event,system,Notice,7.4.12
eventtime,Event time,uint64,20,32237 - LOG_ID_BACKUP_MEM_LOG_FAIL,32237,LOG_ID_BACKUP_MEM_LOG_FAIL,Memory logs failed to back up,Event,system,Notice,7.4.12
level,Log Level,string,11,32237 - LOG_ID_BACKUP_MEM_LOG_FAIL,32237,LOG_ID_BACKUP_MEM_LOG_FAIL,Memory logs failed to back up,Event,system,Notice,7.4.12
logdesc,Log Description,string,4096,32237 - LOG_ID_BACKUP_MEM_LOG_FAIL,32237,LOG_ID_BACKUP_MEM_LOG_FAIL,Memory logs failed to back up,Event,system,Notice,7.4.12
logid,Log ID,string,10,32237 - LOG_ID_BACKUP_MEM_LOG_FAIL,32237,LOG_ID_BACKUP_MEM_LOG_FAIL,Memory logs failed to back up,Event,system,Notice,7.4.12
msg,Log Message,string,4096,32237 - LOG_ID_BACKUP_MEM_LOG_FAIL,32237,LOG_ID_BACKUP_MEM_LOG_FAIL,Memory logs failed to back up,Event,system,Notice,7.4.12
subtype,Log Subtype,string,20,32237 - LOG_ID_BACKUP_MEM_LOG_FAIL,32237,LOG_ID_BACKUP_MEM_LOG_FAIL,Memory logs failed to back up,Event,system,Notice,7.4.12
time,Time,string,8,32237 - LOG_ID_BACKUP_MEM_LOG_FAIL,32237,LOG_ID_BACKUP_MEM_LOG_FAIL,Memory logs failed to back up,Event,system,Notice,7.4.12
type,Log Type,string,16,32237 - LOG_ID_BACKUP_MEM_LOG_FAIL,32237,LOG_ID_BACKUP_MEM_LOG_FAIL,Memory logs failed to back up,Event,system,Notice,7.4.12
tz,Time zone,string,5,32237 - LOG_ID_BACKUP_MEM_LOG_FAIL,32237,LOG_ID_BACKUP_MEM_LOG_FAIL,Memory logs failed to back up,Event,system,Notice,7.4.12
ui,User Interface,string,64,32237 - LOG_ID_BACKUP_MEM_LOG_FAIL,32237,LOG_ID_BACKUP_MEM_LOG_FAIL,Memory logs failed to back up,Event,system,Notice,7.4.12
user,User name of authenticated user,string,256,32237 - LOG_ID_BACKUP_MEM_LOG_FAIL,32237,LOG_ID_BACKUP_MEM_LOG_FAIL,Memory logs failed to back up,Event,system,Notice,7.4.12
vd,Virtual Domain Name,string,32,32237 - LOG_ID_BACKUP_MEM_LOG_FAIL,32237,LOG_ID_BACKUP_MEM_LOG_FAIL,Memory logs failed to back up,Event,system,Notice,7.4.12
