Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,,string,65,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.12
cert,Certificate,string,36,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.12
cfgattr,,string,4096,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.12
cfgobj,,string,256,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.12
cfgpath,,string,128,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.12
cfgtid,,uint32,10,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.12
date,,string,10,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.12
devid,,string,16,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.12
eventtime,,uint64,20,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.12
eventtype,,string,48,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.12
level,,string,11,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.12
logdesc,,string,4096,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.12
logid,,string,10,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.12
msg,,string,4096,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.12
name,,string,128,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.12
reason,Reason,string,256,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.12
sn,,string,64,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.12
srcip,,ip,39,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.12
srcmac,,string,17,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.12
status,Status,string,23,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.12
subtype,,string,20,32569 - LOG_ID_FSW_SWITCH_LOG_EVENT,32569,LOG_ID_FSW_SWITCH_LOG_EVENT,Switch-Controller,Event,switch-controller,Critical,7.4.12
