Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,,string,10,32614 - LOG_ID_FGT_SWITCH_RETURN_PORT,32614,LOG_ID_FGT_SWITCH_RETURN_PORT,Return port to pool,Event,switch-controller,Information,7.4.12
devid,,string,16,32614 - LOG_ID_FGT_SWITCH_RETURN_PORT,32614,LOG_ID_FGT_SWITCH_RETURN_PORT,Return port to pool,Event,switch-controller,Information,7.4.12
eventtime,,uint64,20,32614 - LOG_ID_FGT_SWITCH_RETURN_PORT,32614,LOG_ID_FGT_SWITCH_RETURN_PORT,Return port to pool,Event,switch-controller,Information,7.4.12
level,,string,11,32614 - LOG_ID_FGT_SWITCH_RETURN_PORT,32614,LOG_ID_FGT_SWITCH_RETURN_PORT,Return port to pool,Event,switch-controller,Information,7.4.12
logdesc,,string,4096,32614 - LOG_ID_FGT_SWITCH_RETURN_PORT,32614,LOG_ID_FGT_SWITCH_RETURN_PORT,Return port to pool,Event,switch-controller,Information,7.4.12
logid,,string,10,32614 - LOG_ID_FGT_SWITCH_RETURN_PORT,32614,LOG_ID_FGT_SWITCH_RETURN_PORT,Return port to pool,Event,switch-controller,Information,7.4.12
msg,,string,4096,32614 - LOG_ID_FGT_SWITCH_RETURN_PORT,32614,LOG_ID_FGT_SWITCH_RETURN_PORT,Return port to pool,Event,switch-controller,Information,7.4.12
subtype,,string,20,32614 - LOG_ID_FGT_SWITCH_RETURN_PORT,32614,LOG_ID_FGT_SWITCH_RETURN_PORT,Return port to pool,Event,switch-controller,Information,7.4.12
time,,string,8,32614 - LOG_ID_FGT_SWITCH_RETURN_PORT,32614,LOG_ID_FGT_SWITCH_RETURN_PORT,Return port to pool,Event,switch-controller,Information,7.4.12
type,,string,16,32614 - LOG_ID_FGT_SWITCH_RETURN_PORT,32614,LOG_ID_FGT_SWITCH_RETURN_PORT,Return port to pool,Event,switch-controller,Information,7.4.12
tz,,string,5,32614 - LOG_ID_FGT_SWITCH_RETURN_PORT,32614,LOG_ID_FGT_SWITCH_RETURN_PORT,Return port to pool,Event,switch-controller,Information,7.4.12
ui,,string,64,32614 - LOG_ID_FGT_SWITCH_RETURN_PORT,32614,LOG_ID_FGT_SWITCH_RETURN_PORT,Return port to pool,Event,switch-controller,Information,7.4.12
user,,string,256,32614 - LOG_ID_FGT_SWITCH_RETURN_PORT,32614,LOG_ID_FGT_SWITCH_RETURN_PORT,Return port to pool,Event,switch-controller,Information,7.4.12
vd,,string,32,32614 - LOG_ID_FGT_SWITCH_RETURN_PORT,32614,LOG_ID_FGT_SWITCH_RETURN_PORT,Return port to pool,Event,switch-controller,Information,7.4.12
