Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
cfgattr,,string,4096,32695 - LOG_ID_FGT_SWITCH_GROUP_LINK,32695,LOG_ID_FGT_SWITCH_GROUP_LINK,FortiSwitch link,Event,switch-controller,Critical,7.4.12
cfgobj,,string,256,32695 - LOG_ID_FGT_SWITCH_GROUP_LINK,32695,LOG_ID_FGT_SWITCH_GROUP_LINK,FortiSwitch link,Event,switch-controller,Critical,7.4.12
cfgpath,,string,128,32695 - LOG_ID_FGT_SWITCH_GROUP_LINK,32695,LOG_ID_FGT_SWITCH_GROUP_LINK,FortiSwitch link,Event,switch-controller,Critical,7.4.12
cfgtid,,uint32,10,32695 - LOG_ID_FGT_SWITCH_GROUP_LINK,32695,LOG_ID_FGT_SWITCH_GROUP_LINK,FortiSwitch link,Event,switch-controller,Critical,7.4.12
date,,string,10,32695 - LOG_ID_FGT_SWITCH_GROUP_LINK,32695,LOG_ID_FGT_SWITCH_GROUP_LINK,FortiSwitch link,Event,switch-controller,Critical,7.4.12
devid,,string,16,32695 - LOG_ID_FGT_SWITCH_GROUP_LINK,32695,LOG_ID_FGT_SWITCH_GROUP_LINK,FortiSwitch link,Event,switch-controller,Critical,7.4.12
eventtime,,uint64,20,32695 - LOG_ID_FGT_SWITCH_GROUP_LINK,32695,LOG_ID_FGT_SWITCH_GROUP_LINK,FortiSwitch link,Event,switch-controller,Critical,7.4.12
level,,string,11,32695 - LOG_ID_FGT_SWITCH_GROUP_LINK,32695,LOG_ID_FGT_SWITCH_GROUP_LINK,FortiSwitch link,Event,switch-controller,Critical,7.4.12
logdesc,,string,4096,32695 - LOG_ID_FGT_SWITCH_GROUP_LINK,32695,LOG_ID_FGT_SWITCH_GROUP_LINK,FortiSwitch link,Event,switch-controller,Critical,7.4.12
logid,,string,10,32695 - LOG_ID_FGT_SWITCH_GROUP_LINK,32695,LOG_ID_FGT_SWITCH_GROUP_LINK,FortiSwitch link,Event,switch-controller,Critical,7.4.12
msg,,string,4096,32695 - LOG_ID_FGT_SWITCH_GROUP_LINK,32695,LOG_ID_FGT_SWITCH_GROUP_LINK,FortiSwitch link,Event,switch-controller,Critical,7.4.12
name,,string,128,32695 - LOG_ID_FGT_SWITCH_GROUP_LINK,32695,LOG_ID_FGT_SWITCH_GROUP_LINK,FortiSwitch link,Event,switch-controller,Critical,7.4.12
sn,,string,64,32695 - LOG_ID_FGT_SWITCH_GROUP_LINK,32695,LOG_ID_FGT_SWITCH_GROUP_LINK,FortiSwitch link,Event,switch-controller,Critical,7.4.12
subtype,,string,20,32695 - LOG_ID_FGT_SWITCH_GROUP_LINK,32695,LOG_ID_FGT_SWITCH_GROUP_LINK,FortiSwitch link,Event,switch-controller,Critical,7.4.12
time,,string,8,32695 - LOG_ID_FGT_SWITCH_GROUP_LINK,32695,LOG_ID_FGT_SWITCH_GROUP_LINK,FortiSwitch link,Event,switch-controller,Critical,7.4.12
type,,string,16,32695 - LOG_ID_FGT_SWITCH_GROUP_LINK,32695,LOG_ID_FGT_SWITCH_GROUP_LINK,FortiSwitch link,Event,switch-controller,Critical,7.4.12
tz,,string,5,32695 - LOG_ID_FGT_SWITCH_GROUP_LINK,32695,LOG_ID_FGT_SWITCH_GROUP_LINK,FortiSwitch link,Event,switch-controller,Critical,7.4.12
ui,,string,64,32695 - LOG_ID_FGT_SWITCH_GROUP_LINK,32695,LOG_ID_FGT_SWITCH_GROUP_LINK,FortiSwitch link,Event,switch-controller,Critical,7.4.12
user,,string,256,32695 - LOG_ID_FGT_SWITCH_GROUP_LINK,32695,LOG_ID_FGT_SWITCH_GROUP_LINK,FortiSwitch link,Event,switch-controller,Critical,7.4.12
vd,,string,32,32695 - LOG_ID_FGT_SWITCH_GROUP_LINK,32695,LOG_ID_FGT_SWITCH_GROUP_LINK,FortiSwitch link,Event,switch-controller,Critical,7.4.12
