Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,Policy Action,string,65,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.12
advpnsc,,uint8,3,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.12
assignip,IPsec VPN tunnel assigned IP address,ip,39,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.12
cookies,Cookie,string,64,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.12
date,Date,string,10,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.12
devid,Device ID,string,16,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.12
eventtime,Event time,uint64,20,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.12
fctuid,,string,32,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.12
group,User group Name,string,512,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.12
level,Log Level,string,11,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.12
locip,IPsec VPN local gateway IP address,ip,39,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.12
locport,Local Port,uint16,5,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.12
logdesc,Log Description,string,4096,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.12
logid,Log ID,string,10,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.12
msg,Log Message,string,4096,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.12
outintf,IPsec VPN binding interface,string,32,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.12
reason,Reason,string,256,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.12
remip,IPsec VPN remote gateway IP address,ip,39,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.12
remport,Remote Port,uint16,5,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.12
status,Status,string,23,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.12
subtype,Log Subtype,string,20,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.12
time,Time,string,8,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.12
type,Log Type,string,16,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.12
tz,Time zone,string,5,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.12
user,User name of authenticated user,string,256,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.12
useralt,,string,256,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.12
vd,Virtual Domain Name,string,32,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.12
vpntunnel,IPsec VPN Tunnel Name,string,128,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.12
xauthgroup,IPsec VPN Xauth user group name,string,128,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.12
xauthuser,IPsec VPN Xauth user name,string,256,37125 - MESGID_NEG_I_P2_ERROR,37125,MESGID_NEG_I_P2_ERROR,IPsec phase 2 error,Event,vpn,Error,7.4.12
