Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,Policy Action,string,65,37139 - MESGID_P2_UPDOWN,37139,MESGID_P2_UPDOWN,IPsec phase 2 status changed,Event,vpn,Notice,7.4.12
advpnsc,,uint8,3,37139 - MESGID_P2_UPDOWN,37139,MESGID_P2_UPDOWN,IPsec phase 2 status changed,Event,vpn,Notice,7.4.12
assignip,IPsec VPN tunnel assigned IP address,ip,39,37139 - MESGID_P2_UPDOWN,37139,MESGID_P2_UPDOWN,IPsec phase 2 status changed,Event,vpn,Notice,7.4.12
cookies,Cookie,string,64,37139 - MESGID_P2_UPDOWN,37139,MESGID_P2_UPDOWN,IPsec phase 2 status changed,Event,vpn,Notice,7.4.12
date,Date,string,10,37139 - MESGID_P2_UPDOWN,37139,MESGID_P2_UPDOWN,IPsec phase 2 status changed,Event,vpn,Notice,7.4.12
devid,Device ID,string,16,37139 - MESGID_P2_UPDOWN,37139,MESGID_P2_UPDOWN,IPsec phase 2 status changed,Event,vpn,Notice,7.4.12
eventtime,Event time,uint64,20,37139 - MESGID_P2_UPDOWN,37139,MESGID_P2_UPDOWN,IPsec phase 2 status changed,Event,vpn,Notice,7.4.12
fctuid,,string,32,37139 - MESGID_P2_UPDOWN,37139,MESGID_P2_UPDOWN,IPsec phase 2 status changed,Event,vpn,Notice,7.4.12
group,User group Name,string,512,37139 - MESGID_P2_UPDOWN,37139,MESGID_P2_UPDOWN,IPsec phase 2 status changed,Event,vpn,Notice,7.4.12
level,Log Level,string,11,37139 - MESGID_P2_UPDOWN,37139,MESGID_P2_UPDOWN,IPsec phase 2 status changed,Event,vpn,Notice,7.4.12
locip,IPsec VPN local gateway IP address,ip,39,37139 - MESGID_P2_UPDOWN,37139,MESGID_P2_UPDOWN,IPsec phase 2 status changed,Event,vpn,Notice,7.4.12
locport,Local Port,uint16,5,37139 - MESGID_P2_UPDOWN,37139,MESGID_P2_UPDOWN,IPsec phase 2 status changed,Event,vpn,Notice,7.4.12
logdesc,Log Description,string,4096,37139 - MESGID_P2_UPDOWN,37139,MESGID_P2_UPDOWN,IPsec phase 2 status changed,Event,vpn,Notice,7.4.12
logid,Log ID,string,10,37139 - MESGID_P2_UPDOWN,37139,MESGID_P2_UPDOWN,IPsec phase 2 status changed,Event,vpn,Notice,7.4.12
msg,Log Message,string,4096,37139 - MESGID_P2_UPDOWN,37139,MESGID_P2_UPDOWN,IPsec phase 2 status changed,Event,vpn,Notice,7.4.12
outintf,IPsec VPN binding interface,string,32,37139 - MESGID_P2_UPDOWN,37139,MESGID_P2_UPDOWN,IPsec phase 2 status changed,Event,vpn,Notice,7.4.12
phase2_name,Phase 2 Name,string,128,37139 - MESGID_P2_UPDOWN,37139,MESGID_P2_UPDOWN,IPsec phase 2 status changed,Event,vpn,Notice,7.4.12
remip,IPsec VPN remote gateway IP address,ip,39,37139 - MESGID_P2_UPDOWN,37139,MESGID_P2_UPDOWN,IPsec phase 2 status changed,Event,vpn,Notice,7.4.12
remport,Remote Port,uint16,5,37139 - MESGID_P2_UPDOWN,37139,MESGID_P2_UPDOWN,IPsec phase 2 status changed,Event,vpn,Notice,7.4.12
srccountry,,string,64,37139 - MESGID_P2_UPDOWN,37139,MESGID_P2_UPDOWN,IPsec phase 2 status changed,Event,vpn,Notice,7.4.12
subtype,Log Subtype,string,20,37139 - MESGID_P2_UPDOWN,37139,MESGID_P2_UPDOWN,IPsec phase 2 status changed,Event,vpn,Notice,7.4.12
time,Time,string,8,37139 - MESGID_P2_UPDOWN,37139,MESGID_P2_UPDOWN,IPsec phase 2 status changed,Event,vpn,Notice,7.4.12
type,Log Type,string,16,37139 - MESGID_P2_UPDOWN,37139,MESGID_P2_UPDOWN,IPsec phase 2 status changed,Event,vpn,Notice,7.4.12
tz,Time zone,string,5,37139 - MESGID_P2_UPDOWN,37139,MESGID_P2_UPDOWN,IPsec phase 2 status changed,Event,vpn,Notice,7.4.12
user,User name of authenticated user,string,256,37139 - MESGID_P2_UPDOWN,37139,MESGID_P2_UPDOWN,IPsec phase 2 status changed,Event,vpn,Notice,7.4.12
useralt,,string,256,37139 - MESGID_P2_UPDOWN,37139,MESGID_P2_UPDOWN,IPsec phase 2 status changed,Event,vpn,Notice,7.4.12
vd,Virtual Domain Name,string,32,37139 - MESGID_P2_UPDOWN,37139,MESGID_P2_UPDOWN,IPsec phase 2 status changed,Event,vpn,Notice,7.4.12
vpntunnel,IPsec VPN Tunnel Name,string,128,37139 - MESGID_P2_UPDOWN,37139,MESGID_P2_UPDOWN,IPsec phase 2 status changed,Event,vpn,Notice,7.4.12
xauthgroup,IPsec VPN Xauth user group name,string,128,37139 - MESGID_P2_UPDOWN,37139,MESGID_P2_UPDOWN,IPsec phase 2 status changed,Event,vpn,Notice,7.4.12
xauthuser,IPsec VPN Xauth user name,string,256,37139 - MESGID_P2_UPDOWN,37139,MESGID_P2_UPDOWN,IPsec phase 2 status changed,Event,vpn,Notice,7.4.12
