Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,Policy Action,string,65,41991 - LOG_ID_EVENT_VPN_CERT_EXPORT,41991,LOG_ID_EVENT_VPN_CERT_EXPORT,Certificate exported,Event,vpn,Information,7.4.12
cert-type,Certification type,string,6,41991 - LOG_ID_EVENT_VPN_CERT_EXPORT,41991,LOG_ID_EVENT_VPN_CERT_EXPORT,Certificate exported,Event,vpn,Information,7.4.12
date,Date,string,10,41991 - LOG_ID_EVENT_VPN_CERT_EXPORT,41991,LOG_ID_EVENT_VPN_CERT_EXPORT,Certificate exported,Event,vpn,Information,7.4.12
devid,Device ID,string,16,41991 - LOG_ID_EVENT_VPN_CERT_EXPORT,41991,LOG_ID_EVENT_VPN_CERT_EXPORT,Certificate exported,Event,vpn,Information,7.4.12
eventtime,Event time,uint64,20,41991 - LOG_ID_EVENT_VPN_CERT_EXPORT,41991,LOG_ID_EVENT_VPN_CERT_EXPORT,Certificate exported,Event,vpn,Information,7.4.12
level,Log Level,string,11,41991 - LOG_ID_EVENT_VPN_CERT_EXPORT,41991,LOG_ID_EVENT_VPN_CERT_EXPORT,Certificate exported,Event,vpn,Information,7.4.12
logdesc,Log Description,string,4096,41991 - LOG_ID_EVENT_VPN_CERT_EXPORT,41991,LOG_ID_EVENT_VPN_CERT_EXPORT,Certificate exported,Event,vpn,Information,7.4.12
logid,Log ID,string,10,41991 - LOG_ID_EVENT_VPN_CERT_EXPORT,41991,LOG_ID_EVENT_VPN_CERT_EXPORT,Certificate exported,Event,vpn,Information,7.4.12
msg,Log Message,string,4096,41991 - LOG_ID_EVENT_VPN_CERT_EXPORT,41991,LOG_ID_EVENT_VPN_CERT_EXPORT,Certificate exported,Event,vpn,Information,7.4.12
name,Display Name of the Connection,string,128,41991 - LOG_ID_EVENT_VPN_CERT_EXPORT,41991,LOG_ID_EVENT_VPN_CERT_EXPORT,Certificate exported,Event,vpn,Information,7.4.12
status,Status,string,23,41991 - LOG_ID_EVENT_VPN_CERT_EXPORT,41991,LOG_ID_EVENT_VPN_CERT_EXPORT,Certificate exported,Event,vpn,Information,7.4.12
subtype,Log Subtype,string,20,41991 - LOG_ID_EVENT_VPN_CERT_EXPORT,41991,LOG_ID_EVENT_VPN_CERT_EXPORT,Certificate exported,Event,vpn,Information,7.4.12
time,Time,string,8,41991 - LOG_ID_EVENT_VPN_CERT_EXPORT,41991,LOG_ID_EVENT_VPN_CERT_EXPORT,Certificate exported,Event,vpn,Information,7.4.12
type,Log Type,string,16,41991 - LOG_ID_EVENT_VPN_CERT_EXPORT,41991,LOG_ID_EVENT_VPN_CERT_EXPORT,Certificate exported,Event,vpn,Information,7.4.12
tz,Time zone,string,5,41991 - LOG_ID_EVENT_VPN_CERT_EXPORT,41991,LOG_ID_EVENT_VPN_CERT_EXPORT,Certificate exported,Event,vpn,Information,7.4.12
ui,User Interface,string,64,41991 - LOG_ID_EVENT_VPN_CERT_EXPORT,41991,LOG_ID_EVENT_VPN_CERT_EXPORT,Certificate exported,Event,vpn,Information,7.4.12
user,User name of authenticated user,string,256,41991 - LOG_ID_EVENT_VPN_CERT_EXPORT,41991,LOG_ID_EVENT_VPN_CERT_EXPORT,Certificate exported,Event,vpn,Information,7.4.12
vd,Virtual Domain Name,string,32,41991 - LOG_ID_EVENT_VPN_CERT_EXPORT,41991,LOG_ID_EVENT_VPN_CERT_EXPORT,Certificate exported,Event,vpn,Information,7.4.12
