Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,Policy Action,string,65,43008 - LOG_ID_EVENT_AUTH_SUCCESS,43008,LOG_ID_EVENT_AUTH_SUCCESS,Authentication success,Event,user,Notice,7.4.12
authproto,The protocol that initiated the authentication,string,512,43008 - LOG_ID_EVENT_AUTH_SUCCESS,43008,LOG_ID_EVENT_AUTH_SUCCESS,Authentication success,Event,user,Notice,7.4.12
date,Date,string,10,43008 - LOG_ID_EVENT_AUTH_SUCCESS,43008,LOG_ID_EVENT_AUTH_SUCCESS,Authentication success,Event,user,Notice,7.4.12
devid,Device ID,string,16,43008 - LOG_ID_EVENT_AUTH_SUCCESS,43008,LOG_ID_EVENT_AUTH_SUCCESS,Authentication success,Event,user,Notice,7.4.12
dstip,Destination IP,ip,39,43008 - LOG_ID_EVENT_AUTH_SUCCESS,43008,LOG_ID_EVENT_AUTH_SUCCESS,Authentication success,Event,user,Notice,7.4.12
eventtime,Event time,uint64,20,43008 - LOG_ID_EVENT_AUTH_SUCCESS,43008,LOG_ID_EVENT_AUTH_SUCCESS,Authentication success,Event,user,Notice,7.4.12
group,User group Name,string,512,43008 - LOG_ID_EVENT_AUTH_SUCCESS,43008,LOG_ID_EVENT_AUTH_SUCCESS,Authentication success,Event,user,Notice,7.4.12
interface,Interface,string,32,43008 - LOG_ID_EVENT_AUTH_SUCCESS,43008,LOG_ID_EVENT_AUTH_SUCCESS,Authentication success,Event,user,Notice,7.4.12
level,Log Level,string,11,43008 - LOG_ID_EVENT_AUTH_SUCCESS,43008,LOG_ID_EVENT_AUTH_SUCCESS,Authentication success,Event,user,Notice,7.4.12
logdesc,Log Description,string,4096,43008 - LOG_ID_EVENT_AUTH_SUCCESS,43008,LOG_ID_EVENT_AUTH_SUCCESS,Authentication success,Event,user,Notice,7.4.12
logid,Log ID,string,10,43008 - LOG_ID_EVENT_AUTH_SUCCESS,43008,LOG_ID_EVENT_AUTH_SUCCESS,Authentication success,Event,user,Notice,7.4.12
msg,Log Message,string,4096,43008 - LOG_ID_EVENT_AUTH_SUCCESS,43008,LOG_ID_EVENT_AUTH_SUCCESS,Authentication success,Event,user,Notice,7.4.12
policyid,Policy ID,uint32,10,43008 - LOG_ID_EVENT_AUTH_SUCCESS,43008,LOG_ID_EVENT_AUTH_SUCCESS,Authentication success,Event,user,Notice,7.4.12
reason,Reason,string,256,43008 - LOG_ID_EVENT_AUTH_SUCCESS,43008,LOG_ID_EVENT_AUTH_SUCCESS,Authentication success,Event,user,Notice,7.4.12
srcip,Source IP,ip,39,43008 - LOG_ID_EVENT_AUTH_SUCCESS,43008,LOG_ID_EVENT_AUTH_SUCCESS,Authentication success,Event,user,Notice,7.4.12
status,Status,string,23,43008 - LOG_ID_EVENT_AUTH_SUCCESS,43008,LOG_ID_EVENT_AUTH_SUCCESS,Authentication success,Event,user,Notice,7.4.12
subtype,Log Subtype,string,20,43008 - LOG_ID_EVENT_AUTH_SUCCESS,43008,LOG_ID_EVENT_AUTH_SUCCESS,Authentication success,Event,user,Notice,7.4.12
time,Time,string,8,43008 - LOG_ID_EVENT_AUTH_SUCCESS,43008,LOG_ID_EVENT_AUTH_SUCCESS,Authentication success,Event,user,Notice,7.4.12
type,Log Type,string,16,43008 - LOG_ID_EVENT_AUTH_SUCCESS,43008,LOG_ID_EVENT_AUTH_SUCCESS,Authentication success,Event,user,Notice,7.4.12
tz,Time zone,string,5,43008 - LOG_ID_EVENT_AUTH_SUCCESS,43008,LOG_ID_EVENT_AUTH_SUCCESS,Authentication success,Event,user,Notice,7.4.12
user,User name of authenticated user,string,256,43008 - LOG_ID_EVENT_AUTH_SUCCESS,43008,LOG_ID_EVENT_AUTH_SUCCESS,Authentication success,Event,user,Notice,7.4.12
vd,Virtual Domain Name,string,32,43008 - LOG_ID_EVENT_AUTH_SUCCESS,43008,LOG_ID_EVENT_AUTH_SUCCESS,Authentication success,Event,user,Notice,7.4.12
