Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,43018 - LOG_ID_EVENT_AUTH_FGOVRD_FAIL,43018,LOG_ID_EVENT_AUTH_FGOVRD_FAIL,FortiGuard override failed,Event,user,Warning,7.4.12
devid,Device ID,string,16,43018 - LOG_ID_EVENT_AUTH_FGOVRD_FAIL,43018,LOG_ID_EVENT_AUTH_FGOVRD_FAIL,FortiGuard override failed,Event,user,Warning,7.4.12
dstip,Destination IP,ip,39,43018 - LOG_ID_EVENT_AUTH_FGOVRD_FAIL,43018,LOG_ID_EVENT_AUTH_FGOVRD_FAIL,FortiGuard override failed,Event,user,Warning,7.4.12
eventtime,Event time,uint64,20,43018 - LOG_ID_EVENT_AUTH_FGOVRD_FAIL,43018,LOG_ID_EVENT_AUTH_FGOVRD_FAIL,FortiGuard override failed,Event,user,Warning,7.4.12
initiator,Original login user name for Fortiguard override,string,64,43018 - LOG_ID_EVENT_AUTH_FGOVRD_FAIL,43018,LOG_ID_EVENT_AUTH_FGOVRD_FAIL,FortiGuard override failed,Event,user,Warning,7.4.12
level,Log Level,string,11,43018 - LOG_ID_EVENT_AUTH_FGOVRD_FAIL,43018,LOG_ID_EVENT_AUTH_FGOVRD_FAIL,FortiGuard override failed,Event,user,Warning,7.4.12
logdesc,Log Description,string,4096,43018 - LOG_ID_EVENT_AUTH_FGOVRD_FAIL,43018,LOG_ID_EVENT_AUTH_FGOVRD_FAIL,FortiGuard override failed,Event,user,Warning,7.4.12
logid,Log ID,string,10,43018 - LOG_ID_EVENT_AUTH_FGOVRD_FAIL,43018,LOG_ID_EVENT_AUTH_FGOVRD_FAIL,FortiGuard override failed,Event,user,Warning,7.4.12
msg,Log Message,string,4096,43018 - LOG_ID_EVENT_AUTH_FGOVRD_FAIL,43018,LOG_ID_EVENT_AUTH_FGOVRD_FAIL,FortiGuard override failed,Event,user,Warning,7.4.12
reason,Reason,string,256,43018 - LOG_ID_EVENT_AUTH_FGOVRD_FAIL,43018,LOG_ID_EVENT_AUTH_FGOVRD_FAIL,FortiGuard override failed,Event,user,Warning,7.4.12
srcip,Source IP,ip,39,43018 - LOG_ID_EVENT_AUTH_FGOVRD_FAIL,43018,LOG_ID_EVENT_AUTH_FGOVRD_FAIL,FortiGuard override failed,Event,user,Warning,7.4.12
status,Status,string,23,43018 - LOG_ID_EVENT_AUTH_FGOVRD_FAIL,43018,LOG_ID_EVENT_AUTH_FGOVRD_FAIL,FortiGuard override failed,Event,user,Warning,7.4.12
subtype,Log Subtype,string,20,43018 - LOG_ID_EVENT_AUTH_FGOVRD_FAIL,43018,LOG_ID_EVENT_AUTH_FGOVRD_FAIL,FortiGuard override failed,Event,user,Warning,7.4.12
time,Time,string,8,43018 - LOG_ID_EVENT_AUTH_FGOVRD_FAIL,43018,LOG_ID_EVENT_AUTH_FGOVRD_FAIL,FortiGuard override failed,Event,user,Warning,7.4.12
type,Log Type,string,16,43018 - LOG_ID_EVENT_AUTH_FGOVRD_FAIL,43018,LOG_ID_EVENT_AUTH_FGOVRD_FAIL,FortiGuard override failed,Event,user,Warning,7.4.12
tz,Time zone,string,5,43018 - LOG_ID_EVENT_AUTH_FGOVRD_FAIL,43018,LOG_ID_EVENT_AUTH_FGOVRD_FAIL,FortiGuard override failed,Event,user,Warning,7.4.12
vd,Virtual Domain Name,string,32,43018 - LOG_ID_EVENT_AUTH_FGOVRD_FAIL,43018,LOG_ID_EVENT_AUTH_FGOVRD_FAIL,FortiGuard override failed,Event,user,Warning,7.4.12
