Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,Policy Action,string,65,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.4.12
ap,Access Point,string,36,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.4.12
bandwidth,Bandwidth,string,42,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.4.12
cfgtxpower,Config TX power,uint32,10,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.4.12
channel,Channel,uint8,3,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.4.12
configcountry,Config Country,string,4,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.4.12
date,Date,string,10,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.4.12
devid,Device ID,string,16,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.4.12
eventtime,Event time,uint64,20,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.4.12
ip,,ip,39,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.4.12
level,Log Level,string,11,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.4.12
logdesc,Log Description,string,4096,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.4.12
logid,Log ID,string,10,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.4.12
msg,Log Message,string,4096,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.4.12
opercountry,The name of operating country on a AP,string,4,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.4.12
operdrmamode,,string,10,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.4.12
opertxpower,The value of operating tx power,uint32,10,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.4.12
radioband,The operating radio band,string,64,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.4.12
radioid,The operating radio ID,uint8,3,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.4.12
slctdrmamode,,string,10,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.4.12
sn,Serial Number,string,64,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.4.12
ssid,WiFi Service Set ID,string,33,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.4.12
