Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,Policy Action,string,65,43604 - LOG_ID_EVENT_WIRELESS_STA_CAP_EMAIL_REQUEST,43604,LOG_ID_EVENT_WIRELESS_STA_CAP_EMAIL_REQUEST,Captive-portal VAP e-mail collect request sent,Event,wireless,Warning,7.4.12
ap,Access Point,string,36,43604 - LOG_ID_EVENT_WIRELESS_STA_CAP_EMAIL_REQUEST,43604,LOG_ID_EVENT_WIRELESS_STA_CAP_EMAIL_REQUEST,Captive-portal VAP e-mail collect request sent,Event,wireless,Warning,7.4.12
authserver,Remote Authentication server,string,64,43604 - LOG_ID_EVENT_WIRELESS_STA_CAP_EMAIL_REQUEST,43604,LOG_ID_EVENT_WIRELESS_STA_CAP_EMAIL_REQUEST,Captive-portal VAP e-mail collect request sent,Event,wireless,Warning,7.4.12
channel,Channel,uint8,3,43604 - LOG_ID_EVENT_WIRELESS_STA_CAP_EMAIL_REQUEST,43604,LOG_ID_EVENT_WIRELESS_STA_CAP_EMAIL_REQUEST,Captive-portal VAP e-mail collect request sent,Event,wireless,Warning,7.4.12
date,Date,string,10,43604 - LOG_ID_EVENT_WIRELESS_STA_CAP_EMAIL_REQUEST,43604,LOG_ID_EVENT_WIRELESS_STA_CAP_EMAIL_REQUEST,Captive-portal VAP e-mail collect request sent,Event,wireless,Warning,7.4.12
devid,Device ID,string,16,43604 - LOG_ID_EVENT_WIRELESS_STA_CAP_EMAIL_REQUEST,43604,LOG_ID_EVENT_WIRELESS_STA_CAP_EMAIL_REQUEST,Captive-portal VAP e-mail collect request sent,Event,wireless,Warning,7.4.12
encryption,The encryption type of detected rogue AP,string,12,43604 - LOG_ID_EVENT_WIRELESS_STA_CAP_EMAIL_REQUEST,43604,LOG_ID_EVENT_WIRELESS_STA_CAP_EMAIL_REQUEST,Captive-portal VAP e-mail collect request sent,Event,wireless,Warning,7.4.12
eventtime,Event time,uint64,20,43604 - LOG_ID_EVENT_WIRELESS_STA_CAP_EMAIL_REQUEST,43604,LOG_ID_EVENT_WIRELESS_STA_CAP_EMAIL_REQUEST,Captive-portal VAP e-mail collect request sent,Event,wireless,Warning,7.4.12
group,User group Name,string,512,43604 - LOG_ID_EVENT_WIRELESS_STA_CAP_EMAIL_REQUEST,43604,LOG_ID_EVENT_WIRELESS_STA_CAP_EMAIL_REQUEST,Captive-portal VAP e-mail collect request sent,Event,wireless,Warning,7.4.12
level,Log Level,string,11,43604 - LOG_ID_EVENT_WIRELESS_STA_CAP_EMAIL_REQUEST,43604,LOG_ID_EVENT_WIRELESS_STA_CAP_EMAIL_REQUEST,Captive-portal VAP e-mail collect request sent,Event,wireless,Warning,7.4.12
logdesc,Log Description,string,4096,43604 - LOG_ID_EVENT_WIRELESS_STA_CAP_EMAIL_REQUEST,43604,LOG_ID_EVENT_WIRELESS_STA_CAP_EMAIL_REQUEST,Captive-portal VAP e-mail collect request sent,Event,wireless,Warning,7.4.12
logid,Log ID,string,10,43604 - LOG_ID_EVENT_WIRELESS_STA_CAP_EMAIL_REQUEST,43604,LOG_ID_EVENT_WIRELESS_STA_CAP_EMAIL_REQUEST,Captive-portal VAP e-mail collect request sent,Event,wireless,Warning,7.4.12
mpsk,Multiple pre-shared keys,string,33,43604 - LOG_ID_EVENT_WIRELESS_STA_CAP_EMAIL_REQUEST,43604,LOG_ID_EVENT_WIRELESS_STA_CAP_EMAIL_REQUEST,Captive-portal VAP e-mail collect request sent,Event,wireless,Warning,7.4.12
msg,Log Message,string,4096,43604 - LOG_ID_EVENT_WIRELESS_STA_CAP_EMAIL_REQUEST,43604,LOG_ID_EVENT_WIRELESS_STA_CAP_EMAIL_REQUEST,Captive-portal VAP e-mail collect request sent,Event,wireless,Warning,7.4.12
radioband,The operating radio band,string,64,43604 - LOG_ID_EVENT_WIRELESS_STA_CAP_EMAIL_REQUEST,43604,LOG_ID_EVENT_WIRELESS_STA_CAP_EMAIL_REQUEST,Captive-portal VAP e-mail collect request sent,Event,wireless,Warning,7.4.12
radioid,The operating radio ID,uint8,3,43604 - LOG_ID_EVENT_WIRELESS_STA_CAP_EMAIL_REQUEST,43604,LOG_ID_EVENT_WIRELESS_STA_CAP_EMAIL_REQUEST,Captive-portal VAP e-mail collect request sent,Event,wireless,Warning,7.4.12
reason,Reason,string,256,43604 - LOG_ID_EVENT_WIRELESS_STA_CAP_EMAIL_REQUEST,43604,LOG_ID_EVENT_WIRELESS_STA_CAP_EMAIL_REQUEST,Captive-portal VAP e-mail collect request sent,Event,wireless,Warning,7.4.12
security,Security,string,40,43604 - LOG_ID_EVENT_WIRELESS_STA_CAP_EMAIL_REQUEST,43604,LOG_ID_EVENT_WIRELESS_STA_CAP_EMAIL_REQUEST,Captive-portal VAP e-mail collect request sent,Event,wireless,Warning,7.4.12
signal,The signal value of SSID or client,int8,4,43604 - LOG_ID_EVENT_WIRELESS_STA_CAP_EMAIL_REQUEST,43604,LOG_ID_EVENT_WIRELESS_STA_CAP_EMAIL_REQUEST,Captive-portal VAP e-mail collect request sent,Event,wireless,Warning,7.4.12
sn,Serial Number,string,64,43604 - LOG_ID_EVENT_WIRELESS_STA_CAP_EMAIL_REQUEST,43604,LOG_ID_EVENT_WIRELESS_STA_CAP_EMAIL_REQUEST,Captive-portal VAP e-mail collect request sent,Event,wireless,Warning,7.4.12
