Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,Policy Action,string,65,43628 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,43628,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,Wireless station CMCC MAC auth success,Event,wireless,Notice,7.4.12
ap,Access Point,string,36,43628 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,43628,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,Wireless station CMCC MAC auth success,Event,wireless,Notice,7.4.12
authserver,Remote Authentication server,string,64,43628 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,43628,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,Wireless station CMCC MAC auth success,Event,wireless,Notice,7.4.12
channel,Channel,uint8,3,43628 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,43628,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,Wireless station CMCC MAC auth success,Event,wireless,Notice,7.4.12
date,Date,string,10,43628 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,43628,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,Wireless station CMCC MAC auth success,Event,wireless,Notice,7.4.12
devid,Device ID,string,16,43628 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,43628,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,Wireless station CMCC MAC auth success,Event,wireless,Notice,7.4.12
encryption,The encryption type of detected rogue AP,string,12,43628 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,43628,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,Wireless station CMCC MAC auth success,Event,wireless,Notice,7.4.12
eventtime,Event time,uint64,20,43628 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,43628,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,Wireless station CMCC MAC auth success,Event,wireless,Notice,7.4.12
group,User group Name,string,512,43628 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,43628,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,Wireless station CMCC MAC auth success,Event,wireless,Notice,7.4.12
level,Log Level,string,11,43628 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,43628,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,Wireless station CMCC MAC auth success,Event,wireless,Notice,7.4.12
logdesc,Log Description,string,4096,43628 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,43628,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,Wireless station CMCC MAC auth success,Event,wireless,Notice,7.4.12
logid,Log ID,string,10,43628 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,43628,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,Wireless station CMCC MAC auth success,Event,wireless,Notice,7.4.12
mpsk,Multiple pre-shared keys,string,33,43628 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,43628,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,Wireless station CMCC MAC auth success,Event,wireless,Notice,7.4.12
msg,Log Message,string,4096,43628 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,43628,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,Wireless station CMCC MAC auth success,Event,wireless,Notice,7.4.12
radioband,The operating radio band,string,64,43628 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,43628,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,Wireless station CMCC MAC auth success,Event,wireless,Notice,7.4.12
radioid,The operating radio ID,uint8,3,43628 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,43628,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,Wireless station CMCC MAC auth success,Event,wireless,Notice,7.4.12
reason,Reason,string,256,43628 - LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,43628,LOG_ID_EVENT_WIRELESS_STA_CAP_CMCC_MAC_AUTH_SUCCESS,Wireless station CMCC MAC auth success,Event,wireless,Notice,7.4.12
