Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,Policy Action,string,65,43712 - LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,43712,LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,AP as station failed in SAM authentication,Event,wireless,Notice,7.4.12
ap,Access Point,string,36,43712 - LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,43712,LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,AP as station failed in SAM authentication,Event,wireless,Notice,7.4.12
bssid,Basic service set ID,string,17,43712 - LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,43712,LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,AP as station failed in SAM authentication,Event,wireless,Notice,7.4.12
channel,Channel,uint8,3,43712 - LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,43712,LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,AP as station failed in SAM authentication,Event,wireless,Notice,7.4.12
date,Date,string,10,43712 - LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,43712,LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,AP as station failed in SAM authentication,Event,wireless,Notice,7.4.12
devid,Device ID,string,16,43712 - LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,43712,LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,AP as station failed in SAM authentication,Event,wireless,Notice,7.4.12
encryption,The encryption type of detected rogue AP,string,12,43712 - LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,43712,LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,AP as station failed in SAM authentication,Event,wireless,Notice,7.4.12
eventtime,Event time,uint64,20,43712 - LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,43712,LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,AP as station failed in SAM authentication,Event,wireless,Notice,7.4.12
level,Log Level,string,11,43712 - LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,43712,LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,AP as station failed in SAM authentication,Event,wireless,Notice,7.4.12
logdesc,Log Description,string,4096,43712 - LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,43712,LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,AP as station failed in SAM authentication,Event,wireless,Notice,7.4.12
logid,Log ID,string,10,43712 - LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,43712,LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,AP as station failed in SAM authentication,Event,wireless,Notice,7.4.12
msg,Log Message,string,4096,43712 - LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,43712,LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,AP as station failed in SAM authentication,Event,wireless,Notice,7.4.12
radioid,The operating radio ID,uint8,3,43712 - LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,43712,LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,AP as station failed in SAM authentication,Event,wireless,Notice,7.4.12
remotewtptime,The time of AP when client trying to connect,string,32,43712 - LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,43712,LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,AP as station failed in SAM authentication,Event,wireless,Notice,7.4.12
security,Security,string,40,43712 - LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,43712,LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,AP as station failed in SAM authentication,Event,wireless,Notice,7.4.12
sn,Serial Number,string,64,43712 - LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,43712,LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,AP as station failed in SAM authentication,Event,wireless,Notice,7.4.12
ssid,WiFi Service Set ID,string,33,43712 - LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,43712,LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,AP as station failed in SAM authentication,Event,wireless,Notice,7.4.12
stamac,The MAC address of wifi station,string,17,43712 - LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,43712,LOG_ID_EVENT_WIRELESS_SAM_AUTH_FAILED,AP as station failed in SAM authentication,Event,wireless,Notice,7.4.12
