Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,Policy Action,string,65,43776 - LOG_ID_EVENT_NAC_QUARANTINE,43776,LOG_ID_EVENT_NAC_QUARANTINE,NAC quarantine,Event,system,Notice,7.4.12
admin,Administrator,string,64,43776 - LOG_ID_EVENT_NAC_QUARANTINE,43776,LOG_ID_EVENT_NAC_QUARANTINE,NAC quarantine,Event,system,Notice,7.4.12
banned_rule,NAC quarantine Banned Rule Name,string,80,43776 - LOG_ID_EVENT_NAC_QUARANTINE,43776,LOG_ID_EVENT_NAC_QUARANTINE,NAC quarantine,Event,system,Notice,7.4.12
banned_src,NAC quarantine Banned Source IP,string,16,43776 - LOG_ID_EVENT_NAC_QUARANTINE,43776,LOG_ID_EVENT_NAC_QUARANTINE,NAC quarantine,Event,system,Notice,7.4.12
date,Date,string,10,43776 - LOG_ID_EVENT_NAC_QUARANTINE,43776,LOG_ID_EVENT_NAC_QUARANTINE,NAC quarantine,Event,system,Notice,7.4.12
devid,Device ID,string,16,43776 - LOG_ID_EVENT_NAC_QUARANTINE,43776,LOG_ID_EVENT_NAC_QUARANTINE,NAC quarantine,Event,system,Notice,7.4.12
dst_int,Destination Interface,string,64,43776 - LOG_ID_EVENT_NAC_QUARANTINE,43776,LOG_ID_EVENT_NAC_QUARANTINE,NAC quarantine,Event,system,Notice,7.4.12
dstip,Destination IP,ip,39,43776 - LOG_ID_EVENT_NAC_QUARANTINE,43776,LOG_ID_EVENT_NAC_QUARANTINE,NAC quarantine,Event,system,Notice,7.4.12
dstport,Destination Protocol Port,uint16,5,43776 - LOG_ID_EVENT_NAC_QUARANTINE,43776,LOG_ID_EVENT_NAC_QUARANTINE,NAC quarantine,Event,system,Notice,7.4.12
duration,Duration,uint32,10,43776 - LOG_ID_EVENT_NAC_QUARANTINE,43776,LOG_ID_EVENT_NAC_QUARANTINE,NAC quarantine,Event,system,Notice,7.4.12
eventtime,Event time,uint64,20,43776 - LOG_ID_EVENT_NAC_QUARANTINE,43776,LOG_ID_EVENT_NAC_QUARANTINE,NAC quarantine,Event,system,Notice,7.4.12
group,User group Name,string,512,43776 - LOG_ID_EVENT_NAC_QUARANTINE,43776,LOG_ID_EVENT_NAC_QUARANTINE,NAC quarantine,Event,system,Notice,7.4.12
level,Log Level,string,11,43776 - LOG_ID_EVENT_NAC_QUARANTINE,43776,LOG_ID_EVENT_NAC_QUARANTINE,NAC quarantine,Event,system,Notice,7.4.12
logdesc,Log Description,string,4096,43776 - LOG_ID_EVENT_NAC_QUARANTINE,43776,LOG_ID_EVENT_NAC_QUARANTINE,NAC quarantine,Event,system,Notice,7.4.12
logid,Log ID,string,10,43776 - LOG_ID_EVENT_NAC_QUARANTINE,43776,LOG_ID_EVENT_NAC_QUARANTINE,NAC quarantine,Event,system,Notice,7.4.12
msg,Log Message,string,4096,43776 - LOG_ID_EVENT_NAC_QUARANTINE,43776,LOG_ID_EVENT_NAC_QUARANTINE,NAC quarantine,Event,system,Notice,7.4.12
policyid,Policy ID,uint32,10,43776 - LOG_ID_EVENT_NAC_QUARANTINE,43776,LOG_ID_EVENT_NAC_QUARANTINE,NAC quarantine,Event,system,Notice,7.4.12
profile,Profile Name,string,64,43776 - LOG_ID_EVENT_NAC_QUARANTINE,43776,LOG_ID_EVENT_NAC_QUARANTINE,NAC quarantine,Event,system,Notice,7.4.12
proto,Protocol Number,uint8,3,43776 - LOG_ID_EVENT_NAC_QUARANTINE,43776,LOG_ID_EVENT_NAC_QUARANTINE,NAC quarantine,Event,system,Notice,7.4.12
service,Name of Service,string,64,43776 - LOG_ID_EVENT_NAC_QUARANTINE,43776,LOG_ID_EVENT_NAC_QUARANTINE,NAC quarantine,Event,system,Notice,7.4.12
src_int,Source Interface,string,64,43776 - LOG_ID_EVENT_NAC_QUARANTINE,43776,LOG_ID_EVENT_NAC_QUARANTINE,NAC quarantine,Event,system,Notice,7.4.12
srcip,Source IP,ip,39,43776 - LOG_ID_EVENT_NAC_QUARANTINE,43776,LOG_ID_EVENT_NAC_QUARANTINE,NAC quarantine,Event,system,Notice,7.4.12
srcport,Source port,uint16,5,43776 - LOG_ID_EVENT_NAC_QUARANTINE,43776,LOG_ID_EVENT_NAC_QUARANTINE,NAC quarantine,Event,system,Notice,7.4.12
subtype,Log Subtype,string,20,43776 - LOG_ID_EVENT_NAC_QUARANTINE,43776,LOG_ID_EVENT_NAC_QUARANTINE,NAC quarantine,Event,system,Notice,7.4.12
time,Time,string,8,43776 - LOG_ID_EVENT_NAC_QUARANTINE,43776,LOG_ID_EVENT_NAC_QUARANTINE,NAC quarantine,Event,system,Notice,7.4.12
type,Log Type,string,16,43776 - LOG_ID_EVENT_NAC_QUARANTINE,43776,LOG_ID_EVENT_NAC_QUARANTINE,NAC quarantine,Event,system,Notice,7.4.12
tz,Time zone,string,5,43776 - LOG_ID_EVENT_NAC_QUARANTINE,43776,LOG_ID_EVENT_NAC_QUARANTINE,NAC quarantine,Event,system,Notice,7.4.12
user,User name of authenticated user,string,256,43776 - LOG_ID_EVENT_NAC_QUARANTINE,43776,LOG_ID_EVENT_NAC_QUARANTINE,NAC quarantine,Event,system,Notice,7.4.12
vd,Virtual Domain Name,string,32,43776 - LOG_ID_EVENT_NAC_QUARANTINE,43776,LOG_ID_EVENT_NAC_QUARANTINE,NAC quarantine,Event,system,Notice,7.4.12
