Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,,string,20,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
authalgo,,string,7,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
certdesc,,string,64,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
certhash,,string,40,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
cipher,,string,6,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
date,,string,10,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
devid,,string,16,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
dstcountry,,string,64,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
dstintf,,string,32,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
dstintfrole,,string,10,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
dstip,,ip,39,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
dstport,,uint16,5,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
dstuser,,string,256,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
dstuuid,,string,37,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
eventsubtype,,string,32,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
eventtime,,uint64,20,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
eventtype,,string,32,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
fctuid,,string,32,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
group,,string,512,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
hostname,,string,256,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
kxcurve,,string,32,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
kxproto,,string,7,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
level,,string,11,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
logid,,string,10,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
msg,,string,512,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
policyid,,uint32,10,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
policytype,,string,24,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
poluuid,,string,37,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
profile,,string,64,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
proto,,uint8,3,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
service,,string,5,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
sessionid,,uint32,10,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
sni,,string,256,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
srccountry,,string,64,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
srcdomain,,string,255,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
srcintf,,string,32,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
srcintfrole,,string,10,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
srcip,,ip,39,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
srcport,,uint16,5,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
srcuuid,,string,37,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
subtype,,string,20,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
time,,string,8,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
tlsver,,string,8,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
type,,string,16,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
tz,,string,5,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
unauthuser,,string,66,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
unauthusersource,,string,66,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
user,,string,256,62303 - LOG_ID_SSL_ANOMALY_CERT_BLOCKED,62303,LOG_ID_SSL_ANOMALY_CERT_BLOCKED,SSL connection is blocked due to server certificate security problem,SSL,ssl-anomaly,Warning,7.4.12
