Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,,string,20,62308 - LOG_ID_SSL_ANOMALY_HANDSHAKE_FAILURE,62308,LOG_ID_SSL_ANOMALY_HANDSHAKE_FAILURE,Error occured during SSL handshake.,SSL,ssl-anomaly,Information,7.4.12
authalgo,,string,7,62308 - LOG_ID_SSL_ANOMALY_HANDSHAKE_FAILURE,62308,LOG_ID_SSL_ANOMALY_HANDSHAKE_FAILURE,Error occured during SSL handshake.,SSL,ssl-anomaly,Information,7.4.12
certdesc,,string,64,62308 - LOG_ID_SSL_ANOMALY_HANDSHAKE_FAILURE,62308,LOG_ID_SSL_ANOMALY_HANDSHAKE_FAILURE,Error occured during SSL handshake.,SSL,ssl-anomaly,Information,7.4.12
certhash,,string,40,62308 - LOG_ID_SSL_ANOMALY_HANDSHAKE_FAILURE,62308,LOG_ID_SSL_ANOMALY_HANDSHAKE_FAILURE,Error occured during SSL handshake.,SSL,ssl-anomaly,Information,7.4.12
cipher,,string,6,62308 - LOG_ID_SSL_ANOMALY_HANDSHAKE_FAILURE,62308,LOG_ID_SSL_ANOMALY_HANDSHAKE_FAILURE,Error occured during SSL handshake.,SSL,ssl-anomaly,Information,7.4.12
date,,string,10,62308 - LOG_ID_SSL_ANOMALY_HANDSHAKE_FAILURE,62308,LOG_ID_SSL_ANOMALY_HANDSHAKE_FAILURE,Error occured during SSL handshake.,SSL,ssl-anomaly,Information,7.4.12
devid,,string,16,62308 - LOG_ID_SSL_ANOMALY_HANDSHAKE_FAILURE,62308,LOG_ID_SSL_ANOMALY_HANDSHAKE_FAILURE,Error occured during SSL handshake.,SSL,ssl-anomaly,Information,7.4.12
dstcountry,,string,64,62308 - LOG_ID_SSL_ANOMALY_HANDSHAKE_FAILURE,62308,LOG_ID_SSL_ANOMALY_HANDSHAKE_FAILURE,Error occured during SSL handshake.,SSL,ssl-anomaly,Information,7.4.12
dstintf,,string,32,62308 - LOG_ID_SSL_ANOMALY_HANDSHAKE_FAILURE,62308,LOG_ID_SSL_ANOMALY_HANDSHAKE_FAILURE,Error occured during SSL handshake.,SSL,ssl-anomaly,Information,7.4.12
dstintfrole,,string,10,62308 - LOG_ID_SSL_ANOMALY_HANDSHAKE_FAILURE,62308,LOG_ID_SSL_ANOMALY_HANDSHAKE_FAILURE,Error occured during SSL handshake.,SSL,ssl-anomaly,Information,7.4.12
dstip,,ip,39,62308 - LOG_ID_SSL_ANOMALY_HANDSHAKE_FAILURE,62308,LOG_ID_SSL_ANOMALY_HANDSHAKE_FAILURE,Error occured during SSL handshake.,SSL,ssl-anomaly,Information,7.4.12
dstport,,uint16,5,62308 - LOG_ID_SSL_ANOMALY_HANDSHAKE_FAILURE,62308,LOG_ID_SSL_ANOMALY_HANDSHAKE_FAILURE,Error occured during SSL handshake.,SSL,ssl-anomaly,Information,7.4.12
dstuser,,string,256,62308 - LOG_ID_SSL_ANOMALY_HANDSHAKE_FAILURE,62308,LOG_ID_SSL_ANOMALY_HANDSHAKE_FAILURE,Error occured during SSL handshake.,SSL,ssl-anomaly,Information,7.4.12
dstuuid,,string,37,62308 - LOG_ID_SSL_ANOMALY_HANDSHAKE_FAILURE,62308,LOG_ID_SSL_ANOMALY_HANDSHAKE_FAILURE,Error occured during SSL handshake.,SSL,ssl-anomaly,Information,7.4.12
eventsubtype,,string,32,62308 - LOG_ID_SSL_ANOMALY_HANDSHAKE_FAILURE,62308,LOG_ID_SSL_ANOMALY_HANDSHAKE_FAILURE,Error occured during SSL handshake.,SSL,ssl-anomaly,Information,7.4.12
eventtime,,uint64,20,62308 - LOG_ID_SSL_ANOMALY_HANDSHAKE_FAILURE,62308,LOG_ID_SSL_ANOMALY_HANDSHAKE_FAILURE,Error occured during SSL handshake.,SSL,ssl-anomaly,Information,7.4.12
eventtype,,string,32,62308 - LOG_ID_SSL_ANOMALY_HANDSHAKE_FAILURE,62308,LOG_ID_SSL_ANOMALY_HANDSHAKE_FAILURE,Error occured during SSL handshake.,SSL,ssl-anomaly,Information,7.4.12
fctuid,,string,32,62308 - LOG_ID_SSL_ANOMALY_HANDSHAKE_FAILURE,62308,LOG_ID_SSL_ANOMALY_HANDSHAKE_FAILURE,Error occured during SSL handshake.,SSL,ssl-anomaly,Information,7.4.12
group,,string,512,62308 - LOG_ID_SSL_ANOMALY_HANDSHAKE_FAILURE,62308,LOG_ID_SSL_ANOMALY_HANDSHAKE_FAILURE,Error occured during SSL handshake.,SSL,ssl-anomaly,Information,7.4.12
