Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,,string,10,63002 - LOG_ID_CIFS_CONN_FAIL,63002,LOG_ID_CIFS_CONN_FAIL,Unable to connect to the CIFS Domain Controller,Event,cifs-auth-fail,Warning,7.4.12
devid,,string,16,63002 - LOG_ID_CIFS_CONN_FAIL,63002,LOG_ID_CIFS_CONN_FAIL,Unable to connect to the CIFS Domain Controller,Event,cifs-auth-fail,Warning,7.4.12
domainctrlauthstate,,uint32,5,63002 - LOG_ID_CIFS_CONN_FAIL,63002,LOG_ID_CIFS_CONN_FAIL,Unable to connect to the CIFS Domain Controller,Event,cifs-auth-fail,Warning,7.4.12
domainctrlauthtype,,uint32,5,63002 - LOG_ID_CIFS_CONN_FAIL,63002,LOG_ID_CIFS_CONN_FAIL,Unable to connect to the CIFS Domain Controller,Event,cifs-auth-fail,Warning,7.4.12
domainctrldomain,,string,80,63002 - LOG_ID_CIFS_CONN_FAIL,63002,LOG_ID_CIFS_CONN_FAIL,Unable to connect to the CIFS Domain Controller,Event,cifs-auth-fail,Warning,7.4.12
domainctrlip,,ip,39,63002 - LOG_ID_CIFS_CONN_FAIL,63002,LOG_ID_CIFS_CONN_FAIL,Unable to connect to the CIFS Domain Controller,Event,cifs-auth-fail,Warning,7.4.12
domainctrlname,,string,64,63002 - LOG_ID_CIFS_CONN_FAIL,63002,LOG_ID_CIFS_CONN_FAIL,Unable to connect to the CIFS Domain Controller,Event,cifs-auth-fail,Warning,7.4.12
domainctrlprotocoltype,,uint32,5,63002 - LOG_ID_CIFS_CONN_FAIL,63002,LOG_ID_CIFS_CONN_FAIL,Unable to connect to the CIFS Domain Controller,Event,cifs-auth-fail,Warning,7.4.12
domainctrlusername,,string,65,63002 - LOG_ID_CIFS_CONN_FAIL,63002,LOG_ID_CIFS_CONN_FAIL,Unable to connect to the CIFS Domain Controller,Event,cifs-auth-fail,Warning,7.4.12
dst_int,,string,64,63002 - LOG_ID_CIFS_CONN_FAIL,63002,LOG_ID_CIFS_CONN_FAIL,Unable to connect to the CIFS Domain Controller,Event,cifs-auth-fail,Warning,7.4.12
dstintfrole,,string,10,63002 - LOG_ID_CIFS_CONN_FAIL,63002,LOG_ID_CIFS_CONN_FAIL,Unable to connect to the CIFS Domain Controller,Event,cifs-auth-fail,Warning,7.4.12
dstip,,ip,39,63002 - LOG_ID_CIFS_CONN_FAIL,63002,LOG_ID_CIFS_CONN_FAIL,Unable to connect to the CIFS Domain Controller,Event,cifs-auth-fail,Warning,7.4.12
dstport,,uint16,5,63002 - LOG_ID_CIFS_CONN_FAIL,63002,LOG_ID_CIFS_CONN_FAIL,Unable to connect to the CIFS Domain Controller,Event,cifs-auth-fail,Warning,7.4.12
error,,string,256,63002 - LOG_ID_CIFS_CONN_FAIL,63002,LOG_ID_CIFS_CONN_FAIL,Unable to connect to the CIFS Domain Controller,Event,cifs-auth-fail,Warning,7.4.12
eventtime,,uint64,20,63002 - LOG_ID_CIFS_CONN_FAIL,63002,LOG_ID_CIFS_CONN_FAIL,Unable to connect to the CIFS Domain Controller,Event,cifs-auth-fail,Warning,7.4.12
level,,string,11,63002 - LOG_ID_CIFS_CONN_FAIL,63002,LOG_ID_CIFS_CONN_FAIL,Unable to connect to the CIFS Domain Controller,Event,cifs-auth-fail,Warning,7.4.12
logdesc,,string,4096,63002 - LOG_ID_CIFS_CONN_FAIL,63002,LOG_ID_CIFS_CONN_FAIL,Unable to connect to the CIFS Domain Controller,Event,cifs-auth-fail,Warning,7.4.12
logid,,string,10,63002 - LOG_ID_CIFS_CONN_FAIL,63002,LOG_ID_CIFS_CONN_FAIL,Unable to connect to the CIFS Domain Controller,Event,cifs-auth-fail,Warning,7.4.12
msg,,string,4096,63002 - LOG_ID_CIFS_CONN_FAIL,63002,LOG_ID_CIFS_CONN_FAIL,Unable to connect to the CIFS Domain Controller,Event,cifs-auth-fail,Warning,7.4.12
policyid,,uint32,10,63002 - LOG_ID_CIFS_CONN_FAIL,63002,LOG_ID_CIFS_CONN_FAIL,Unable to connect to the CIFS Domain Controller,Event,cifs-auth-fail,Warning,7.4.12
profile,,string,64,63002 - LOG_ID_CIFS_CONN_FAIL,63002,LOG_ID_CIFS_CONN_FAIL,Unable to connect to the CIFS Domain Controller,Event,cifs-auth-fail,Warning,7.4.12
src_int,,string,64,63002 - LOG_ID_CIFS_CONN_FAIL,63002,LOG_ID_CIFS_CONN_FAIL,Unable to connect to the CIFS Domain Controller,Event,cifs-auth-fail,Warning,7.4.12
srcintfrole,,string,10,63002 - LOG_ID_CIFS_CONN_FAIL,63002,LOG_ID_CIFS_CONN_FAIL,Unable to connect to the CIFS Domain Controller,Event,cifs-auth-fail,Warning,7.4.12
srcip,,ip,39,63002 - LOG_ID_CIFS_CONN_FAIL,63002,LOG_ID_CIFS_CONN_FAIL,Unable to connect to the CIFS Domain Controller,Event,cifs-auth-fail,Warning,7.4.12
srcport,,uint16,5,63002 - LOG_ID_CIFS_CONN_FAIL,63002,LOG_ID_CIFS_CONN_FAIL,Unable to connect to the CIFS Domain Controller,Event,cifs-auth-fail,Warning,7.4.12
subtype,,string,20,63002 - LOG_ID_CIFS_CONN_FAIL,63002,LOG_ID_CIFS_CONN_FAIL,Unable to connect to the CIFS Domain Controller,Event,cifs-auth-fail,Warning,7.4.12
time,,string,8,63002 - LOG_ID_CIFS_CONN_FAIL,63002,LOG_ID_CIFS_CONN_FAIL,Unable to connect to the CIFS Domain Controller,Event,cifs-auth-fail,Warning,7.4.12
type,,string,16,63002 - LOG_ID_CIFS_CONN_FAIL,63002,LOG_ID_CIFS_CONN_FAIL,Unable to connect to the CIFS Domain Controller,Event,cifs-auth-fail,Warning,7.4.12
tz,,string,5,63002 - LOG_ID_CIFS_CONN_FAIL,63002,LOG_ID_CIFS_CONN_FAIL,Unable to connect to the CIFS Domain Controller,Event,cifs-auth-fail,Warning,7.4.12
vd,,string,32,63002 - LOG_ID_CIFS_CONN_FAIL,63002,LOG_ID_CIFS_CONN_FAIL,Unable to connect to the CIFS Domain Controller,Event,cifs-auth-fail,Warning,7.4.12
