Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,,string,18,8228 - MESGID_ICB_ERROR_WARNING,8228,MESGID_ICB_ERROR_WARNING,Inline Block scan error (warning),Virus,inline-block,Warning,7.4.12
agent,,string,1024,8228 - MESGID_ICB_ERROR_WARNING,8228,MESGID_ICB_ERROR_WARNING,Inline Block scan error (warning),Virus,inline-block,Warning,7.4.12
analyticscksum,,string,64,8228 - MESGID_ICB_ERROR_WARNING,8228,MESGID_ICB_ERROR_WARNING,Inline Block scan error (warning),Virus,inline-block,Warning,7.4.12
analyticssubmit,,string,10,8228 - MESGID_ICB_ERROR_WARNING,8228,MESGID_ICB_ERROR_WARNING,Inline Block scan error (warning),Virus,inline-block,Warning,7.4.12
attachment,,string,3,8228 - MESGID_ICB_ERROR_WARNING,8228,MESGID_ICB_ERROR_WARNING,Inline Block scan error (warning),Virus,inline-block,Warning,7.4.12
authserver,,string,64,8228 - MESGID_ICB_ERROR_WARNING,8228,MESGID_ICB_ERROR_WARNING,Inline Block scan error (warning),Virus,inline-block,Warning,7.4.12
cc,,string,512,8228 - MESGID_ICB_ERROR_WARNING,8228,MESGID_ICB_ERROR_WARNING,Inline Block scan error (warning),Virus,inline-block,Warning,7.4.12
cdrcontent,,string,256,8228 - MESGID_ICB_ERROR_WARNING,8228,MESGID_ICB_ERROR_WARNING,Inline Block scan error (warning),Virus,inline-block,Warning,7.4.12
checksum,,string,16,8228 - MESGID_ICB_ERROR_WARNING,8228,MESGID_ICB_ERROR_WARNING,Inline Block scan error (warning),Virus,inline-block,Warning,7.4.12
contentdisarmed,,string,13,8228 - MESGID_ICB_ERROR_WARNING,8228,MESGID_ICB_ERROR_WARNING,Inline Block scan error (warning),Virus,inline-block,Warning,7.4.12
craction,,uint32,10,8228 - MESGID_ICB_ERROR_WARNING,8228,MESGID_ICB_ERROR_WARNING,Inline Block scan error (warning),Virus,inline-block,Warning,7.4.12
crlevel,,string,10,8228 - MESGID_ICB_ERROR_WARNING,8228,MESGID_ICB_ERROR_WARNING,Inline Block scan error (warning),Virus,inline-block,Warning,7.4.12
crscore,,uint32,10,8228 - MESGID_ICB_ERROR_WARNING,8228,MESGID_ICB_ERROR_WARNING,Inline Block scan error (warning),Virus,inline-block,Warning,7.4.12
date,,string,10,8228 - MESGID_ICB_ERROR_WARNING,8228,MESGID_ICB_ERROR_WARNING,Inline Block scan error (warning),Virus,inline-block,Warning,7.4.12
devid,,string,16,8228 - MESGID_ICB_ERROR_WARNING,8228,MESGID_ICB_ERROR_WARNING,Inline Block scan error (warning),Virus,inline-block,Warning,7.4.12
direction,,string,8,8228 - MESGID_ICB_ERROR_WARNING,8228,MESGID_ICB_ERROR_WARNING,Inline Block scan error (warning),Virus,inline-block,Warning,7.4.12
dstauthserver,,string,64,8228 - MESGID_ICB_ERROR_WARNING,8228,MESGID_ICB_ERROR_WARNING,Inline Block scan error (warning),Virus,inline-block,Warning,7.4.12
dstcountry,,string,64,8228 - MESGID_ICB_ERROR_WARNING,8228,MESGID_ICB_ERROR_WARNING,Inline Block scan error (warning),Virus,inline-block,Warning,7.4.12
dstintf,,string,32,8228 - MESGID_ICB_ERROR_WARNING,8228,MESGID_ICB_ERROR_WARNING,Inline Block scan error (warning),Virus,inline-block,Warning,7.4.12
dstintfrole,,string,10,8228 - MESGID_ICB_ERROR_WARNING,8228,MESGID_ICB_ERROR_WARNING,Inline Block scan error (warning),Virus,inline-block,Warning,7.4.12
dstip,,ip,39,8228 - MESGID_ICB_ERROR_WARNING,8228,MESGID_ICB_ERROR_WARNING,Inline Block scan error (warning),Virus,inline-block,Warning,7.4.12
dstport,,uint16,5,8228 - MESGID_ICB_ERROR_WARNING,8228,MESGID_ICB_ERROR_WARNING,Inline Block scan error (warning),Virus,inline-block,Warning,7.4.12
dstuser,,string,256,8228 - MESGID_ICB_ERROR_WARNING,8228,MESGID_ICB_ERROR_WARNING,Inline Block scan error (warning),Virus,inline-block,Warning,7.4.12
dstuuid,,string,37,8228 - MESGID_ICB_ERROR_WARNING,8228,MESGID_ICB_ERROR_WARNING,Inline Block scan error (warning),Virus,inline-block,Warning,7.4.12
dtype,,string,32,8228 - MESGID_ICB_ERROR_WARNING,8228,MESGID_ICB_ERROR_WARNING,Inline Block scan error (warning),Virus,inline-block,Warning,7.4.12
eventtime,,uint64,20,8228 - MESGID_ICB_ERROR_WARNING,8228,MESGID_ICB_ERROR_WARNING,Inline Block scan error (warning),Virus,inline-block,Warning,7.4.12
eventtype,,string,32,8228 - MESGID_ICB_ERROR_WARNING,8228,MESGID_ICB_ERROR_WARNING,Inline Block scan error (warning),Virus,inline-block,Warning,7.4.12
fctuid,,string,32,8228 - MESGID_ICB_ERROR_WARNING,8228,MESGID_ICB_ERROR_WARNING,Inline Block scan error (warning),Virus,inline-block,Warning,7.4.12
filehash,,string,64,8228 - MESGID_ICB_ERROR_WARNING,8228,MESGID_ICB_ERROR_WARNING,Inline Block scan error (warning),Virus,inline-block,Warning,7.4.12
filehashsrc,,string,32,8228 - MESGID_ICB_ERROR_WARNING,8228,MESGID_ICB_ERROR_WARNING,Inline Block scan error (warning),Virus,inline-block,Warning,7.4.12
filename,,string,256,8228 - MESGID_ICB_ERROR_WARNING,8228,MESGID_ICB_ERROR_WARNING,Inline Block scan error (warning),Virus,inline-block,Warning,7.4.12
filetype,,string,16,8228 - MESGID_ICB_ERROR_WARNING,8228,MESGID_ICB_ERROR_WARNING,Inline Block scan error (warning),Virus,inline-block,Warning,7.4.12
forwardedfor,,string,128,8228 - MESGID_ICB_ERROR_WARNING,8228,MESGID_ICB_ERROR_WARNING,Inline Block scan error (warning),Virus,inline-block,Warning,7.4.12
