Log Field Name,APP-CTRL,Anomaly,DLP,DNS,EmailFilter,FILE-FILTER,FORTI-SWITCH,GTP,ICAP,IPS,SSH,SSL,Virus,VoIP,WAF,Webfilter,casb,virtual-patch
_total,14,3,4,12,5,2,1,18,3,6,8,21,73,7,12,62,3,4
action,14,3,2,11,5,2,0,0,3,6,8,21,73,7,12,60,3,4
activitycategory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
agent,5,0,2,0,5,2,0,0,0,2,0,0,68,0,12,59,0,4
analyticscksum,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0
analyticssubmit,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0
antiphishdc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
antiphishrule,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
apn,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
app,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
appcat,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
appid,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
applist,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apprisk,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
attachment,0,0,2,0,5,2,0,0,0,0,0,0,63,0,0,0,0,0
attack,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4
attackcontext,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4
attackcontextid,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4
attackid,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4
authalgo,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
authserver,14,0,2,0,5,2,0,0,0,6,0,0,70,0,12,47,0,4
banword,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0
botnetdomain,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
botnetip,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c-bytes,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
c-ggsn,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
c-ggsn-teid,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
c-gsn,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
c-pkts,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
c-sgsn,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
c-sgsn-teid,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
call_id,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
cat,0,0,0,11,0,0,0,0,0,0,0,5,0,0,0,13,0,0
catdesc,0,0,0,11,0,0,0,0,0,0,0,5,0,0,0,14,0,0
cc,0,0,2,0,5,2,0,0,0,0,0,0,63,0,0,0,0,0
ccertissuer,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cdrcontent,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0
certdesc,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
certhash,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
cfseid,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
cfseidaddr,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
cggsn6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cgsn6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
channeltype,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
checksum,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0
chgheaders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
cipher,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
clashtunnelidx,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
cloudaction,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clouddevice,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clouduser,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
