Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,,string,10,22866 - LOG_ID_FLPOLD_DPP_MODIFY,22866,LOG_ID_FLPOLD_DPP_MODIFY,DPP device modify,Event,switch-controller,Information,7.4.5
time,,string,8,22866 - LOG_ID_FLPOLD_DPP_MODIFY,22866,LOG_ID_FLPOLD_DPP_MODIFY,DPP device modify,Event,switch-controller,Information,7.4.5
logid,,string,10,22866 - LOG_ID_FLPOLD_DPP_MODIFY,22866,LOG_ID_FLPOLD_DPP_MODIFY,DPP device modify,Event,switch-controller,Information,7.4.5
type,,string,16,22866 - LOG_ID_FLPOLD_DPP_MODIFY,22866,LOG_ID_FLPOLD_DPP_MODIFY,DPP device modify,Event,switch-controller,Information,7.4.5
subtype,,string,20,22866 - LOG_ID_FLPOLD_DPP_MODIFY,22866,LOG_ID_FLPOLD_DPP_MODIFY,DPP device modify,Event,switch-controller,Information,7.4.5
level,,string,11,22866 - LOG_ID_FLPOLD_DPP_MODIFY,22866,LOG_ID_FLPOLD_DPP_MODIFY,DPP device modify,Event,switch-controller,Information,7.4.5
devid,,string,16,22866 - LOG_ID_FLPOLD_DPP_MODIFY,22866,LOG_ID_FLPOLD_DPP_MODIFY,DPP device modify,Event,switch-controller,Information,7.4.5
vd,,string,32,22866 - LOG_ID_FLPOLD_DPP_MODIFY,22866,LOG_ID_FLPOLD_DPP_MODIFY,DPP device modify,Event,switch-controller,Information,7.4.5
eventtime,,uint64,20,22866 - LOG_ID_FLPOLD_DPP_MODIFY,22866,LOG_ID_FLPOLD_DPP_MODIFY,DPP device modify,Event,switch-controller,Information,7.4.5
tz,,string,5,22866 - LOG_ID_FLPOLD_DPP_MODIFY,22866,LOG_ID_FLPOLD_DPP_MODIFY,DPP device modify,Event,switch-controller,Information,7.4.5
logdesc,,string,4096,22866 - LOG_ID_FLPOLD_DPP_MODIFY,22866,LOG_ID_FLPOLD_DPP_MODIFY,DPP device modify,Event,switch-controller,Information,7.4.5
user,,string,256,22866 - LOG_ID_FLPOLD_DPP_MODIFY,22866,LOG_ID_FLPOLD_DPP_MODIFY,DPP device modify,Event,switch-controller,Information,7.4.5
ui,,string,64,22866 - LOG_ID_FLPOLD_DPP_MODIFY,22866,LOG_ID_FLPOLD_DPP_MODIFY,DPP device modify,Event,switch-controller,Information,7.4.5
action,,string,65,22866 - LOG_ID_FLPOLD_DPP_MODIFY,22866,LOG_ID_FLPOLD_DPP_MODIFY,DPP device modify,Event,switch-controller,Information,7.4.5
msg,,string,4096,22866 - LOG_ID_FLPOLD_DPP_MODIFY,22866,LOG_ID_FLPOLD_DPP_MODIFY,DPP device modify,Event,switch-controller,Information,7.4.5
name,,string,128,22866 - LOG_ID_FLPOLD_DPP_MODIFY,22866,LOG_ID_FLPOLD_DPP_MODIFY,DPP device modify,Event,switch-controller,Information,7.4.5
sn,,string,64,22866 - LOG_ID_FLPOLD_DPP_MODIFY,22866,LOG_ID_FLPOLD_DPP_MODIFY,DPP device modify,Event,switch-controller,Information,7.4.5
