Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,,string,10,22863 - LOG_ID_FLPOLD_NAC_MODIFY,22863,LOG_ID_FLPOLD_NAC_MODIFY,NAC device modify,Event,switch-controller,Information,7.4.5
time,,string,8,22863 - LOG_ID_FLPOLD_NAC_MODIFY,22863,LOG_ID_FLPOLD_NAC_MODIFY,NAC device modify,Event,switch-controller,Information,7.4.5
logid,,string,10,22863 - LOG_ID_FLPOLD_NAC_MODIFY,22863,LOG_ID_FLPOLD_NAC_MODIFY,NAC device modify,Event,switch-controller,Information,7.4.5
type,,string,16,22863 - LOG_ID_FLPOLD_NAC_MODIFY,22863,LOG_ID_FLPOLD_NAC_MODIFY,NAC device modify,Event,switch-controller,Information,7.4.5
subtype,,string,20,22863 - LOG_ID_FLPOLD_NAC_MODIFY,22863,LOG_ID_FLPOLD_NAC_MODIFY,NAC device modify,Event,switch-controller,Information,7.4.5
level,,string,11,22863 - LOG_ID_FLPOLD_NAC_MODIFY,22863,LOG_ID_FLPOLD_NAC_MODIFY,NAC device modify,Event,switch-controller,Information,7.4.5
devid,,string,16,22863 - LOG_ID_FLPOLD_NAC_MODIFY,22863,LOG_ID_FLPOLD_NAC_MODIFY,NAC device modify,Event,switch-controller,Information,7.4.5
vd,,string,32,22863 - LOG_ID_FLPOLD_NAC_MODIFY,22863,LOG_ID_FLPOLD_NAC_MODIFY,NAC device modify,Event,switch-controller,Information,7.4.5
eventtime,,uint64,20,22863 - LOG_ID_FLPOLD_NAC_MODIFY,22863,LOG_ID_FLPOLD_NAC_MODIFY,NAC device modify,Event,switch-controller,Information,7.4.5
tz,,string,5,22863 - LOG_ID_FLPOLD_NAC_MODIFY,22863,LOG_ID_FLPOLD_NAC_MODIFY,NAC device modify,Event,switch-controller,Information,7.4.5
logdesc,,string,4096,22863 - LOG_ID_FLPOLD_NAC_MODIFY,22863,LOG_ID_FLPOLD_NAC_MODIFY,NAC device modify,Event,switch-controller,Information,7.4.5
user,,string,256,22863 - LOG_ID_FLPOLD_NAC_MODIFY,22863,LOG_ID_FLPOLD_NAC_MODIFY,NAC device modify,Event,switch-controller,Information,7.4.5
ui,,string,64,22863 - LOG_ID_FLPOLD_NAC_MODIFY,22863,LOG_ID_FLPOLD_NAC_MODIFY,NAC device modify,Event,switch-controller,Information,7.4.5
action,,string,65,22863 - LOG_ID_FLPOLD_NAC_MODIFY,22863,LOG_ID_FLPOLD_NAC_MODIFY,NAC device modify,Event,switch-controller,Information,7.4.5
msg,,string,4096,22863 - LOG_ID_FLPOLD_NAC_MODIFY,22863,LOG_ID_FLPOLD_NAC_MODIFY,NAC device modify,Event,switch-controller,Information,7.4.5
name,,string,128,22863 - LOG_ID_FLPOLD_NAC_MODIFY,22863,LOG_ID_FLPOLD_NAC_MODIFY,NAC device modify,Event,switch-controller,Information,7.4.5
sn,,string,64,22863 - LOG_ID_FLPOLD_NAC_MODIFY,22863,LOG_ID_FLPOLD_NAC_MODIFY,NAC device modify,Event,switch-controller,Information,7.4.5
