Log Field Name,Data Type,Length,Description,Mapping Type,ECS Field,ECS Type,ECS Description
accessctrl,string,80,,,,,
accessproxy,string,80,,,,,
action,string,16,"The status of the session:
 deny - Session was denied
 accept - Allowed Forward session
 start - Session starts (log message was created when the session was created)
 dns - DNS query return error
 ip-conn - Failed connection attempts
 close - Local-traffic session allowed
 timeout - Allowed session was timeout
 client-rst - Session reset by client
 server-rst - Session reset by server",,,,
agent,string,1024,"User agent - eg. agent=""Mozilla/5.0""",=,user_agent.original,keyword,Unparsed user_agent string.
ap,string,36,Access Point name,,,,
app,string,96,Application name,=,network.application,keyword,Application level protocol name.
appact,string,16,The security action from app control,,,,
appcat,string,64,Application category,,,,
appid,uint32,10,Application ID,,,,
applist,string,64,Application Control profile (name),,,,
apprisk,string,16,Application Risk Level,,,,
apsn,string,36,Access Point serial number,,,,
authserver,string,64,Remote Authentication server,,,,
centralnatid,uint32,10,central-snat-map id,,,,
channel,uint32,10,WiFi Channel,,,,
clientcert,string,10,,,,,
clientdeviceems,string,16,,,,,
clientdeviceid,string,80,,,,,
clientdevicemanageable,string,16,,,,,
clientdeviceowner,string,80,,,,,
clientdevicetags,string,512,,,,,
comment,string,1024,Customized policy comment,=,rule.comment,keyword,(*) Description or comment pertaining to the rule.
countapp,uint32,10,Number of App Ctrl logs associated with the session,,,,
countav,uint32,10,Number of AV logs associated with the session,,,,
countcasb,uint32,10,,,,,
countcifs,uint32,10,,,,,
countdlp,uint32,10,Number of DLP logs associated with the session,,,,
countdns,uint32,10,Number of DNS Query logs associated with the session,,,,
countemail,uint32,10,Number of Email logs associated with the session,,,,
countff,uint32,10,,,,,
counticap,uint32,10,,,,,
countips,uint32,10,Number of IPS logs associated with the session,,,,
countsctpf,uint32,10,,,,,
countssh,uint32,10,Number of SSH logs associated with the session,,,,
countssl,uint32,10,,,,,
countvpatch,uint32,10,,,,,
countwaf,uint32,10,Number of WAF logs associated with the session,,,,
countweb,uint32,10,Number of Web Filter logs associated with the session,,,,
craction,uint32,10,Action performed by Threat Weight,,,,
crlevel,string,10,Threat Weight level,=,host.risk.static_level,keyword,"A risk classification level obtained from outside the system, such as from some external Threat Intelligence Platform."
crscore,uint32,10,Threat Weight score,->,host.risk.static_score,float,"A risk classification score obtained from outside the system, such as from some external Threat Intelligence Platform."
date,string,10,Date,,,,
devid,string,16,Device Serial Number,=,observer.serial_number,keyword,Observer serial number.
devtype,string,66,Device Type,,,,
dstauthserver,string,64,,,,,
dstcity,string,64,,=,destination.geo.city_name,keyword,City name.
dstcountry,string,64,Country name for the destination IP,=,destination.geo.country_name,keyword,Country name.
dstdevtype,string,66,Destination Device Type,,,,
dstfamily,string,66,,,,,
dsthwvendor,string,66,,,,,
dsthwversion,string,66,,,,,
dstinetsvc,string,64,Internet service name for the destination,,,,
dstintf,string,32,Destination Interface,=,observer.egress.interface.name,keyword,Interface name as reported by the system.
dstintfrole,string,10,"Destination Interface's assigned role (LAN, WAN, etc.)",,,,
dstip,ip,39,Destination IP Address,"=
->
->
->","destination.ip
network.community_id
network.direction
related.ip","ip
keyword
keyword
ip","IP address of the destination.
A hash of source and destination IPs and ports, and the protocol used in a communication.
Direction of the network traffic.
All of the IPs seen on your event."
dstmac,string,17,Destination Mac Address,=,destination.mac,keyword,MAC address of the destination.
dstname,string,256,Destination name,=,destination.address,keyword,Destination network address.
dstosname,string,66,Destination OS name,,,,
dstport,uint16,5,Destination Protocol Port Number,"->
->","destination.port
network.transport_port","long
keyword","Port of the destination.
(*) Combination of network transport and destination port (e.g. tcp/443)."
dstregion,string,64,,,,,
dstreputation,uint32,10,,,,,
dstserver,uint8,3,Destination Server,,,,
dstssid,string,33,Destination SSID,,,,
dstswversion,string,66,,,,,
