Log Field Name,forward,http-transaction,local,multicast,sniffer,ztna
_total,15,1,2,2,2,1
accessctrl,14,0,2,2,2,1
accessproxy,14,0,2,2,2,1
action,14,1,2,2,2,1
agent,14,1,2,2,2,1
ap,14,0,2,2,2,1
app,14,1,2,2,2,1
appact,14,1,2,2,2,1
appcat,14,1,2,2,2,1
appid,14,1,2,2,2,1
applist,14,1,2,2,2,1
apprisk,14,1,2,2,2,1
apsn,14,0,2,2,2,1
authserver,14,1,2,2,2,1
centralnatid,14,0,2,2,2,1
channel,14,0,2,2,2,1
clientcert,14,0,2,2,2,1
clientdeviceems,14,0,2,2,2,1
clientdeviceid,14,1,2,2,2,1
clientdevicemanageable,14,0,2,2,2,1
clientdeviceowner,14,1,2,2,2,1
clientdevicetags,14,1,2,2,2,1
comment,14,0,2,2,2,1
countapp,5,1,0,0,1,0
countav,5,1,0,0,1,0
countcasb,5,1,0,0,1,0
countcifs,5,1,0,0,1,0
countdlp,5,1,0,0,1,0
countdns,5,1,0,0,1,0
countemail,5,1,0,0,1,0
countff,5,1,0,0,1,0
counticap,5,1,0,0,1,0
countips,5,1,0,0,1,0
countsctpf,5,1,0,0,1,0
countssh,5,1,0,0,1,0
countssl,5,1,0,0,1,0
countvpatch,5,1,0,0,1,0
countwaf,5,1,0,0,1,0
countweb,5,1,0,0,1,0
craction,14,0,2,2,2,1
crlevel,14,0,2,2,2,1
crscore,14,0,2,2,2,1
date,15,1,2,2,2,1
devid,15,1,2,2,2,1
devtype,14,0,2,2,2,1
dstauthserver,14,0,2,2,2,1
dstcity,14,0,2,2,2,1
dstcountry,14,0,2,2,2,1
dstdevtype,14,0,2,2,2,1
dstfamily,14,0,2,2,2,1
dsthwvendor,14,0,2,2,2,1
dsthwversion,14,0,2,2,2,1
dstinetsvc,14,0,2,2,2,1
dstintf,14,0,2,2,2,1
dstintfrole,14,0,2,2,2,1
dstip,14,1,2,2,2,1
dstmac,14,0,2,2,2,1
dstname,14,0,2,2,2,1
dstosname,14,0,2,2,2,1
dstport,14,1,2,2,2,1
dstregion,14,0,2,2,2,1
dstreputation,14,0,2,2,2,1
dstserver,14,0,2,2,2,1
dstssid,14,0,2,2,2,1
dstswversion,14,0,2,2,2,1
dstthreatfeed,14,0,2,2,2,1
dstunauthuser,14,0,2,2,2,1
dstunauthusersource,14,0,2,2,2,1
dstuser,14,0,2,2,2,1
dstuuid,14,1,2,2,2,1
duration,14,1,2,2,2,1
durationdelta,14,0,2,2,2,1
emsconnection,14,1,2,2,2,1
emstag,14,0,2,2,2,1
emstag2,14,0,2,2,2,1
eventtime,15,1,2,2,2,1
fctuid,14,0,2,2,2,1
fwdsrv,14,1,2,2,2,1
gatewayid,14,0,2,2,2,1
group,14,1,2,2,2,1
hostname,0,1,0,0,0,0
httpmethod,0,1,0,0,0,0
identifier,14,0,2,2,2,1
lanin,14,1,2,2,2,1
lanout,14,1,2,2,2,1
level,15,1,2,2,2,1
logid,15,1,2,2,2,1
masterdstmac,14,0,2,2,2,1
mastersrcmac,14,0,2,2,2,1
msg,14,0,2,2,2,1
osname,14,0,2,2,2,1
pdstport,14,0,2,2,2,1
policyid,14,1,2,2,2,1
policymode,14,0,2,2,2,1
policyname,14,0,2,2,2,1
policytype,14,1,2,2,2,1
poluuid,14,1,2,2,2,1
proto,14,0,2,2,2,1
proxyapptype,14,0,2,2,2,1
psrcport,14,0,2,2,2,1
radioband,14,0,2,2,2,1
rcvdbyte,14,1,2,2,2,1
rcvddelta,14,0,2,2,2,1
rcvdpkt,14,0,2,2,2,1
rcvdpktdelta,14,0,2,2,2,1
realserverid,14,0,2,2,2,1
referralurl,0,1,0,0,0,0
replydstintf,14,0,2,2,2,1
replysrcintf,14,0,2,2,2,1
reqlength,0,1,0,0,0,0
reqtime,0,1,0,0,0,0
respfinishtime,0,1,0,0,0,0
resplength,0,1,0,0,0,0
resptime,0,1,0,0,0,0
resptype,0,1,0,0,0,0
saasname,14,0,2,2,2,1
scheme,0,1,0,0,0,0
sentbyte,14,1,2,2,2,1
sentdelta,14,0,2,2,2,1
sentpkt,14,0,2,2,2,1
sentpktdelta,14,0,2,2,2,1
service,14,0,2,2,2,1
sessionid,14,1,2,2,2,1
shaperdroprcvdbyte,14,0,2,2,2,1
shaperdropsentbyte,14,0,2,2,2,1
shaperperipdropbyte,14,0,2,2,2,1
shaperperipname,14,0,2,2,2,1
shaperrcvdname,14,0,2,2,2,1
shapersentname,14,0,2,2,2,1
shapingpolicyid,14,0,2,2,2,1
shapingpolicyname,14,0,2,2,2,1
signal,14,0,2,2,2,1
snr,14,0,2,2,2,1
srccity,14,0,2,2,2,1
srccountry,14,0,2,2,2,1
srcdomain,14,0,2,2,2,1
srcfamily,14,0,2,2,2,1
srchwvendor,14,0,2,2,2,1
srchwversion,14,0,2,2,2,1
srcinetsvc,14,0,2,2,2,1
srcintf,14,0,2,2,2,1
srcintfrole,14,0,2,2,2,1
srcip,14,1,2,2,2,1
srcmac,14,0,2,2,2,1
srcmacvendor,14,0,2,2,2,1
srcname,14,0,2,2,2,1
srcport,14,1,2,2,2,1
srcregion,14,0,2,2,2,1
srcremote,14,0,2,2,2,1
srcreputation,14,0,2,2,2,1
srcserver,14,0,2,2,2,1
srcssid,14,0,2,2,2,1
srcswversion,14,0,2,2,2,1
srcthreatfeed,14,0,2,2,2,1
srcuuid,14,1,2,2,2,1
sslaction,14,1,2,2,2,1
statuscode,0,1,0,0,0,0
subtype,15,1,2,2,2,1
tcpnrt,14,0,2,2,2,1
tcporgrtrs,14,0,2,2,2,1
tcprplrtrs,14,0,2,2,2,1
tcprst,14,0,2,2,2,1
tcpsrt,14,0,2,2,2,1
tcpsynackrtrs,14,0,2,2,2,1
tcpsynrtrs,14,0,2,2,2,1
time,15,1,2,2,2,1
trandisp,14,0,2,2,2,1
tranip,14,1,2,2,2,1
tranport,14,1,2,2,2,1
transid,0,1,0,0,0,0
transip,14,0,2,2,2,1
transport,14,0,2,2,2,1
tunnelid,14,0,2,2,2,1
type,15,1,2,2,2,1
tz,15,1,2,2,2,1
unauthuser,14,0,2,2,2,1
unauthusersource,14,0,2,2,2,1
url,14,1,2,2,2,1
user,14,1,2,2,2,1
utmaction,14,1,2,2,2,1
vd,15,1,2,2,2,1
vip,14,0,2,2,2,1
vpntype,14,0,2,2,2,1
vrf,14,0,2,2,2,1
vwlid,14,0,2,2,2,1
vwlname,14,0,2,2,2,1
vwlquality,14,0,2,2,2,1
vwlservice,14,0,2,2,2,1
vwpvlanid,14,0,2,2,2,1
wanin,14,1,2,2,2,1
wanoptapptype,14,0,2,2,2,1
wanout,14,1,2,2,2,1
