Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
webmailprovider,,string,32,20509 - LOGID_ANTISPAM_FTGD_ERR,20509,LOGID_ANTISPAM_FTGD_ERR,FortiGuard error message,EmailFilter,ftgd_err,Notice,7.6.4
vrf,,uint16,3,20509 - LOGID_ANTISPAM_FTGD_ERR,20509,LOGID_ANTISPAM_FTGD_ERR,FortiGuard error message,EmailFilter,ftgd_err,Notice,7.6.4
vd,,string,32,20509 - LOGID_ANTISPAM_FTGD_ERR,20509,LOGID_ANTISPAM_FTGD_ERR,FortiGuard error message,EmailFilter,ftgd_err,Notice,7.6.4
user,,string,256,20509 - LOGID_ANTISPAM_FTGD_ERR,20509,LOGID_ANTISPAM_FTGD_ERR,FortiGuard error message,EmailFilter,ftgd_err,Notice,7.6.4
unauthusersource,,string,66,20509 - LOGID_ANTISPAM_FTGD_ERR,20509,LOGID_ANTISPAM_FTGD_ERR,FortiGuard error message,EmailFilter,ftgd_err,Notice,7.6.4
unauthuser,,string,66,20509 - LOGID_ANTISPAM_FTGD_ERR,20509,LOGID_ANTISPAM_FTGD_ERR,FortiGuard error message,EmailFilter,ftgd_err,Notice,7.6.4
tz,,string,5,20509 - LOGID_ANTISPAM_FTGD_ERR,20509,LOGID_ANTISPAM_FTGD_ERR,FortiGuard error message,EmailFilter,ftgd_err,Notice,7.6.4
type,,string,16,20509 - LOGID_ANTISPAM_FTGD_ERR,20509,LOGID_ANTISPAM_FTGD_ERR,FortiGuard error message,EmailFilter,ftgd_err,Notice,7.6.4
transid,,uint32,10,20509 - LOGID_ANTISPAM_FTGD_ERR,20509,LOGID_ANTISPAM_FTGD_ERR,FortiGuard error message,EmailFilter,ftgd_err,Notice,7.6.4
to,,string,512,20509 - LOGID_ANTISPAM_FTGD_ERR,20509,LOGID_ANTISPAM_FTGD_ERR,FortiGuard error message,EmailFilter,ftgd_err,Notice,7.6.4
time,,string,8,20509 - LOGID_ANTISPAM_FTGD_ERR,20509,LOGID_ANTISPAM_FTGD_ERR,FortiGuard error message,EmailFilter,ftgd_err,Notice,7.6.4
subtype,,string,20,20509 - LOGID_ANTISPAM_FTGD_ERR,20509,LOGID_ANTISPAM_FTGD_ERR,FortiGuard error message,EmailFilter,ftgd_err,Notice,7.6.4
subject,,string,256,20509 - LOGID_ANTISPAM_FTGD_ERR,20509,LOGID_ANTISPAM_FTGD_ERR,FortiGuard error message,EmailFilter,ftgd_err,Notice,7.6.4
srczone,,string,32,20509 - LOGID_ANTISPAM_FTGD_ERR,20509,LOGID_ANTISPAM_FTGD_ERR,FortiGuard error message,EmailFilter,ftgd_err,Notice,7.6.4
srcuuid,,string,37,20509 - LOGID_ANTISPAM_FTGD_ERR,20509,LOGID_ANTISPAM_FTGD_ERR,FortiGuard error message,EmailFilter,ftgd_err,Notice,7.6.4
