Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
vrf,,uint16,3,10002 - LOG_ID_CASB_ACCESS_MONITOR,10002,LOG_ID_CASB_ACCESS_MONITOR,Web content activity found,casb,casb,Information,7.6.4
vd,,string,32,10002 - LOG_ID_CASB_ACCESS_MONITOR,10002,LOG_ID_CASB_ACCESS_MONITOR,Web content activity found,casb,casb,Information,7.6.4
useractivity,,string,80,10002 - LOG_ID_CASB_ACCESS_MONITOR,10002,LOG_ID_CASB_ACCESS_MONITOR,Web content activity found,casb,casb,Information,7.6.4
user,,string,256,10002 - LOG_ID_CASB_ACCESS_MONITOR,10002,LOG_ID_CASB_ACCESS_MONITOR,Web content activity found,casb,casb,Information,7.6.4
url,,string,512,10002 - LOG_ID_CASB_ACCESS_MONITOR,10002,LOG_ID_CASB_ACCESS_MONITOR,Web content activity found,casb,casb,Information,7.6.4
tz,,string,5,10002 - LOG_ID_CASB_ACCESS_MONITOR,10002,LOG_ID_CASB_ACCESS_MONITOR,Web content activity found,casb,casb,Information,7.6.4
type,,string,16,10002 - LOG_ID_CASB_ACCESS_MONITOR,10002,LOG_ID_CASB_ACCESS_MONITOR,Web content activity found,casb,casb,Information,7.6.4
time,,string,8,10002 - LOG_ID_CASB_ACCESS_MONITOR,10002,LOG_ID_CASB_ACCESS_MONITOR,Web content activity found,casb,casb,Information,7.6.4
tenantmatch,,string,80,10002 - LOG_ID_CASB_ACCESS_MONITOR,10002,LOG_ID_CASB_ACCESS_MONITOR,Web content activity found,casb,casb,Information,7.6.4
subtype,,string,20,10002 - LOG_ID_CASB_ACCESS_MONITOR,10002,LOG_ID_CASB_ACCESS_MONITOR,Web content activity found,casb,casb,Information,7.6.4
subaction,,string,80,10002 - LOG_ID_CASB_ACCESS_MONITOR,10002,LOG_ID_CASB_ACCESS_MONITOR,Web content activity found,casb,casb,Information,7.6.4
srczone,,string,32,10002 - LOG_ID_CASB_ACCESS_MONITOR,10002,LOG_ID_CASB_ACCESS_MONITOR,Web content activity found,casb,casb,Information,7.6.4
srcuuid,,string,37,10002 - LOG_ID_CASB_ACCESS_MONITOR,10002,LOG_ID_CASB_ACCESS_MONITOR,Web content activity found,casb,casb,Information,7.6.4
srcport,,uint16,5,10002 - LOG_ID_CASB_ACCESS_MONITOR,10002,LOG_ID_CASB_ACCESS_MONITOR,Web content activity found,casb,casb,Information,7.6.4
srcname,,string,64,10002 - LOG_ID_CASB_ACCESS_MONITOR,10002,LOG_ID_CASB_ACCESS_MONITOR,Web content activity found,casb,casb,Information,7.6.4
srcmac,,string,17,10002 - LOG_ID_CASB_ACCESS_MONITOR,10002,LOG_ID_CASB_ACCESS_MONITOR,Web content activity found,casb,casb,Information,7.6.4
srcip,,ip,39,10002 - LOG_ID_CASB_ACCESS_MONITOR,10002,LOG_ID_CASB_ACCESS_MONITOR,Web content activity found,casb,casb,Information,7.6.4
srcintfrole,,string,10,10002 - LOG_ID_CASB_ACCESS_MONITOR,10002,LOG_ID_CASB_ACCESS_MONITOR,Web content activity found,casb,casb,Information,7.6.4
srcintf,,string,32,10002 - LOG_ID_CASB_ACCESS_MONITOR,10002,LOG_ID_CASB_ACCESS_MONITOR,Web content activity found,casb,casb,Information,7.6.4
sessionid,,uint32,10,10002 - LOG_ID_CASB_ACCESS_MONITOR,10002,LOG_ID_CASB_ACCESS_MONITOR,Web content activity found,casb,casb,Information,7.6.4
saasapp,,string,80,10002 - LOG_ID_CASB_ACCESS_MONITOR,10002,LOG_ID_CASB_ACCESS_MONITOR,Web content activity found,casb,casb,Information,7.6.4
proto,,uint8,3,10002 - LOG_ID_CASB_ACCESS_MONITOR,10002,LOG_ID_CASB_ACCESS_MONITOR,Web content activity found,casb,casb,Information,7.6.4
profile,,string,64,10002 - LOG_ID_CASB_ACCESS_MONITOR,10002,LOG_ID_CASB_ACCESS_MONITOR,Web content activity found,casb,casb,Information,7.6.4
poluuid,,string,37,10002 - LOG_ID_CASB_ACCESS_MONITOR,10002,LOG_ID_CASB_ACCESS_MONITOR,Web content activity found,casb,casb,Information,7.6.4
policytype,,string,24,10002 - LOG_ID_CASB_ACCESS_MONITOR,10002,LOG_ID_CASB_ACCESS_MONITOR,Web content activity found,casb,casb,Information,7.6.4
policyid,,uint32,10,10002 - LOG_ID_CASB_ACCESS_MONITOR,10002,LOG_ID_CASB_ACCESS_MONITOR,Web content activity found,casb,casb,Information,7.6.4
operation,,string,80,10002 - LOG_ID_CASB_ACCESS_MONITOR,10002,LOG_ID_CASB_ACCESS_MONITOR,Web content activity found,casb,casb,Information,7.6.4
msg,,string,512,10002 - LOG_ID_CASB_ACCESS_MONITOR,10002,LOG_ID_CASB_ACCESS_MONITOR,Web content activity found,casb,casb,Information,7.6.4
logid,,string,10,10002 - LOG_ID_CASB_ACCESS_MONITOR,10002,LOG_ID_CASB_ACCESS_MONITOR,Web content activity found,casb,casb,Information,7.6.4
level,,string,11,10002 - LOG_ID_CASB_ACCESS_MONITOR,10002,LOG_ID_CASB_ACCESS_MONITOR,Web content activity found,casb,casb,Information,7.6.4
group,,string,512,10002 - LOG_ID_CASB_ACCESS_MONITOR,10002,LOG_ID_CASB_ACCESS_MONITOR,Web content activity found,casb,casb,Information,7.6.4
eventtype,,string,32,10002 - LOG_ID_CASB_ACCESS_MONITOR,10002,LOG_ID_CASB_ACCESS_MONITOR,Web content activity found,casb,casb,Information,7.6.4
eventtime,,uint64,20,10002 - LOG_ID_CASB_ACCESS_MONITOR,10002,LOG_ID_CASB_ACCESS_MONITOR,Web content activity found,casb,casb,Information,7.6.4
dstzone,,string,32,10002 - LOG_ID_CASB_ACCESS_MONITOR,10002,LOG_ID_CASB_ACCESS_MONITOR,Web content activity found,casb,casb,Information,7.6.4
dstuuid,,string,37,10002 - LOG_ID_CASB_ACCESS_MONITOR,10002,LOG_ID_CASB_ACCESS_MONITOR,Web content activity found,casb,casb,Information,7.6.4
dstport,,uint16,5,10002 - LOG_ID_CASB_ACCESS_MONITOR,10002,LOG_ID_CASB_ACCESS_MONITOR,Web content activity found,casb,casb,Information,7.6.4
dstip,,ip,39,10002 - LOG_ID_CASB_ACCESS_MONITOR,10002,LOG_ID_CASB_ACCESS_MONITOR,Web content activity found,casb,casb,Information,7.6.4
dstintfrole,,string,10,10002 - LOG_ID_CASB_ACCESS_MONITOR,10002,LOG_ID_CASB_ACCESS_MONITOR,Web content activity found,casb,casb,Information,7.6.4
dstintf,,string,32,10002 - LOG_ID_CASB_ACCESS_MONITOR,10002,LOG_ID_CASB_ACCESS_MONITOR,Web content activity found,casb,casb,Information,7.6.4
devid,,string,16,10002 - LOG_ID_CASB_ACCESS_MONITOR,10002,LOG_ID_CASB_ACCESS_MONITOR,Web content activity found,casb,casb,Information,7.6.4
date,,string,10,10002 - LOG_ID_CASB_ACCESS_MONITOR,10002,LOG_ID_CASB_ACCESS_MONITOR,Web content activity found,casb,casb,Information,7.6.4
activitycategory,,string,30,10002 - LOG_ID_CASB_ACCESS_MONITOR,10002,LOG_ID_CASB_ACCESS_MONITOR,Web content activity found,casb,casb,Information,7.6.4
action,,string,11,10002 - LOG_ID_CASB_ACCESS_MONITOR,10002,LOG_ID_CASB_ACCESS_MONITOR,Web content activity found,casb,casb,Information,7.6.4
