Log Field Name,APP-CTRL,Anomaly,DLP,DNS,Debug,EmailFilter,FILE-FILTER,FORTI-SWITCH,GTP,ICAP,IPS,SSH,SSL,Virus,VoIP,WAF,Webfilter,casb,virtual-patch
_total,15,3,6,13,1,5,2,1,18,3,7,10,21,77,7,12,65,3,4
action,15,3,4,12,0,5,2,0,0,3,7,10,21,77,7,12,63,3,4
activitycategory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
agent,5,0,4,0,0,5,2,0,0,0,2,0,0,74,0,12,62,0,4
aiuser,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
analyticscksum,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0
analyticssubmit,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0
antiphishdc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
antiphishrule,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
apn,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
app,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
appcat,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
appid,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
applist,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apprisk,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
attachment,0,0,4,0,0,5,2,0,0,0,0,0,0,67,0,0,0,0,0
attack,0,3,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,4
attackcontext,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4
attackcontextid,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4
attackid,0,3,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,4
authalgo,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
authserver,14,0,4,0,0,5,2,0,0,0,7,0,0,74,0,12,50,0,4
banword,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0
botnetdomain,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
botnetip,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c-bytes,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
c-ggsn,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
c-ggsn-teid,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
c-gsn,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
c-pkts,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
c-sgsn,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
c-sgsn-teid,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
call_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
