Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,22097 - LOG_ID_AUTO_UPG_INSTALLATION_FAILED,22097,LOG_ID_AUTO_UPG_INSTALLATION_FAILED,An automatic firmware upgrade failed,Event,system,Warning,7.6.7
devid,Device ID,string,16,22097 - LOG_ID_AUTO_UPG_INSTALLATION_FAILED,22097,LOG_ID_AUTO_UPG_INSTALLATION_FAILED,An automatic firmware upgrade failed,Event,system,Warning,7.6.7
eventtime,Event time,uint64,20,22097 - LOG_ID_AUTO_UPG_INSTALLATION_FAILED,22097,LOG_ID_AUTO_UPG_INSTALLATION_FAILED,An automatic firmware upgrade failed,Event,system,Warning,7.6.7
failuredev,,string,80,22097 - LOG_ID_AUTO_UPG_INSTALLATION_FAILED,22097,LOG_ID_AUTO_UPG_INSTALLATION_FAILED,An automatic firmware upgrade failed,Event,system,Warning,7.6.7
fgtcount,,uint32,5,22097 - LOG_ID_AUTO_UPG_INSTALLATION_FAILED,22097,LOG_ID_AUTO_UPG_INSTALLATION_FAILED,An automatic firmware upgrade failed,Event,system,Warning,7.6.7
level,Log Level,string,11,22097 - LOG_ID_AUTO_UPG_INSTALLATION_FAILED,22097,LOG_ID_AUTO_UPG_INSTALLATION_FAILED,An automatic firmware upgrade failed,Event,system,Warning,7.6.7
logdesc,Log Description,string,4096,22097 - LOG_ID_AUTO_UPG_INSTALLATION_FAILED,22097,LOG_ID_AUTO_UPG_INSTALLATION_FAILED,An automatic firmware upgrade failed,Event,system,Warning,7.6.7
logid,Log ID,string,10,22097 - LOG_ID_AUTO_UPG_INSTALLATION_FAILED,22097,LOG_ID_AUTO_UPG_INSTALLATION_FAILED,An automatic firmware upgrade failed,Event,system,Warning,7.6.7
msg,Log Message,string,4096,22097 - LOG_ID_AUTO_UPG_INSTALLATION_FAILED,22097,LOG_ID_AUTO_UPG_INSTALLATION_FAILED,An automatic firmware upgrade failed,Event,system,Warning,7.6.7
nodecount,,uint32,5,22097 - LOG_ID_AUTO_UPG_INSTALLATION_FAILED,22097,LOG_ID_AUTO_UPG_INSTALLATION_FAILED,An automatic firmware upgrade failed,Event,system,Warning,7.6.7
reason,Reason,string,256,22097 - LOG_ID_AUTO_UPG_INSTALLATION_FAILED,22097,LOG_ID_AUTO_UPG_INSTALLATION_FAILED,An automatic firmware upgrade failed,Event,system,Warning,7.6.7
subtype,Log Subtype,string,20,22097 - LOG_ID_AUTO_UPG_INSTALLATION_FAILED,22097,LOG_ID_AUTO_UPG_INSTALLATION_FAILED,An automatic firmware upgrade failed,Event,system,Warning,7.6.7
time,Time,string,8,22097 - LOG_ID_AUTO_UPG_INSTALLATION_FAILED,22097,LOG_ID_AUTO_UPG_INSTALLATION_FAILED,An automatic firmware upgrade failed,Event,system,Warning,7.6.7
type,Log Type,string,16,22097 - LOG_ID_AUTO_UPG_INSTALLATION_FAILED,22097,LOG_ID_AUTO_UPG_INSTALLATION_FAILED,An automatic firmware upgrade failed,Event,system,Warning,7.6.7
tz,Time zone,string,5,22097 - LOG_ID_AUTO_UPG_INSTALLATION_FAILED,22097,LOG_ID_AUTO_UPG_INSTALLATION_FAILED,An automatic firmware upgrade failed,Event,system,Warning,7.6.7
upgradesource,,string,80,22097 - LOG_ID_AUTO_UPG_INSTALLATION_FAILED,22097,LOG_ID_AUTO_UPG_INSTALLATION_FAILED,An automatic firmware upgrade failed,Event,system,Warning,7.6.7
vd,Virtual Domain Name,string,32,22097 - LOG_ID_AUTO_UPG_INSTALLATION_FAILED,22097,LOG_ID_AUTO_UPG_INSTALLATION_FAILED,An automatic firmware upgrade failed,Event,system,Warning,7.6.7
version,Version,string,64,22097 - LOG_ID_AUTO_UPG_INSTALLATION_FAILED,22097,LOG_ID_AUTO_UPG_INSTALLATION_FAILED,An automatic firmware upgrade failed,Event,system,Warning,7.6.7
