Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,22221 - LOG_ID_EXT_RESOURCE_FAIL,22221,LOG_ID_EXT_RESOURCE_FAIL,External resource update failed,Event,system,Warning,7.6.7
desc,Description,string,128,22221 - LOG_ID_EXT_RESOURCE_FAIL,22221,LOG_ID_EXT_RESOURCE_FAIL,External resource update failed,Event,system,Warning,7.6.7
devid,Device ID,string,16,22221 - LOG_ID_EXT_RESOURCE_FAIL,22221,LOG_ID_EXT_RESOURCE_FAIL,External resource update failed,Event,system,Warning,7.6.7
eventtime,Event time,uint64,20,22221 - LOG_ID_EXT_RESOURCE_FAIL,22221,LOG_ID_EXT_RESOURCE_FAIL,External resource update failed,Event,system,Warning,7.6.7
level,Log Level,string,11,22221 - LOG_ID_EXT_RESOURCE_FAIL,22221,LOG_ID_EXT_RESOURCE_FAIL,External resource update failed,Event,system,Warning,7.6.7
logdesc,Log Description,string,4096,22221 - LOG_ID_EXT_RESOURCE_FAIL,22221,LOG_ID_EXT_RESOURCE_FAIL,External resource update failed,Event,system,Warning,7.6.7
logid,Log ID,string,10,22221 - LOG_ID_EXT_RESOURCE_FAIL,22221,LOG_ID_EXT_RESOURCE_FAIL,External resource update failed,Event,system,Warning,7.6.7
msg,Log Message,string,4096,22221 - LOG_ID_EXT_RESOURCE_FAIL,22221,LOG_ID_EXT_RESOURCE_FAIL,External resource update failed,Event,system,Warning,7.6.7
reason,Reason,string,256,22221 - LOG_ID_EXT_RESOURCE_FAIL,22221,LOG_ID_EXT_RESOURCE_FAIL,External resource update failed,Event,system,Warning,7.6.7
status,Status,string,23,22221 - LOG_ID_EXT_RESOURCE_FAIL,22221,LOG_ID_EXT_RESOURCE_FAIL,External resource update failed,Event,system,Warning,7.6.7
subtype,Log Subtype,string,20,22221 - LOG_ID_EXT_RESOURCE_FAIL,22221,LOG_ID_EXT_RESOURCE_FAIL,External resource update failed,Event,system,Warning,7.6.7
time,Time,string,8,22221 - LOG_ID_EXT_RESOURCE_FAIL,22221,LOG_ID_EXT_RESOURCE_FAIL,External resource update failed,Event,system,Warning,7.6.7
type,Log Type,string,16,22221 - LOG_ID_EXT_RESOURCE_FAIL,22221,LOG_ID_EXT_RESOURCE_FAIL,External resource update failed,Event,system,Warning,7.6.7
tz,Time zone,string,5,22221 - LOG_ID_EXT_RESOURCE_FAIL,22221,LOG_ID_EXT_RESOURCE_FAIL,External resource update failed,Event,system,Warning,7.6.7
vd,Virtual Domain Name,string,32,22221 - LOG_ID_EXT_RESOURCE_FAIL,22221,LOG_ID_EXT_RESOURCE_FAIL,External resource update failed,Event,system,Warning,7.6.7
