Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,,string,65,22861 - LOG_ID_FLPOLD_NAC_ADD,22861,LOG_ID_FLPOLD_NAC_ADD,NAC device addition,Event,switch-controller,Information,7.6.7
date,,string,10,22861 - LOG_ID_FLPOLD_NAC_ADD,22861,LOG_ID_FLPOLD_NAC_ADD,NAC device addition,Event,switch-controller,Information,7.6.7
devid,,string,16,22861 - LOG_ID_FLPOLD_NAC_ADD,22861,LOG_ID_FLPOLD_NAC_ADD,NAC device addition,Event,switch-controller,Information,7.6.7
eventtime,,uint64,20,22861 - LOG_ID_FLPOLD_NAC_ADD,22861,LOG_ID_FLPOLD_NAC_ADD,NAC device addition,Event,switch-controller,Information,7.6.7
level,,string,11,22861 - LOG_ID_FLPOLD_NAC_ADD,22861,LOG_ID_FLPOLD_NAC_ADD,NAC device addition,Event,switch-controller,Information,7.6.7
logdesc,,string,4096,22861 - LOG_ID_FLPOLD_NAC_ADD,22861,LOG_ID_FLPOLD_NAC_ADD,NAC device addition,Event,switch-controller,Information,7.6.7
logid,,string,10,22861 - LOG_ID_FLPOLD_NAC_ADD,22861,LOG_ID_FLPOLD_NAC_ADD,NAC device addition,Event,switch-controller,Information,7.6.7
msg,,string,4096,22861 - LOG_ID_FLPOLD_NAC_ADD,22861,LOG_ID_FLPOLD_NAC_ADD,NAC device addition,Event,switch-controller,Information,7.6.7
name,,string,128,22861 - LOG_ID_FLPOLD_NAC_ADD,22861,LOG_ID_FLPOLD_NAC_ADD,NAC device addition,Event,switch-controller,Information,7.6.7
sn,,string,64,22861 - LOG_ID_FLPOLD_NAC_ADD,22861,LOG_ID_FLPOLD_NAC_ADD,NAC device addition,Event,switch-controller,Information,7.6.7
subtype,,string,20,22861 - LOG_ID_FLPOLD_NAC_ADD,22861,LOG_ID_FLPOLD_NAC_ADD,NAC device addition,Event,switch-controller,Information,7.6.7
time,,string,8,22861 - LOG_ID_FLPOLD_NAC_ADD,22861,LOG_ID_FLPOLD_NAC_ADD,NAC device addition,Event,switch-controller,Information,7.6.7
type,,string,16,22861 - LOG_ID_FLPOLD_NAC_ADD,22861,LOG_ID_FLPOLD_NAC_ADD,NAC device addition,Event,switch-controller,Information,7.6.7
tz,,string,5,22861 - LOG_ID_FLPOLD_NAC_ADD,22861,LOG_ID_FLPOLD_NAC_ADD,NAC device addition,Event,switch-controller,Information,7.6.7
ui,,string,64,22861 - LOG_ID_FLPOLD_NAC_ADD,22861,LOG_ID_FLPOLD_NAC_ADD,NAC device addition,Event,switch-controller,Information,7.6.7
user,,string,256,22861 - LOG_ID_FLPOLD_NAC_ADD,22861,LOG_ID_FLPOLD_NAC_ADD,NAC device addition,Event,switch-controller,Information,7.6.7
vd,,string,32,22861 - LOG_ID_FLPOLD_NAC_ADD,22861,LOG_ID_FLPOLD_NAC_ADD,NAC device addition,Event,switch-controller,Information,7.6.7
