Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,,string,65,22864 - LOG_ID_FLPOLD_DPP_ADD,22864,LOG_ID_FLPOLD_DPP_ADD,DPP device addition,Event,switch-controller,Information,7.6.7
date,,string,10,22864 - LOG_ID_FLPOLD_DPP_ADD,22864,LOG_ID_FLPOLD_DPP_ADD,DPP device addition,Event,switch-controller,Information,7.6.7
devid,,string,16,22864 - LOG_ID_FLPOLD_DPP_ADD,22864,LOG_ID_FLPOLD_DPP_ADD,DPP device addition,Event,switch-controller,Information,7.6.7
eventtime,,uint64,20,22864 - LOG_ID_FLPOLD_DPP_ADD,22864,LOG_ID_FLPOLD_DPP_ADD,DPP device addition,Event,switch-controller,Information,7.6.7
level,,string,11,22864 - LOG_ID_FLPOLD_DPP_ADD,22864,LOG_ID_FLPOLD_DPP_ADD,DPP device addition,Event,switch-controller,Information,7.6.7
logdesc,,string,4096,22864 - LOG_ID_FLPOLD_DPP_ADD,22864,LOG_ID_FLPOLD_DPP_ADD,DPP device addition,Event,switch-controller,Information,7.6.7
logid,,string,10,22864 - LOG_ID_FLPOLD_DPP_ADD,22864,LOG_ID_FLPOLD_DPP_ADD,DPP device addition,Event,switch-controller,Information,7.6.7
msg,,string,4096,22864 - LOG_ID_FLPOLD_DPP_ADD,22864,LOG_ID_FLPOLD_DPP_ADD,DPP device addition,Event,switch-controller,Information,7.6.7
name,,string,128,22864 - LOG_ID_FLPOLD_DPP_ADD,22864,LOG_ID_FLPOLD_DPP_ADD,DPP device addition,Event,switch-controller,Information,7.6.7
sn,,string,64,22864 - LOG_ID_FLPOLD_DPP_ADD,22864,LOG_ID_FLPOLD_DPP_ADD,DPP device addition,Event,switch-controller,Information,7.6.7
subtype,,string,20,22864 - LOG_ID_FLPOLD_DPP_ADD,22864,LOG_ID_FLPOLD_DPP_ADD,DPP device addition,Event,switch-controller,Information,7.6.7
time,,string,8,22864 - LOG_ID_FLPOLD_DPP_ADD,22864,LOG_ID_FLPOLD_DPP_ADD,DPP device addition,Event,switch-controller,Information,7.6.7
type,,string,16,22864 - LOG_ID_FLPOLD_DPP_ADD,22864,LOG_ID_FLPOLD_DPP_ADD,DPP device addition,Event,switch-controller,Information,7.6.7
tz,,string,5,22864 - LOG_ID_FLPOLD_DPP_ADD,22864,LOG_ID_FLPOLD_DPP_ADD,DPP device addition,Event,switch-controller,Information,7.6.7
ui,,string,64,22864 - LOG_ID_FLPOLD_DPP_ADD,22864,LOG_ID_FLPOLD_DPP_ADD,DPP device addition,Event,switch-controller,Information,7.6.7
user,,string,256,22864 - LOG_ID_FLPOLD_DPP_ADD,22864,LOG_ID_FLPOLD_DPP_ADD,DPP device addition,Event,switch-controller,Information,7.6.7
vd,,string,32,22864 - LOG_ID_FLPOLD_DPP_ADD,22864,LOG_ID_FLPOLD_DPP_ADD,DPP device addition,Event,switch-controller,Information,7.6.7
