Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,"The status of the session:
  deny - Session was denied
  accept - Allowed Forward session
  start - Session starts (log message was created when the session was created)
  dns - DNS query return error
  ip-conn - Failed connection attempts
  close - Session closed by client or server with a TCP FIN
  timeout - Allowed session was timeout
  client-rst - Session reset by client
  server-rst - Session reset by server",string,16,26 - LOG_ID_TRAFFIC_HTTP_TRANSACTION,26,LOG_ID_TRAFFIC_HTTP_TRANSACTION,HTTP transaction,Traffic,http-transaction,Notice,7.6.7
agent,"User agent - eg. agent=""Mozilla/5.0""",string,1024,26 - LOG_ID_TRAFFIC_HTTP_TRANSACTION,26,LOG_ID_TRAFFIC_HTTP_TRANSACTION,HTTP transaction,Traffic,http-transaction,Notice,7.6.7
app,Application Name,string,96,26 - LOG_ID_TRAFFIC_HTTP_TRANSACTION,26,LOG_ID_TRAFFIC_HTTP_TRANSACTION,HTTP transaction,Traffic,http-transaction,Notice,7.6.7
appact,The security action from app control,string,16,26 - LOG_ID_TRAFFIC_HTTP_TRANSACTION,26,LOG_ID_TRAFFIC_HTTP_TRANSACTION,HTTP transaction,Traffic,http-transaction,Notice,7.6.7
appcat,Application category,string,64,26 - LOG_ID_TRAFFIC_HTTP_TRANSACTION,26,LOG_ID_TRAFFIC_HTTP_TRANSACTION,HTTP transaction,Traffic,http-transaction,Notice,7.6.7
appid,Application ID,uint32,10,26 - LOG_ID_TRAFFIC_HTTP_TRANSACTION,26,LOG_ID_TRAFFIC_HTTP_TRANSACTION,HTTP transaction,Traffic,http-transaction,Notice,7.6.7
applist,Application Control profile (name),string,64,26 - LOG_ID_TRAFFIC_HTTP_TRANSACTION,26,LOG_ID_TRAFFIC_HTTP_TRANSACTION,HTTP transaction,Traffic,http-transaction,Notice,7.6.7
apprisk,Application Risk Level,string,16,26 - LOG_ID_TRAFFIC_HTTP_TRANSACTION,26,LOG_ID_TRAFFIC_HTTP_TRANSACTION,HTTP transaction,Traffic,http-transaction,Notice,7.6.7
authserver,Remote Authentication server,string,64,26 - LOG_ID_TRAFFIC_HTTP_TRANSACTION,26,LOG_ID_TRAFFIC_HTTP_TRANSACTION,HTTP transaction,Traffic,http-transaction,Notice,7.6.7
clientdeviceid,,string,80,26 - LOG_ID_TRAFFIC_HTTP_TRANSACTION,26,LOG_ID_TRAFFIC_HTTP_TRANSACTION,HTTP transaction,Traffic,http-transaction,Notice,7.6.7
clientdeviceowner,,string,80,26 - LOG_ID_TRAFFIC_HTTP_TRANSACTION,26,LOG_ID_TRAFFIC_HTTP_TRANSACTION,HTTP transaction,Traffic,http-transaction,Notice,7.6.7
clientdevicetags,,string,512,26 - LOG_ID_TRAFFIC_HTTP_TRANSACTION,26,LOG_ID_TRAFFIC_HTTP_TRANSACTION,HTTP transaction,Traffic,http-transaction,Notice,7.6.7
countapp,Number of App Ctrl logs associated with the session,uint32,10,26 - LOG_ID_TRAFFIC_HTTP_TRANSACTION,26,LOG_ID_TRAFFIC_HTTP_TRANSACTION,HTTP transaction,Traffic,http-transaction,Notice,7.6.7
countav,Number of AV logs associated with the session,uint32,10,26 - LOG_ID_TRAFFIC_HTTP_TRANSACTION,26,LOG_ID_TRAFFIC_HTTP_TRANSACTION,HTTP transaction,Traffic,http-transaction,Notice,7.6.7
countcasb,,uint32,10,26 - LOG_ID_TRAFFIC_HTTP_TRANSACTION,26,LOG_ID_TRAFFIC_HTTP_TRANSACTION,HTTP transaction,Traffic,http-transaction,Notice,7.6.7
countcifs,,uint32,10,26 - LOG_ID_TRAFFIC_HTTP_TRANSACTION,26,LOG_ID_TRAFFIC_HTTP_TRANSACTION,HTTP transaction,Traffic,http-transaction,Notice,7.6.7
countdlp,Number of DLP logs associated with the session,uint32,10,26 - LOG_ID_TRAFFIC_HTTP_TRANSACTION,26,LOG_ID_TRAFFIC_HTTP_TRANSACTION,HTTP transaction,Traffic,http-transaction,Notice,7.6.7
countdns,Number of DNS Query logs associated with the session,uint32,10,26 - LOG_ID_TRAFFIC_HTTP_TRANSACTION,26,LOG_ID_TRAFFIC_HTTP_TRANSACTION,HTTP transaction,Traffic,http-transaction,Notice,7.6.7
countemail,Number of Email logs associated with the session,uint32,10,26 - LOG_ID_TRAFFIC_HTTP_TRANSACTION,26,LOG_ID_TRAFFIC_HTTP_TRANSACTION,HTTP transaction,Traffic,http-transaction,Notice,7.6.7
