Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,32321 - LOG_ID_AUTO_UPG_CHECKING_IMG,32321,LOG_ID_AUTO_UPG_CHECKING_IMG,Automatic firmware upgrade was checking new images,Event,system,Notice,7.6.7
devid,Device ID,string,16,32321 - LOG_ID_AUTO_UPG_CHECKING_IMG,32321,LOG_ID_AUTO_UPG_CHECKING_IMG,Automatic firmware upgrade was checking new images,Event,system,Notice,7.6.7
eventtime,Event time,uint64,20,32321 - LOG_ID_AUTO_UPG_CHECKING_IMG,32321,LOG_ID_AUTO_UPG_CHECKING_IMG,Automatic firmware upgrade was checking new images,Event,system,Notice,7.6.7
level,Log Level,string,11,32321 - LOG_ID_AUTO_UPG_CHECKING_IMG,32321,LOG_ID_AUTO_UPG_CHECKING_IMG,Automatic firmware upgrade was checking new images,Event,system,Notice,7.6.7
logdesc,Log Description,string,4096,32321 - LOG_ID_AUTO_UPG_CHECKING_IMG,32321,LOG_ID_AUTO_UPG_CHECKING_IMG,Automatic firmware upgrade was checking new images,Event,system,Notice,7.6.7
logid,Log ID,string,10,32321 - LOG_ID_AUTO_UPG_CHECKING_IMG,32321,LOG_ID_AUTO_UPG_CHECKING_IMG,Automatic firmware upgrade was checking new images,Event,system,Notice,7.6.7
mode,Mode,string,32,32321 - LOG_ID_AUTO_UPG_CHECKING_IMG,32321,LOG_ID_AUTO_UPG_CHECKING_IMG,Automatic firmware upgrade was checking new images,Event,system,Notice,7.6.7
msg,Log Message,string,4096,32321 - LOG_ID_AUTO_UPG_CHECKING_IMG,32321,LOG_ID_AUTO_UPG_CHECKING_IMG,Automatic firmware upgrade was checking new images,Event,system,Notice,7.6.7
subtype,Log Subtype,string,20,32321 - LOG_ID_AUTO_UPG_CHECKING_IMG,32321,LOG_ID_AUTO_UPG_CHECKING_IMG,Automatic firmware upgrade was checking new images,Event,system,Notice,7.6.7
time,Time,string,8,32321 - LOG_ID_AUTO_UPG_CHECKING_IMG,32321,LOG_ID_AUTO_UPG_CHECKING_IMG,Automatic firmware upgrade was checking new images,Event,system,Notice,7.6.7
type,Log Type,string,16,32321 - LOG_ID_AUTO_UPG_CHECKING_IMG,32321,LOG_ID_AUTO_UPG_CHECKING_IMG,Automatic firmware upgrade was checking new images,Event,system,Notice,7.6.7
tz,Time zone,string,5,32321 - LOG_ID_AUTO_UPG_CHECKING_IMG,32321,LOG_ID_AUTO_UPG_CHECKING_IMG,Automatic firmware upgrade was checking new images,Event,system,Notice,7.6.7
user,User name of authenticated user,string,256,32321 - LOG_ID_AUTO_UPG_CHECKING_IMG,32321,LOG_ID_AUTO_UPG_CHECKING_IMG,Automatic firmware upgrade was checking new images,Event,system,Notice,7.6.7
vd,Virtual Domain Name,string,32,32321 - LOG_ID_AUTO_UPG_CHECKING_IMG,32321,LOG_ID_AUTO_UPG_CHECKING_IMG,Automatic firmware upgrade was checking new images,Event,system,Notice,7.6.7
