Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,Policy Action,string,65,38420 - LOGID_EVENT_HTTPS_CONNECTION_ERROR,38420,LOGID_EVENT_HTTPS_CONNECTION_ERROR,HTTPS connection error,Event,system,Information,7.6.7
auditreporttype,,string,20,38420 - LOGID_EVENT_HTTPS_CONNECTION_ERROR,38420,LOGID_EVENT_HTTPS_CONNECTION_ERROR,HTTPS connection error,Event,system,Information,7.6.7
audittime,,uint64,20,38420 - LOGID_EVENT_HTTPS_CONNECTION_ERROR,38420,LOGID_EVENT_HTTPS_CONNECTION_ERROR,HTTPS connection error,Event,system,Information,7.6.7
criticalcount,,int32,10,38420 - LOGID_EVENT_HTTPS_CONNECTION_ERROR,38420,LOGID_EVENT_HTTPS_CONNECTION_ERROR,HTTPS connection error,Event,system,Information,7.6.7
date,Date,string,10,38420 - LOGID_EVENT_HTTPS_CONNECTION_ERROR,38420,LOGID_EVENT_HTTPS_CONNECTION_ERROR,HTTPS connection error,Event,system,Information,7.6.7
devid,Device ID,string,16,38420 - LOGID_EVENT_HTTPS_CONNECTION_ERROR,38420,LOGID_EVENT_HTTPS_CONNECTION_ERROR,HTTPS connection error,Event,system,Information,7.6.7
durationtotal,,string,10,38420 - LOGID_EVENT_HTTPS_CONNECTION_ERROR,38420,LOGID_EVENT_HTTPS_CONNECTION_ERROR,HTTPS connection error,Event,system,Information,7.6.7
endtime,,uint64,16,38420 - LOGID_EVENT_HTTPS_CONNECTION_ERROR,38420,LOGID_EVENT_HTTPS_CONNECTION_ERROR,HTTPS connection error,Event,system,Information,7.6.7
eventtime,Event time,uint64,20,38420 - LOGID_EVENT_HTTPS_CONNECTION_ERROR,38420,LOGID_EVENT_HTTPS_CONNECTION_ERROR,HTTPS connection error,Event,system,Information,7.6.7
highcount,,int32,10,38420 - LOGID_EVENT_HTTPS_CONNECTION_ERROR,38420,LOGID_EVENT_HTTPS_CONNECTION_ERROR,HTTPS connection error,Event,system,Information,7.6.7
level,Log Level,string,11,38420 - LOGID_EVENT_HTTPS_CONNECTION_ERROR,38420,LOGID_EVENT_HTTPS_CONNECTION_ERROR,HTTPS connection error,Event,system,Information,7.6.7
logdesc,Log Description,string,4096,38420 - LOGID_EVENT_HTTPS_CONNECTION_ERROR,38420,LOGID_EVENT_HTTPS_CONNECTION_ERROR,HTTPS connection error,Event,system,Information,7.6.7
logid,Log ID,string,10,38420 - LOGID_EVENT_HTTPS_CONNECTION_ERROR,38420,LOGID_EVENT_HTTPS_CONNECTION_ERROR,HTTPS connection error,Event,system,Information,7.6.7
lowcount,,int32,10,38420 - LOGID_EVENT_HTTPS_CONNECTION_ERROR,38420,LOGID_EVENT_HTTPS_CONNECTION_ERROR,HTTPS connection error,Event,system,Information,7.6.7
mediumcount,,int32,10,38420 - LOGID_EVENT_HTTPS_CONNECTION_ERROR,38420,LOGID_EVENT_HTTPS_CONNECTION_ERROR,HTTPS connection error,Event,system,Information,7.6.7
membytes,,uint64,16,38420 - LOGID_EVENT_HTTPS_CONNECTION_ERROR,38420,LOGID_EVENT_HTTPS_CONNECTION_ERROR,HTTPS connection error,Event,system,Information,7.6.7
memchange,,int32,10,38420 - LOGID_EVENT_HTTPS_CONNECTION_ERROR,38420,LOGID_EVENT_HTTPS_CONNECTION_ERROR,HTTPS connection error,Event,system,Information,7.6.7
passedcount,,int32,10,38420 - LOGID_EVENT_HTTPS_CONNECTION_ERROR,38420,LOGID_EVENT_HTTPS_CONNECTION_ERROR,HTTPS connection error,Event,system,Information,7.6.7
reason,Reason,string,256,38420 - LOGID_EVENT_HTTPS_CONNECTION_ERROR,38420,LOGID_EVENT_HTTPS_CONNECTION_ERROR,HTTPS connection error,Event,system,Information,7.6.7
remote,IP Address of the PPP Remote end,ip,39,38420 - LOGID_EVENT_HTTPS_CONNECTION_ERROR,38420,LOGID_EVENT_HTTPS_CONNECTION_ERROR,HTTPS connection error,Event,system,Information,7.6.7
rss,,uint32,16,38420 - LOGID_EVENT_HTTPS_CONNECTION_ERROR,38420,LOGID_EVENT_HTTPS_CONNECTION_ERROR,HTTPS connection error,Event,system,Information,7.6.7
starttime,,uint64,16,38420 - LOGID_EVENT_HTTPS_CONNECTION_ERROR,38420,LOGID_EVENT_HTTPS_CONNECTION_ERROR,HTTPS connection error,Event,system,Information,7.6.7
status,Status,string,23,38420 - LOGID_EVENT_HTTPS_CONNECTION_ERROR,38420,LOGID_EVENT_HTTPS_CONNECTION_ERROR,HTTPS connection error,Event,system,Information,7.6.7
subtask,,string,256,38420 - LOGID_EVENT_HTTPS_CONNECTION_ERROR,38420,LOGID_EVENT_HTTPS_CONNECTION_ERROR,HTTPS connection error,Event,system,Information,7.6.7
subtype,Log Subtype,string,20,38420 - LOGID_EVENT_HTTPS_CONNECTION_ERROR,38420,LOGID_EVENT_HTTPS_CONNECTION_ERROR,HTTPS connection error,Event,system,Information,7.6.7
task,,uint16,5,38420 - LOGID_EVENT_HTTPS_CONNECTION_ERROR,38420,LOGID_EVENT_HTTPS_CONNECTION_ERROR,HTTPS connection error,Event,system,Information,7.6.7
time,Time,string,8,38420 - LOGID_EVENT_HTTPS_CONNECTION_ERROR,38420,LOGID_EVENT_HTTPS_CONNECTION_ERROR,HTTPS connection error,Event,system,Information,7.6.7
totalsession,Total Number of Sessions,uint32,10,38420 - LOGID_EVENT_HTTPS_CONNECTION_ERROR,38420,LOGID_EVENT_HTTPS_CONNECTION_ERROR,HTTPS connection error,Event,system,Information,7.6.7
type,Log Type,string,16,38420 - LOGID_EVENT_HTTPS_CONNECTION_ERROR,38420,LOGID_EVENT_HTTPS_CONNECTION_ERROR,HTTPS connection error,Event,system,Information,7.6.7
tz,Time zone,string,5,38420 - LOGID_EVENT_HTTPS_CONNECTION_ERROR,38420,LOGID_EVENT_HTTPS_CONNECTION_ERROR,HTTPS connection error,Event,system,Information,7.6.7
vd,Virtual Domain Name,string,32,38420 - LOGID_EVENT_HTTPS_CONNECTION_ERROR,38420,LOGID_EVENT_HTTPS_CONNECTION_ERROR,HTTPS connection error,Event,system,Information,7.6.7
