Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,Policy Action,string,65,39948 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,39948,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,SSL VPN tunnel down,Event,vpn,Information,7.6.7
date,Date,string,10,39948 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,39948,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,SSL VPN tunnel down,Event,vpn,Information,7.6.7
devid,Device ID,string,16,39948 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,39948,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,SSL VPN tunnel down,Event,vpn,Information,7.6.7
dst_host,Destination Host,string,64,39948 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,39948,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,SSL VPN tunnel down,Event,vpn,Information,7.6.7
duration,Duration,uint32,10,39948 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,39948,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,SSL VPN tunnel down,Event,vpn,Information,7.6.7
eventtime,Event time,uint64,20,39948 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,39948,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,SSL VPN tunnel down,Event,vpn,Information,7.6.7
fctuid,,string,32,39948 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,39948,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,SSL VPN tunnel down,Event,vpn,Information,7.6.7
group,User group Name,string,512,39948 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,39948,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,SSL VPN tunnel down,Event,vpn,Information,7.6.7
level,Log Level,string,11,39948 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,39948,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,SSL VPN tunnel down,Event,vpn,Information,7.6.7
logdesc,Log Description,string,4096,39948 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,39948,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,SSL VPN tunnel down,Event,vpn,Information,7.6.7
logid,Log ID,string,10,39948 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,39948,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,SSL VPN tunnel down,Event,vpn,Information,7.6.7
msg,Log Message,string,4096,39948 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,39948,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,SSL VPN tunnel down,Event,vpn,Information,7.6.7
rcvdbyte,Received Bytes,uint64,20,39948 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,39948,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_DOWN,SSL VPN tunnel down,Event,vpn,Information,7.6.7
