Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
apn,Access Point Name,string,128,41220 - LOGID_GTP_TUNNEL_LIMIT,41220,LOGID_GTP_TUNNEL_LIMIT,Tunnel limit GTP message. These messages occur only when the maximum number of GTP tunnels is reached. No new tunnels are created when the maximum number is reached,GTP,gtp-all,Information,7.6.7
c-gsn,Control Plane GSN,ip,39,41220 - LOGID_GTP_TUNNEL_LIMIT,41220,LOGID_GTP_TUNNEL_LIMIT,Tunnel limit GTP message. These messages occur only when the maximum number of GTP tunnels is reached. No new tunnels are created when the maximum number is reached,GTP,gtp-all,Information,7.6.7
cgsn6,,ip,39,41220 - LOGID_GTP_TUNNEL_LIMIT,41220,LOGID_GTP_TUNNEL_LIMIT,Tunnel limit GTP message. These messages occur only when the maximum number of GTP tunnels is reached. No new tunnels are created when the maximum number is reached,GTP,gtp-all,Information,7.6.7
cpteid,Control Plane teid (either downlink or uplink),uint32,10,41220 - LOGID_GTP_TUNNEL_LIMIT,41220,LOGID_GTP_TUNNEL_LIMIT,Tunnel limit GTP message. These messages occur only when the maximum number of GTP tunnels is reached. No new tunnels are created when the maximum number is reached,GTP,gtp-all,Information,7.6.7
date,Date,string,10,41220 - LOGID_GTP_TUNNEL_LIMIT,41220,LOGID_GTP_TUNNEL_LIMIT,Tunnel limit GTP message. These messages occur only when the maximum number of GTP tunnels is reached. No new tunnels are created when the maximum number is reached,GTP,gtp-all,Information,7.6.7
deny_cause,Deny Cause,string,25,41220 - LOGID_GTP_TUNNEL_LIMIT,41220,LOGID_GTP_TUNNEL_LIMIT,Tunnel limit GTP message. These messages occur only when the maximum number of GTP tunnels is reached. No new tunnels are created when the maximum number is reached,GTP,gtp-all,Information,7.6.7
devid,Device ID,string,16,41220 - LOGID_GTP_TUNNEL_LIMIT,41220,LOGID_GTP_TUNNEL_LIMIT,Tunnel limit GTP message. These messages occur only when the maximum number of GTP tunnels is reached. No new tunnels are created when the maximum number is reached,GTP,gtp-all,Information,7.6.7
dstport,Destination Port,uint16,5,41220 - LOGID_GTP_TUNNEL_LIMIT,41220,LOGID_GTP_TUNNEL_LIMIT,Tunnel limit GTP message. These messages occur only when the maximum number of GTP tunnels is reached. No new tunnels are created when the maximum number is reached,GTP,gtp-all,Information,7.6.7
dtlexp,Detailed Explanation,string,64,41220 - LOGID_GTP_TUNNEL_LIMIT,41220,LOGID_GTP_TUNNEL_LIMIT,Tunnel limit GTP message. These messages occur only when the maximum number of GTP tunnels is reached. No new tunnels are created when the maximum number is reached,GTP,gtp-all,Information,7.6.7
end-usr-address,End user IP Address,ip,39,41220 - LOGID_GTP_TUNNEL_LIMIT,41220,LOGID_GTP_TUNNEL_LIMIT,Tunnel limit GTP message. These messages occur only when the maximum number of GTP tunnels is reached. No new tunnels are created when the maximum number is reached,GTP,gtp-all,Information,7.6.7
endusraddress6,,ip,39,41220 - LOGID_GTP_TUNNEL_LIMIT,41220,LOGID_GTP_TUNNEL_LIMIT,Tunnel limit GTP message. These messages occur only when the maximum number of GTP tunnels is reached. No new tunnels are created when the maximum number is reached,GTP,gtp-all,Information,7.6.7
eventtime,Event time line,uint64,20,41220 - LOGID_GTP_TUNNEL_LIMIT,41220,LOGID_GTP_TUNNEL_LIMIT,Tunnel limit GTP message. These messages occur only when the maximum number of GTP tunnels is reached. No new tunnels are created when the maximum number is reached,GTP,gtp-all,Information,7.6.7
from,From,ip,128,41220 - LOGID_GTP_TUNNEL_LIMIT,41220,LOGID_GTP_TUNNEL_LIMIT,Tunnel limit GTP message. These messages occur only when the maximum number of GTP tunnels is reached. No new tunnels are created when the maximum number is reached,GTP,gtp-all,Information,7.6.7
from6,,ip,39,41220 - LOGID_GTP_TUNNEL_LIMIT,41220,LOGID_GTP_TUNNEL_LIMIT,Tunnel limit GTP message. These messages occur only when the maximum number of GTP tunnels is reached. No new tunnels are created when the maximum number is reached,GTP,gtp-all,Information,7.6.7
headerteid,Tunnel Endpoint ID Header,uint32,10,41220 - LOGID_GTP_TUNNEL_LIMIT,41220,LOGID_GTP_TUNNEL_LIMIT,Tunnel limit GTP message. These messages occur only when the maximum number of GTP tunnels is reached. No new tunnels are created when the maximum number is reached,GTP,gtp-all,Information,7.6.7
ietype,Malformed GTP IE number,uint8,3,41220 - LOGID_GTP_TUNNEL_LIMIT,41220,LOGID_GTP_TUNNEL_LIMIT,Tunnel limit GTP message. These messages occur only when the maximum number of GTP tunnels is reached. No new tunnels are created when the maximum number is reached,GTP,gtp-all,Information,7.6.7
imei-sv,IMEI(International Mobile Equipment Identity) Software Version,string,32,41220 - LOGID_GTP_TUNNEL_LIMIT,41220,LOGID_GTP_TUNNEL_LIMIT,Tunnel limit GTP message. These messages occur only when the maximum number of GTP tunnels is reached. No new tunnels are created when the maximum number is reached,GTP,gtp-all,Information,7.6.7
imsi,International mobile subscriber ID,string,16,41220 - LOGID_GTP_TUNNEL_LIMIT,41220,LOGID_GTP_TUNNEL_LIMIT,Tunnel limit GTP message. These messages occur only when the maximum number of GTP tunnels is reached. No new tunnels are created when the maximum number is reached,GTP,gtp-all,Information,7.6.7
level,Log Level,string,11,41220 - LOGID_GTP_TUNNEL_LIMIT,41220,LOGID_GTP_TUNNEL_LIMIT,Tunnel limit GTP message. These messages occur only when the maximum number of GTP tunnels is reached. No new tunnels are created when the maximum number is reached,GTP,gtp-all,Information,7.6.7
linked-nsapi,Linked Netscape Server Application Programming Interface,uint8,3,41220 - LOGID_GTP_TUNNEL_LIMIT,41220,LOGID_GTP_TUNNEL_LIMIT,Tunnel limit GTP message. These messages occur only when the maximum number of GTP tunnels is reached. No new tunnels are created when the maximum number is reached,GTP,gtp-all,Information,7.6.7
logid,Log ID,string,10,41220 - LOGID_GTP_TUNNEL_LIMIT,41220,LOGID_GTP_TUNNEL_LIMIT,Tunnel limit GTP message. These messages occur only when the maximum number of GTP tunnels is reached. No new tunnels are created when the maximum number is reached,GTP,gtp-all,Information,7.6.7
msg-type,Message Type,uint8,3,41220 - LOGID_GTP_TUNNEL_LIMIT,41220,LOGID_GTP_TUNNEL_LIMIT,Tunnel limit GTP message. These messages occur only when the maximum number of GTP tunnels is reached. No new tunnels are created when the maximum number is reached,GTP,gtp-all,Information,7.6.7
msgtypename,,string,50,41220 - LOGID_GTP_TUNNEL_LIMIT,41220,LOGID_GTP_TUNNEL_LIMIT,Tunnel limit GTP message. These messages occur only when the maximum number of GTP tunnels is reached. No new tunnels are created when the maximum number is reached,GTP,gtp-all,Information,7.6.7
msisdn,Mobile Subscriber Integrated Services Digital Network-Number (telephone # to a SIM card),string,16,41220 - LOGID_GTP_TUNNEL_LIMIT,41220,LOGID_GTP_TUNNEL_LIMIT,Tunnel limit GTP message. These messages occur only when the maximum number of GTP tunnels is reached. No new tunnels are created when the maximum number is reached,GTP,gtp-all,Information,7.6.7
