Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,Policy Action,string,65,41987 - LOG_ID_EVENT_VPN_CERT_UPDATE,41987,LOG_ID_EVENT_VPN_CERT_UPDATE,Certificate updated,Event,vpn,Information,7.6.7
cert-type,Certification type,string,9,41987 - LOG_ID_EVENT_VPN_CERT_UPDATE,41987,LOG_ID_EVENT_VPN_CERT_UPDATE,Certificate updated,Event,vpn,Information,7.6.7
date,Date,string,10,41987 - LOG_ID_EVENT_VPN_CERT_UPDATE,41987,LOG_ID_EVENT_VPN_CERT_UPDATE,Certificate updated,Event,vpn,Information,7.6.7
devid,Device ID,string,16,41987 - LOG_ID_EVENT_VPN_CERT_UPDATE,41987,LOG_ID_EVENT_VPN_CERT_UPDATE,Certificate updated,Event,vpn,Information,7.6.7
eventtime,Event time,uint64,20,41987 - LOG_ID_EVENT_VPN_CERT_UPDATE,41987,LOG_ID_EVENT_VPN_CERT_UPDATE,Certificate updated,Event,vpn,Information,7.6.7
level,Log Level,string,11,41987 - LOG_ID_EVENT_VPN_CERT_UPDATE,41987,LOG_ID_EVENT_VPN_CERT_UPDATE,Certificate updated,Event,vpn,Information,7.6.7
logdesc,Log Description,string,4096,41987 - LOG_ID_EVENT_VPN_CERT_UPDATE,41987,LOG_ID_EVENT_VPN_CERT_UPDATE,Certificate updated,Event,vpn,Information,7.6.7
logid,Log ID,string,10,41987 - LOG_ID_EVENT_VPN_CERT_UPDATE,41987,LOG_ID_EVENT_VPN_CERT_UPDATE,Certificate updated,Event,vpn,Information,7.6.7
method,Method,string,64,41987 - LOG_ID_EVENT_VPN_CERT_UPDATE,41987,LOG_ID_EVENT_VPN_CERT_UPDATE,Certificate updated,Event,vpn,Information,7.6.7
msg,Log Message,string,4096,41987 - LOG_ID_EVENT_VPN_CERT_UPDATE,41987,LOG_ID_EVENT_VPN_CERT_UPDATE,Certificate updated,Event,vpn,Information,7.6.7
name,Display Name of the Connection,string,128,41987 - LOG_ID_EVENT_VPN_CERT_UPDATE,41987,LOG_ID_EVENT_VPN_CERT_UPDATE,Certificate updated,Event,vpn,Information,7.6.7
reason,Reason,string,256,41987 - LOG_ID_EVENT_VPN_CERT_UPDATE,41987,LOG_ID_EVENT_VPN_CERT_UPDATE,Certificate updated,Event,vpn,Information,7.6.7
status,Status,string,23,41987 - LOG_ID_EVENT_VPN_CERT_UPDATE,41987,LOG_ID_EVENT_VPN_CERT_UPDATE,Certificate updated,Event,vpn,Information,7.6.7
subtype,Log Subtype,string,20,41987 - LOG_ID_EVENT_VPN_CERT_UPDATE,41987,LOG_ID_EVENT_VPN_CERT_UPDATE,Certificate updated,Event,vpn,Information,7.6.7
time,Time,string,8,41987 - LOG_ID_EVENT_VPN_CERT_UPDATE,41987,LOG_ID_EVENT_VPN_CERT_UPDATE,Certificate updated,Event,vpn,Information,7.6.7
type,Log Type,string,16,41987 - LOG_ID_EVENT_VPN_CERT_UPDATE,41987,LOG_ID_EVENT_VPN_CERT_UPDATE,Certificate updated,Event,vpn,Information,7.6.7
tz,Time zone,string,5,41987 - LOG_ID_EVENT_VPN_CERT_UPDATE,41987,LOG_ID_EVENT_VPN_CERT_UPDATE,Certificate updated,Event,vpn,Information,7.6.7
vd,Virtual Domain Name,string,32,41987 - LOG_ID_EVENT_VPN_CERT_UPDATE,41987,LOG_ID_EVENT_VPN_CERT_UPDATE,Certificate updated,Event,vpn,Information,7.6.7
