Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,Policy Action,string,65,43724 - LOG_ID_EVENT_WIRELESS_WTPR_SKIP_CAC,43724,LOG_ID_EVENT_WIRELESS_WTPR_SKIP_CAC,"AP radio DFS Channel CAC skip, Zero-Wait-DFS.",Event,wireless,Notice,7.6.7
ap,Access Point,string,36,43724 - LOG_ID_EVENT_WIRELESS_WTPR_SKIP_CAC,43724,LOG_ID_EVENT_WIRELESS_WTPR_SKIP_CAC,"AP radio DFS Channel CAC skip, Zero-Wait-DFS.",Event,wireless,Notice,7.6.7
bandwidth,Bandwidth,string,42,43724 - LOG_ID_EVENT_WIRELESS_WTPR_SKIP_CAC,43724,LOG_ID_EVENT_WIRELESS_WTPR_SKIP_CAC,"AP radio DFS Channel CAC skip, Zero-Wait-DFS.",Event,wireless,Notice,7.6.7
cfgtxpower,Config TX power,uint32,10,43724 - LOG_ID_EVENT_WIRELESS_WTPR_SKIP_CAC,43724,LOG_ID_EVENT_WIRELESS_WTPR_SKIP_CAC,"AP radio DFS Channel CAC skip, Zero-Wait-DFS.",Event,wireless,Notice,7.6.7
channel,Channel,uint8,3,43724 - LOG_ID_EVENT_WIRELESS_WTPR_SKIP_CAC,43724,LOG_ID_EVENT_WIRELESS_WTPR_SKIP_CAC,"AP radio DFS Channel CAC skip, Zero-Wait-DFS.",Event,wireless,Notice,7.6.7
configcountry,Config Country,string,4,43724 - LOG_ID_EVENT_WIRELESS_WTPR_SKIP_CAC,43724,LOG_ID_EVENT_WIRELESS_WTPR_SKIP_CAC,"AP radio DFS Channel CAC skip, Zero-Wait-DFS.",Event,wireless,Notice,7.6.7
date,Date,string,10,43724 - LOG_ID_EVENT_WIRELESS_WTPR_SKIP_CAC,43724,LOG_ID_EVENT_WIRELESS_WTPR_SKIP_CAC,"AP radio DFS Channel CAC skip, Zero-Wait-DFS.",Event,wireless,Notice,7.6.7
devid,Device ID,string,16,43724 - LOG_ID_EVENT_WIRELESS_WTPR_SKIP_CAC,43724,LOG_ID_EVENT_WIRELESS_WTPR_SKIP_CAC,"AP radio DFS Channel CAC skip, Zero-Wait-DFS.",Event,wireless,Notice,7.6.7
eventtime,Event time,uint64,20,43724 - LOG_ID_EVENT_WIRELESS_WTPR_SKIP_CAC,43724,LOG_ID_EVENT_WIRELESS_WTPR_SKIP_CAC,"AP radio DFS Channel CAC skip, Zero-Wait-DFS.",Event,wireless,Notice,7.6.7
ip,,ip,39,43724 - LOG_ID_EVENT_WIRELESS_WTPR_SKIP_CAC,43724,LOG_ID_EVENT_WIRELESS_WTPR_SKIP_CAC,"AP radio DFS Channel CAC skip, Zero-Wait-DFS.",Event,wireless,Notice,7.6.7
level,Log Level,string,11,43724 - LOG_ID_EVENT_WIRELESS_WTPR_SKIP_CAC,43724,LOG_ID_EVENT_WIRELESS_WTPR_SKIP_CAC,"AP radio DFS Channel CAC skip, Zero-Wait-DFS.",Event,wireless,Notice,7.6.7
logdesc,Log Description,string,4096,43724 - LOG_ID_EVENT_WIRELESS_WTPR_SKIP_CAC,43724,LOG_ID_EVENT_WIRELESS_WTPR_SKIP_CAC,"AP radio DFS Channel CAC skip, Zero-Wait-DFS.",Event,wireless,Notice,7.6.7
logid,Log ID,string,10,43724 - LOG_ID_EVENT_WIRELESS_WTPR_SKIP_CAC,43724,LOG_ID_EVENT_WIRELESS_WTPR_SKIP_CAC,"AP radio DFS Channel CAC skip, Zero-Wait-DFS.",Event,wireless,Notice,7.6.7
