Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,44562 - LOGID_EVENT_CONFIG_SENSITIVE_INFO,44562,LOGID_EVENT_CONFIG_SENSITIVE_INFO,CMDB get request for sensitive information table,Event,system,Warning,7.6.7
devid,Device ID,string,16,44562 - LOGID_EVENT_CONFIG_SENSITIVE_INFO,44562,LOGID_EVENT_CONFIG_SENSITIVE_INFO,CMDB get request for sensitive information table,Event,system,Warning,7.6.7
eventtime,Event time,uint64,20,44562 - LOGID_EVENT_CONFIG_SENSITIVE_INFO,44562,LOGID_EVENT_CONFIG_SENSITIVE_INFO,CMDB get request for sensitive information table,Event,system,Warning,7.6.7
level,Log Level,string,11,44562 - LOGID_EVENT_CONFIG_SENSITIVE_INFO,44562,LOGID_EVENT_CONFIG_SENSITIVE_INFO,CMDB get request for sensitive information table,Event,system,Warning,7.6.7
logdesc,Log Description,string,4096,44562 - LOGID_EVENT_CONFIG_SENSITIVE_INFO,44562,LOGID_EVENT_CONFIG_SENSITIVE_INFO,CMDB get request for sensitive information table,Event,system,Warning,7.6.7
logid,Log ID,string,10,44562 - LOGID_EVENT_CONFIG_SENSITIVE_INFO,44562,LOGID_EVENT_CONFIG_SENSITIVE_INFO,CMDB get request for sensitive information table,Event,system,Warning,7.6.7
msg,Log Message,string,4096,44562 - LOGID_EVENT_CONFIG_SENSITIVE_INFO,44562,LOGID_EVENT_CONFIG_SENSITIVE_INFO,CMDB get request for sensitive information table,Event,system,Warning,7.6.7
subtype,Log Subtype,string,20,44562 - LOGID_EVENT_CONFIG_SENSITIVE_INFO,44562,LOGID_EVENT_CONFIG_SENSITIVE_INFO,CMDB get request for sensitive information table,Event,system,Warning,7.6.7
time,Time,string,8,44562 - LOGID_EVENT_CONFIG_SENSITIVE_INFO,44562,LOGID_EVENT_CONFIG_SENSITIVE_INFO,CMDB get request for sensitive information table,Event,system,Warning,7.6.7
type,Log Type,string,16,44562 - LOGID_EVENT_CONFIG_SENSITIVE_INFO,44562,LOGID_EVENT_CONFIG_SENSITIVE_INFO,CMDB get request for sensitive information table,Event,system,Warning,7.6.7
tz,Time zone,string,5,44562 - LOGID_EVENT_CONFIG_SENSITIVE_INFO,44562,LOGID_EVENT_CONFIG_SENSITIVE_INFO,CMDB get request for sensitive information table,Event,system,Warning,7.6.7
vd,Virtual Domain Name,string,32,44562 - LOGID_EVENT_CONFIG_SENSITIVE_INFO,44562,LOGID_EVENT_CONFIG_SENSITIVE_INFO,CMDB get request for sensitive information table,Event,system,Warning,7.6.7
