Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,53415 - LOG_ID_EVENT_TELEMETRY_AGENT_DELETE,53415,LOG_ID_EVENT_TELEMETRY_AGENT_DELETE,Agent deleted,Event,telemetry,Information,7.6.7
devid,Device ID,string,16,53415 - LOG_ID_EVENT_TELEMETRY_AGENT_DELETE,53415,LOG_ID_EVENT_TELEMETRY_AGENT_DELETE,Agent deleted,Event,telemetry,Information,7.6.7
eventtime,Event time,uint64,20,53415 - LOG_ID_EVENT_TELEMETRY_AGENT_DELETE,53415,LOG_ID_EVENT_TELEMETRY_AGENT_DELETE,Agent deleted,Event,telemetry,Information,7.6.7
level,Log Level,string,11,53415 - LOG_ID_EVENT_TELEMETRY_AGENT_DELETE,53415,LOG_ID_EVENT_TELEMETRY_AGENT_DELETE,Agent deleted,Event,telemetry,Information,7.6.7
logdesc,Log Description,string,4096,53415 - LOG_ID_EVENT_TELEMETRY_AGENT_DELETE,53415,LOG_ID_EVENT_TELEMETRY_AGENT_DELETE,Agent deleted,Event,telemetry,Information,7.6.7
logid,Log ID,string,10,53415 - LOG_ID_EVENT_TELEMETRY_AGENT_DELETE,53415,LOG_ID_EVENT_TELEMETRY_AGENT_DELETE,Agent deleted,Event,telemetry,Information,7.6.7
msg,Log Message,string,4096,53415 - LOG_ID_EVENT_TELEMETRY_AGENT_DELETE,53415,LOG_ID_EVENT_TELEMETRY_AGENT_DELETE,Agent deleted,Event,telemetry,Information,7.6.7
subtype,Log Subtype,string,20,53415 - LOG_ID_EVENT_TELEMETRY_AGENT_DELETE,53415,LOG_ID_EVENT_TELEMETRY_AGENT_DELETE,Agent deleted,Event,telemetry,Information,7.6.7
time,Time,string,8,53415 - LOG_ID_EVENT_TELEMETRY_AGENT_DELETE,53415,LOG_ID_EVENT_TELEMETRY_AGENT_DELETE,Agent deleted,Event,telemetry,Information,7.6.7
type,Log Type,string,16,53415 - LOG_ID_EVENT_TELEMETRY_AGENT_DELETE,53415,LOG_ID_EVENT_TELEMETRY_AGENT_DELETE,Agent deleted,Event,telemetry,Information,7.6.7
tz,Time zone,string,5,53415 - LOG_ID_EVENT_TELEMETRY_AGENT_DELETE,53415,LOG_ID_EVENT_TELEMETRY_AGENT_DELETE,Agent deleted,Event,telemetry,Information,7.6.7
vd,Virtual Domain Name,string,32,53415 - LOG_ID_EVENT_TELEMETRY_AGENT_DELETE,53415,LOG_ID_EVENT_TELEMETRY_AGENT_DELETE,Agent deleted,Event,telemetry,Information,7.6.7
