Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,,string,11,11000 - LOG_ID_LLM_ACCESS_BLOCKED,11000,LOG_ID_LLM_ACCESS_BLOCKED,LLM Proxy,LLM,llm,Warning,8.0.0
agent,,string,1024,11000 - LOG_ID_LLM_ACCESS_BLOCKED,11000,LOG_ID_LLM_ACCESS_BLOCKED,LLM Proxy,LLM,llm,Warning,8.0.0
api,,string,4096,11000 - LOG_ID_LLM_ACCESS_BLOCKED,11000,LOG_ID_LLM_ACCESS_BLOCKED,LLM Proxy,LLM,llm,Warning,8.0.0
date,,string,10,11000 - LOG_ID_LLM_ACCESS_BLOCKED,11000,LOG_ID_LLM_ACCESS_BLOCKED,LLM Proxy,LLM,llm,Warning,8.0.0
devid,,string,16,11000 - LOG_ID_LLM_ACCESS_BLOCKED,11000,LOG_ID_LLM_ACCESS_BLOCKED,LLM Proxy,LLM,llm,Warning,8.0.0
dstintf,,string,32,11000 - LOG_ID_LLM_ACCESS_BLOCKED,11000,LOG_ID_LLM_ACCESS_BLOCKED,LLM Proxy,LLM,llm,Warning,8.0.0
dstintfrole,,string,10,11000 - LOG_ID_LLM_ACCESS_BLOCKED,11000,LOG_ID_LLM_ACCESS_BLOCKED,LLM Proxy,LLM,llm,Warning,8.0.0
dstip,,ip,39,11000 - LOG_ID_LLM_ACCESS_BLOCKED,11000,LOG_ID_LLM_ACCESS_BLOCKED,LLM Proxy,LLM,llm,Warning,8.0.0
dstport,,uint16,5,11000 - LOG_ID_LLM_ACCESS_BLOCKED,11000,LOG_ID_LLM_ACCESS_BLOCKED,LLM Proxy,LLM,llm,Warning,8.0.0
dstuuid,,string,37,11000 - LOG_ID_LLM_ACCESS_BLOCKED,11000,LOG_ID_LLM_ACCESS_BLOCKED,LLM Proxy,LLM,llm,Warning,8.0.0
dstzone,,string,32,11000 - LOG_ID_LLM_ACCESS_BLOCKED,11000,LOG_ID_LLM_ACCESS_BLOCKED,LLM Proxy,LLM,llm,Warning,8.0.0
eventtime,,uint64,20,11000 - LOG_ID_LLM_ACCESS_BLOCKED,11000,LOG_ID_LLM_ACCESS_BLOCKED,LLM Proxy,LLM,llm,Warning,8.0.0
eventtype,,string,32,11000 - LOG_ID_LLM_ACCESS_BLOCKED,11000,LOG_ID_LLM_ACCESS_BLOCKED,LLM Proxy,LLM,llm,Warning,8.0.0
group,,string,512,11000 - LOG_ID_LLM_ACCESS_BLOCKED,11000,LOG_ID_LLM_ACCESS_BLOCKED,LLM Proxy,LLM,llm,Warning,8.0.0
hostname,,string,256,11000 - LOG_ID_LLM_ACCESS_BLOCKED,11000,LOG_ID_LLM_ACCESS_BLOCKED,LLM Proxy,LLM,llm,Warning,8.0.0
httpmethod,,string,20,11000 - LOG_ID_LLM_ACCESS_BLOCKED,11000,LOG_ID_LLM_ACCESS_BLOCKED,LLM Proxy,LLM,llm,Warning,8.0.0
level,,string,11,11000 - LOG_ID_LLM_ACCESS_BLOCKED,11000,LOG_ID_LLM_ACCESS_BLOCKED,LLM Proxy,LLM,llm,Warning,8.0.0
llmserver,,string,36,11000 - LOG_ID_LLM_ACCESS_BLOCKED,11000,LOG_ID_LLM_ACCESS_BLOCKED,LLM Proxy,LLM,llm,Warning,8.0.0
logid,,string,10,11000 - LOG_ID_LLM_ACCESS_BLOCKED,11000,LOG_ID_LLM_ACCESS_BLOCKED,LLM Proxy,LLM,llm,Warning,8.0.0
model,,string,80,11000 - LOG_ID_LLM_ACCESS_BLOCKED,11000,LOG_ID_LLM_ACCESS_BLOCKED,LLM Proxy,LLM,llm,Warning,8.0.0
msg,,string,512,11000 - LOG_ID_LLM_ACCESS_BLOCKED,11000,LOG_ID_LLM_ACCESS_BLOCKED,LLM Proxy,LLM,llm,Warning,8.0.0
policyid,,uint32,10,11000 - LOG_ID_LLM_ACCESS_BLOCKED,11000,LOG_ID_LLM_ACCESS_BLOCKED,LLM Proxy,LLM,llm,Warning,8.0.0
policytype,,string,24,11000 - LOG_ID_LLM_ACCESS_BLOCKED,11000,LOG_ID_LLM_ACCESS_BLOCKED,LLM Proxy,LLM,llm,Warning,8.0.0
poluuid,,string,37,11000 - LOG_ID_LLM_ACCESS_BLOCKED,11000,LOG_ID_LLM_ACCESS_BLOCKED,LLM Proxy,LLM,llm,Warning,8.0.0
profile,,string,36,11000 - LOG_ID_LLM_ACCESS_BLOCKED,11000,LOG_ID_LLM_ACCESS_BLOCKED,LLM Proxy,LLM,llm,Warning,8.0.0
proto,,uint8,3,11000 - LOG_ID_LLM_ACCESS_BLOCKED,11000,LOG_ID_LLM_ACCESS_BLOCKED,LLM Proxy,LLM,llm,Warning,8.0.0
referralurl,,string,512,11000 - LOG_ID_LLM_ACCESS_BLOCKED,11000,LOG_ID_LLM_ACCESS_BLOCKED,LLM Proxy,LLM,llm,Warning,8.0.0
reqid,,string,80,11000 - LOG_ID_LLM_ACCESS_BLOCKED,11000,LOG_ID_LLM_ACCESS_BLOCKED,LLM Proxy,LLM,llm,Warning,8.0.0
sessionid,,uint32,10,11000 - LOG_ID_LLM_ACCESS_BLOCKED,11000,LOG_ID_LLM_ACCESS_BLOCKED,LLM Proxy,LLM,llm,Warning,8.0.0
srcintf,,string,32,11000 - LOG_ID_LLM_ACCESS_BLOCKED,11000,LOG_ID_LLM_ACCESS_BLOCKED,LLM Proxy,LLM,llm,Warning,8.0.0
srcintfrole,,string,10,11000 - LOG_ID_LLM_ACCESS_BLOCKED,11000,LOG_ID_LLM_ACCESS_BLOCKED,LLM Proxy,LLM,llm,Warning,8.0.0
srcip,,ip,39,11000 - LOG_ID_LLM_ACCESS_BLOCKED,11000,LOG_ID_LLM_ACCESS_BLOCKED,LLM Proxy,LLM,llm,Warning,8.0.0
srcport,,uint16,5,11000 - LOG_ID_LLM_ACCESS_BLOCKED,11000,LOG_ID_LLM_ACCESS_BLOCKED,LLM Proxy,LLM,llm,Warning,8.0.0
srcuuid,,string,37,11000 - LOG_ID_LLM_ACCESS_BLOCKED,11000,LOG_ID_LLM_ACCESS_BLOCKED,LLM Proxy,LLM,llm,Warning,8.0.0
srczone,,string,32,11000 - LOG_ID_LLM_ACCESS_BLOCKED,11000,LOG_ID_LLM_ACCESS_BLOCKED,LLM Proxy,LLM,llm,Warning,8.0.0
subtype,,string,20,11000 - LOG_ID_LLM_ACCESS_BLOCKED,11000,LOG_ID_LLM_ACCESS_BLOCKED,LLM Proxy,LLM,llm,Warning,8.0.0
time,,string,8,11000 - LOG_ID_LLM_ACCESS_BLOCKED,11000,LOG_ID_LLM_ACCESS_BLOCKED,LLM Proxy,LLM,llm,Warning,8.0.0
type,,string,16,11000 - LOG_ID_LLM_ACCESS_BLOCKED,11000,LOG_ID_LLM_ACCESS_BLOCKED,LLM Proxy,LLM,llm,Warning,8.0.0
tz,,string,5,11000 - LOG_ID_LLM_ACCESS_BLOCKED,11000,LOG_ID_LLM_ACCESS_BLOCKED,LLM Proxy,LLM,llm,Warning,8.0.0
url,,string,512,11000 - LOG_ID_LLM_ACCESS_BLOCKED,11000,LOG_ID_LLM_ACCESS_BLOCKED,LLM Proxy,LLM,llm,Warning,8.0.0
user,,string,256,11000 - LOG_ID_LLM_ACCESS_BLOCKED,11000,LOG_ID_LLM_ACCESS_BLOCKED,LLM Proxy,LLM,llm,Warning,8.0.0
vd,,string,32,11000 - LOG_ID_LLM_ACCESS_BLOCKED,11000,LOG_ID_LLM_ACCESS_BLOCKED,LLM Proxy,LLM,llm,Warning,8.0.0
