Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,"Security action performed by WF:
 blocked - url is blocked by webfilter
 passthrough - url is allowed by webfilter",string,11,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
agent,"User agent - eg. agent=""Mozilla/5.0""",string,64,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
authserver,Authentication server for the user,string,64,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
cat,Web category ID,uint8,3,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
catdesc,Web category description,string,64,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
craction,Client Reputation Action,uint32,10,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
crlevel,Client Reputation level,string,10,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
crscore,Client Reputation Score,uint32,10,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
date,Date,string,10,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
devid,Device ID,string,16,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
direction,Direction of the web traffic,string,8,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
dstauthserver,,string,64,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
dstcountry,,string,64,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
dstintf,Destination Interface,string,32,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
dstintfrole,"Destination Interface's assigned role (LAN, WAN, etc.)",string,10,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
dstip,Destination IP,ip,39,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
dstport,Destination Port,uint16,5,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
dstuser,,string,256,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
dstuuid,,string,37,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
dstzone,,string,32,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
eventtime,Web Filter event time,uint64,20,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
eventtype,Web Filter event type,string,32,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
fctuid,FortiClient UID,string,32,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
forwardedfor,X-Forwarded-For HTTP header,string,128,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
group,User group name,string,512,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
hostname,The host name of a URL,string,256,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
httpmethod,,string,20,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
initiator,The initiator user for override,string,64,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
level,Log Level,string,11,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
logid,Log ID,string,10,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
msg,Log message,string,512,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
policyid,Policy ID,uint32,10,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
policymode,,string,8,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
policytype,,string,24,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
poluuid,,string,37,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
profile,Web Filter profile name,string,64,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
profilegroup,,string,48,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
proto,Protocol number,uint8,3,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
quotamax,Maximum quota allowed - in seconds if time-based - in bytes if traffic-based,uint64,20,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
quotatype,Quota type,string,16,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
quotaused,Quota used - in seconds if time-based - in bytes if traffic-based,uint64,20,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
ratemethod,,string,6,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
rawdata,"Extended logging data including HTTP method, URL, client content type, server content type, user agent, referer, x-forwarded-for",string,20480,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
rcvdbyte,Received Bytes,uint64,20,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
referralurl,Referrer URI,string,512,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
reqtype,Request type,string,8,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
risklevel,,string,36,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
sentbyte,Sent Bytes,uint64,20,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
service,Service name,string,36,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
sessionid,Session ID,uint32,10,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
srccountry,,string,64,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
srcdomain,,string,255,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
srcintf,Source Interface,string,32,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
srcintfrole,"Source Interface's assigned role (LAN, WAN, etc.)",string,10,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
srcip,Source IP,ip,39,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
srcmac,,string,17,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
srcname,,string,64,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
srcport,Source Port,uint16,5,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
srcuuid,,string,37,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
srczone,,string,32,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
subtype,Log subtype,string,20,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
time,Time,string,8,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
transid,,uint32,10,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
trueclntip,True-Client-IP HTTP header,ip,39,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
type,Log type,string,16,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
tz,Time Zone,string,5,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
unauthuser,Unauthenticated user,string,66,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
unauthusersource,Unauthenticated user source,string,66,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
url,The URL address,string,512,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
urlrisk,,uint8,3,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
urlsource,URL source,string,64,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
user,User name,string,256,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
vd,Virtual domain name,string,32,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
vrf,Virtual router forwarding,uint16,3,13313 - LOG_ID_WEB_FTGD_RISK_ALLOW,13313,LOG_ID_WEB_FTGD_RISK_ALLOW,URL belongs to an allowed risk-level within the firewall policy,Webfilter,ftgd_allow,Notice,8.0.0
