Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,20402 - LOG_ID_EVPN,20402,LOG_ID_EVPN,EVPN warning,Event,router,Warning,8.0.0
devid,Device ID,string,16,20402 - LOG_ID_EVPN,20402,LOG_ID_EVPN,EVPN warning,Event,router,Warning,8.0.0
eventtime,Event time,uint64,20,20402 - LOG_ID_EVPN,20402,LOG_ID_EVPN,EVPN warning,Event,router,Warning,8.0.0
level,Log Level,string,11,20402 - LOG_ID_EVPN,20402,LOG_ID_EVPN,EVPN warning,Event,router,Warning,8.0.0
logdesc,Log Description,string,4096,20402 - LOG_ID_EVPN,20402,LOG_ID_EVPN,EVPN warning,Event,router,Warning,8.0.0
logid,Log ID,string,10,20402 - LOG_ID_EVPN,20402,LOG_ID_EVPN,EVPN warning,Event,router,Warning,8.0.0
msg,Log Message,string,4096,20402 - LOG_ID_EVPN,20402,LOG_ID_EVPN,EVPN warning,Event,router,Warning,8.0.0
subtype,Log Subtype,string,20,20402 - LOG_ID_EVPN,20402,LOG_ID_EVPN,EVPN warning,Event,router,Warning,8.0.0
time,Time,string,8,20402 - LOG_ID_EVPN,20402,LOG_ID_EVPN,EVPN warning,Event,router,Warning,8.0.0
type,Log Type,string,16,20402 - LOG_ID_EVPN,20402,LOG_ID_EVPN,EVPN warning,Event,router,Warning,8.0.0
tz,Time zone,string,5,20402 - LOG_ID_EVPN,20402,LOG_ID_EVPN,EVPN warning,Event,router,Warning,8.0.0
vd,Virtual Domain Name,string,32,20402 - LOG_ID_EVPN,20402,LOG_ID_EVPN,EVPN warning,Event,router,Warning,8.0.0
