Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
csfauthtype,,string,4096,22043 - LOG_ID_CSF_NEW_AUTH_REQ,22043,LOG_ID_CSF_NEW_AUTH_REQ,An authorization request was added.,Event,system,Notice,8.0.0
date,Date,string,10,22043 - LOG_ID_CSF_NEW_AUTH_REQ,22043,LOG_ID_CSF_NEW_AUTH_REQ,An authorization request was added.,Event,system,Notice,8.0.0
devid,Device ID,string,16,22043 - LOG_ID_CSF_NEW_AUTH_REQ,22043,LOG_ID_CSF_NEW_AUTH_REQ,An authorization request was added.,Event,system,Notice,8.0.0
eventtime,Event time,uint64,20,22043 - LOG_ID_CSF_NEW_AUTH_REQ,22043,LOG_ID_CSF_NEW_AUTH_REQ,An authorization request was added.,Event,system,Notice,8.0.0
level,Log Level,string,11,22043 - LOG_ID_CSF_NEW_AUTH_REQ,22043,LOG_ID_CSF_NEW_AUTH_REQ,An authorization request was added.,Event,system,Notice,8.0.0
logdesc,Log Description,string,4096,22043 - LOG_ID_CSF_NEW_AUTH_REQ,22043,LOG_ID_CSF_NEW_AUTH_REQ,An authorization request was added.,Event,system,Notice,8.0.0
logid,Log ID,string,10,22043 - LOG_ID_CSF_NEW_AUTH_REQ,22043,LOG_ID_CSF_NEW_AUTH_REQ,An authorization request was added.,Event,system,Notice,8.0.0
msg,Log Message,string,4096,22043 - LOG_ID_CSF_NEW_AUTH_REQ,22043,LOG_ID_CSF_NEW_AUTH_REQ,An authorization request was added.,Event,system,Notice,8.0.0
sn,Serial Number,string,64,22043 - LOG_ID_CSF_NEW_AUTH_REQ,22043,LOG_ID_CSF_NEW_AUTH_REQ,An authorization request was added.,Event,system,Notice,8.0.0
subtype,Log Subtype,string,20,22043 - LOG_ID_CSF_NEW_AUTH_REQ,22043,LOG_ID_CSF_NEW_AUTH_REQ,An authorization request was added.,Event,system,Notice,8.0.0
time,Time,string,8,22043 - LOG_ID_CSF_NEW_AUTH_REQ,22043,LOG_ID_CSF_NEW_AUTH_REQ,An authorization request was added.,Event,system,Notice,8.0.0
type,Log Type,string,16,22043 - LOG_ID_CSF_NEW_AUTH_REQ,22043,LOG_ID_CSF_NEW_AUTH_REQ,An authorization request was added.,Event,system,Notice,8.0.0
tz,Time zone,string,5,22043 - LOG_ID_CSF_NEW_AUTH_REQ,22043,LOG_ID_CSF_NEW_AUTH_REQ,An authorization request was added.,Event,system,Notice,8.0.0
vd,Virtual Domain Name,string,32,22043 - LOG_ID_CSF_NEW_AUTH_REQ,22043,LOG_ID_CSF_NEW_AUTH_REQ,An authorization request was added.,Event,system,Notice,8.0.0
